,electric_vehicle_1_charge,electric_vehicle_1_discharge,electric_vehicle_1_usage
timestep_0,0.0,0.0,0.0
timestep_1,0.0,0.0,0.0
timestep_2,0.0,0.0,0.0
timestep_3,0.0,0.0,0.0
timestep_4,0.0,0.0,0.0
timestep_5,0.0,0.0,0.0
timestep_6,0.0,0.0,0.0
timestep_7,0.0,0.0,0.0
timestep_8,0.0,0.0,0.0
timestep_9,0.0,0.0,0.0
timestep_10,0.0,0.0,0.0
timestep_11,0.0,0.0,0.0
timestep_12,0.0,0.0,0.0
timestep_13,0.0,0.0,0.0
timestep_14,0.0,0.0,0.0
timestep_15,0.0,0.0,0.0
timestep_16,0.0,0.0,0.0
timestep_17,0.0,0.0,0.0
timestep_18,0.0,0.0,0.0
timestep_19,0.0,0.0,0.0
timestep_20,0.0,0.0,0.0
timestep_21,0.0,0.0,0.0
timestep_22,0.0,0.0,0.0
timestep_23,0.0,0.0,0.0
