,charging_station_1,charging_station_2
timestep_0,0.0,0.0
timestep_1,0.0,0.0
timestep_2,0.0,0.0
timestep_3,0.0,0.0
timestep_4,0.0,0.0
timestep_5,0.0,0.0
timestep_6,0.0,0.0
timestep_7,0.0,0.0
timestep_8,0.0,0.0
timestep_9,0.0,0.0
timestep_10,0.0,0.0
timestep_11,0.0,0.03
timestep_12,0.0,0.03
timestep_13,0.0,0.0
timestep_14,0.03,0.0
timestep_15,0.031786666666667227,0.03
timestep_16,0.0017866666666672276,0.0
timestep_17,0.031786666666667227,0.017680000000000834
timestep_18,0.06,0.04768000000000083
timestep_19,0.03,0.03
timestep_20,0.0,0.0
timestep_21,0.0,0.0
timestep_22,0.0,0.0
timestep_23,0.0,0.0
timestep_24,0.0,0.0
timestep_25,0.0,0.0
timestep_26,0.0,0.0
timestep_27,0.0,0.0
timestep_28,0.0,0.0
timestep_29,0.0,0.0
timestep_30,0.03,0.03
timestep_31,0.03,0.03
timestep_32,0.0,0.0
timestep_33,0.0,0.0
timestep_34,0.0,0.0
timestep_35,0.0,0.0
timestep_36,0.0,0.0
timestep_37,0.0,0.0
timestep_38,0.0,0.0
timestep_39,0.0,0.0
timestep_40,0.0,0.0
timestep_41,0.0,0.0
timestep_42,0.0,0.0
timestep_43,0.0,0.0
timestep_44,0.0,0.0
timestep_45,0.0,0.0
timestep_46,0.0,0.0
timestep_47,0.0,0.0
timestep_48,0.0,0.0
timestep_49,0.0,0.0
timestep_50,0.0,0.0
timestep_51,0.0,0.0
timestep_52,0.0,0.0
timestep_53,0.0,0.0
timestep_54,0.0,0.0
timestep_55,0.0,0.0
timestep_56,0.0,0.0
timestep_57,0.0,0.0
timestep_58,0.0,0.0
timestep_59,0.0,0.0
timestep_60,0.0,0.0
timestep_61,0.0,0.0
timestep_62,0.0,0.0
timestep_63,0.0,0.0
timestep_64,0.0,0.0
timestep_65,0.0,0.0
timestep_66,0.0,0.0
timestep_67,0.0,0.0
timestep_68,0.0,0.0
timestep_69,0.0,0.0
timestep_70,0.0,0.0
timestep_71,0.0,0.0
timestep_72,0.0,0.0
timestep_73,0.0,0.0
timestep_74,0.0,0.0
timestep_75,0.0,0.0
timestep_76,0.0,0.0
timestep_77,0.0,0.0
timestep_78,0.026799999999998325,0.0
timestep_79,0.0,0.026799999999998325
timestep_80,0.0,0.0
timestep_81,0.0,0.0
timestep_82,0.0,0.0
timestep_83,0.0,0.0
timestep_84,0.0,0.0
timestep_85,0.0,0.0
timestep_86,0.0,0.0
timestep_87,0.0,0.0
timestep_88,0.0,0.0
timestep_89,0.0,0.0
timestep_90,0.0,0.0
timestep_91,0.0,0.0
timestep_92,0.0,0.0
timestep_93,0.0,0.0
timestep_94,0.0,0.0
timestep_95,0.0,0.0
timestep_96,0.0,0.0
timestep_97,0.0,0.0
timestep_98,0.0,0.0
timestep_99,0.0,0.0
timestep_100,0.0,0.0
timestep_101,0.0,0.0
timestep_102,0.0,0.0
timestep_103,0.0,0.0
timestep_104,0.0,0.0
timestep_105,0.0,0.0
timestep_106,0.0,0.0
timestep_107,0.0,0.0
timestep_108,0.0,0.0
timestep_109,0.0,0.0
timestep_110,0.0,0.0
timestep_111,0.023840000000000416,0.02384000000000043
timestep_112,0.053840000000000415,0.05384000000000043
timestep_113,0.023840000000000416,0.023840000000000427
timestep_114,0.053840000000000415,0.053840000000000415
timestep_115,0.03,0.03
timestep_116,0.0,0.0
timestep_117,0.0,0.0
timestep_118,0.0,0.0
timestep_119,0.0,0.0
timestep_120,0.0,0.0
timestep_121,0.0,0.0
timestep_122,0.0,0.0
timestep_123,0.0,0.0
timestep_124,0.0,0.0
timestep_125,0.0,0.0
timestep_126,0.03,0.03
timestep_127,0.03,0.03
timestep_128,0.0,0.0
timestep_129,0.0,0.0
timestep_130,0.0,0.0
timestep_131,0.0,0.0
timestep_132,0.0,0.0
timestep_133,0.0,0.0
timestep_134,0.0,0.0
timestep_135,0.0,0.0
timestep_136,0.0,0.0
timestep_137,0.0,0.0
timestep_138,0.0,0.0
timestep_139,0.0,0.0
timestep_140,0.0,0.0
timestep_141,0.0,0.0
timestep_142,0.0,0.0
timestep_143,0.0,0.0
timestep_144,0.0,0.0
timestep_145,0.0,0.0
timestep_146,0.0,0.0
timestep_147,0.0,0.0
