timestep,electricity_price_EUR_MWh,electricity_price_flex_EUR_MWh,pv_available_kW,pv_used_kW,pv_surplus_kW,pv_utilization_percent,battery_charge_kW,battery_discharge_kW,battery_soc_kWh,battery_soc_percent,battery_net_flow_kW,grid_import_kW,grid_feedin_kW,grid_net_flow_kW,charging_station_1_discharge_kW,charging_station_1_charge_kW,charging_station_2_discharge_kW,charging_station_2_charge_kW,total_cs_discharge_kW,total_cs_charge_kW,electric_vehicle_1_charge_kW,electric_vehicle_1_discharge_kW,electric_vehicle_1_soc_kWh,electric_vehicle_1_soc_percent,electric_vehicle_1_usage_kW,electric_vehicle_1_available,electric_vehicle_2_charge_kW,electric_vehicle_2_discharge_kW,electric_vehicle_2_soc_kWh,electric_vehicle_2_soc_percent,electric_vehicle_2_usage_kW,electric_vehicle_2_available,total_power_input_kW,total_power_output_kW,power_balance_check_kW,variable_cost_EUR,variable_revenue_EUR,net_income_EUR,input_from_pv_percent,input_from_grid_percent,input_from_battery_percent
0,2603.7,2700.0,0,0,0,0,0.0,0.23750000000000002,0.0,0.0,0.23750000000000002,0.1690000000223518,0.0,-0.1690000000223518,0.07900000002235175,0.0,0.09000000000000005,0.0,0.1690000000223518,0.0,0.09000000000000005,0.0,0.09000000000000005,45.00000000000002,0.0,1,0.07900000002235175,0.0,0.07900000002235175,39.50000001117587,0.0,1,0.1690000000223518,0.0,0.1690000000223518,440.02530005819733,0.0,-440.02530005819733,0.0,100.0,140.5325443601115
1,2603.7,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,-0.12,0.06,0.0,0.06,0.0,0.12,0.0,0.06,0.0,0.15000000000000005,75.00000000000003,0.0,1,0.06,0.0,0.13900000002235174,69.50000001117587,0.0,1,0.12,0.0,0.12,312.44399999999996,0.0,-312.44399999999996,0.0,100.0,0.0
2,2603.7,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,-0.06,0.03,0.0,0.03,0.0,0.06,0.0,0.03,0.0,0.18000000000000005,90.00000000000003,0.0,1,0.03,0.0,0.16900000002235174,84.50000001117587,0.0,1,0.06,0.0,0.06,156.22199999999998,0.0,-156.22199999999998,0.0,100.0,0.0
3,2603.7,2700.0,0,0,0,0,0.08,0.0722,0.0,0.0,-0.007800000000000001,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.08,0.0,0.010000000000000002,0.17000000000000004,85.00000000000001,0.0,1,0.0,0.03,0.13900000002235174,69.50000001117587,0.0,1,0.0,0.08,-0.08,0.0,108.0,108.0,0.0,0.0,0.0
4,2603.7,2700.0,0,0,0,0,0.16,0.1444,0.0,0.0,-0.015600000000000003,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.16,0.0,0.020000000000000004,0.15000000000000005,75.00000000000003,0.0,1,0.0,0.06,0.07900000002235175,39.50000001117587,0.0,1,0.0,0.16,-0.16,0.0,216.0,216.0,0.0,0.0,0.0
5,2603.7,2700.0,0,0,0,0,0.16,0.1444,0.0,0.0,-0.015600000000000003,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.16,0.0,0.04,0.11000000000000004,55.000000000000014,0.0,1,0.0,0.04,0.039000000022351745,19.50000001117587,0.0,1,0.0,0.16,-0.16,0.0,216.0,216.0,0.0,0.0,0.0
6,2603.7,2700.0,0,0,0,0,0.08,0.0722,0.0,0.0,-0.007800000000000001,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.08,0.0,0.03,0.08000000000000004,40.00000000000002,0.0,1,0.0,0.010000000000000002,0.029000000022351743,14.500000011175871,0.0,1,0.0,0.08,-0.08,0.0,108.0,108.0,0.0,0.0,0.0
7,2603.7,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,-0.03,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.08000000000000004,40.00000000000002,0.0,1,0.03,0.0,0.05900000002235174,29.50000001117587,0.0,1,0.03,0.0,0.03,78.11099999999999,0.0,-78.11099999999999,0.0,100.0,0.0
8,2603.7,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.08099999997764827,0.0,-0.08099999997764827,0.05099999997764827,0.0,0.03,0.0,0.08099999997764827,0.0,0.03,0.0,0.11000000000000004,55.000000000000014,0.0,1,0.05099999997764827,0.0,0.11000000000000001,55.00000000000001,0.0,1,0.08099999997764827,0.0,0.08099999997764827,210.8996999418028,0.0,-210.8996999418028,0.0,100.0,0.0
9,2603.7,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,-0.12,0.06,0.0,0.06,0.0,0.12,0.0,0.06,0.0,0.17000000000000004,85.00000000000001,0.0,1,0.06,0.0,0.17,85.0,0.0,1,0.12,0.0,0.12,312.44399999999996,0.0,-312.44399999999996,0.0,100.0,0.0
10,2603.7,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,-0.06,0.03,0.0,0.03,0.0,0.06,0.0,0.03,0.0,0.2,100.0,0.0,1,0.03,0.0,0.2,100.0,0.0,1,0.06,0.0,0.06,156.22199999999998,0.0,-156.22199999999998,0.0,100.0,0.0
11,2603.7,2700.0,0,0,0,0,0.08,0.0722,0.0,0.0,-0.007800000000000001,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.08,0.0,0.010000000000000002,0.19000000000000003,95.0,0.0,1,0.0,0.03,0.17,85.0,0.0,1,0.0,0.08,-0.08,0.0,108.0,108.0,0.0,0.0,0.0
12,2603.7,2700.0,0,0,0,0,0.16,0.1444,0.0,0.0,-0.015600000000000003,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.16,0.0,0.029999999999999992,0.16000000000000003,80.00000000000001,0.0,1,0.0,0.05000000000000001,0.12,60.0,0.0,1,0.0,0.16,-0.16,0.0,216.0,216.0,0.0,0.0,0.0
