,electricity_price,total_power,marginal_cost
timestep_0,25.0,0.12,3.0
timestep_1,25.0,0.12,3.0
timestep_2,25.0,0.10899999999999999,2.7249999999999996
timestep_3,25.0,0.12,3.0
timestep_4,25.0,0.09,2.25
timestep_5,25.0,0.06,1.5
timestep_6,25.0,0.03,0.75
timestep_7,25.0,0.03,0.75
timestep_8,25.0,0.04816091954020376,1.204022988505094
timestep_9,25.0,0.03,0.75
timestep_10,25.0,0.011851063829787217,0.2962765957446804
timestep_11,25.0,0.03,0.75
timestep_12,25.0,0.06,1.5
timestep_13,25.0,0.042068965517254406,1.0517241379313602
timestep_14,25.0,0.07206896551725442,1.8017241379313604
timestep_15,25.0,0.06,1.5
timestep_16,25.0,0.03,0.75
timestep_17,25.0,0.03,0.75
timestep_18,25.0,0.06,1.5
timestep_19,25.0,0.03,0.75
timestep_20,25.0,-0.0,-0.0
timestep_21,25.0,-0.0,-0.0
timestep_22,25.0,-0.0,-0.0
timestep_23,25.0,-0.0,-0.0
timestep_24,25.0,-0.0,-0.0
timestep_25,25.0,-0.0,-0.0
timestep_26,25.0,-0.0,-0.0
timestep_27,25.0,-0.0,-0.0
timestep_28,25.0,-0.0,-0.0
timestep_29,25.0,-0.0,-0.0
timestep_30,25.0,-0.0,-0.0
timestep_31,25.0,-0.0,-0.0
timestep_32,25.0,-0.0,-0.0
timestep_33,25.0,-0.0,-0.0
timestep_34,25.0,-0.0,-0.0
timestep_35,25.0,-0.0,-0.0
timestep_36,25.0,-0.0,-0.0
timestep_37,25.0,-0.0,-0.0
timestep_38,25.0,-0.0,-0.0
timestep_39,25.0,-0.0,-0.0
timestep_40,25.0,-0.0,-0.0
timestep_41,25.0,-0.0,-0.0
timestep_42,25.0,-0.0,-0.0
timestep_43,25.0,-0.0,-0.0
timestep_44,25.0,-0.0,-0.0
timestep_45,25.0,-0.0,-0.0
timestep_46,25.0,-0.0,-0.0
timestep_47,25.0,-0.0,-0.0
timestep_48,25.0,0.03,0.75
timestep_49,25.0,0.06,1.5
timestep_50,25.0,0.03,0.75
timestep_51,25.0,0.03,0.75
timestep_52,25.0,-0.0,-0.0
timestep_53,25.0,-0.0,-0.0
timestep_54,25.0,-0.0,-0.0
timestep_55,25.0,-0.0,-0.0
timestep_56,25.0,-0.0,-0.0
timestep_57,25.0,-0.0,-0.0
timestep_58,25.0,-0.0,-0.0
timestep_59,25.0,-0.0,-0.0
timestep_60,25.0,-0.0,-0.0
timestep_61,25.0,-0.0,-0.0
timestep_62,25.0,-0.0,-0.0
timestep_63,25.0,-0.0,-0.0
timestep_64,25.0,-0.0,-0.0
timestep_65,25.0,-0.0,-0.0
timestep_66,25.0,-0.0,-0.0
timestep_67,25.0,-0.0,-0.0
timestep_68,25.0,-0.0,-0.0
timestep_69,25.0,-0.0,-0.0
timestep_70,25.0,-0.0,-0.0
timestep_71,25.0,-0.0,-0.0
timestep_72,25.0,-0.0,-0.0
timestep_73,25.0,-0.0,-0.0
timestep_74,25.0,-0.0,-0.0
timestep_75,25.0,-0.0,-0.0
timestep_76,25.0,-0.0,-0.0
timestep_77,25.0,-0.0,-0.0
timestep_78,25.0,-0.0,-0.0
timestep_79,25.0,-0.0,-0.0
timestep_80,25.0,-0.0,-0.0
timestep_81,25.0,-0.0,-0.0
timestep_82,25.0,-0.0,-0.0
timestep_83,25.0,-0.0,-0.0
timestep_84,25.0,0.03,0.75
timestep_85,25.0,0.06,1.5
timestep_86,25.0,0.09,2.25
timestep_87,25.0,0.06,1.5
timestep_88,25.0,0.03,0.75
timestep_89,25.0,0.03,0.75
timestep_90,25.0,0.06,1.5
timestep_91,25.0,0.09,2.25
timestep_92,25.0,0.12,3.0
timestep_93,25.0,0.12,3.0
timestep_94,25.0,0.12,3.0
timestep_95,25.0,0.12,3.0
timestep_96,25.0,0.12,3.0
timestep_97,25.0,0.12,3.0
timestep_98,25.0,0.12,3.0
timestep_99,25.0,0.12,3.0
timestep_100,25.0,0.12,3.0
timestep_101,25.0,0.12,3.0
timestep_102,25.0,0.10822695035461004,2.705673758865251
timestep_103,25.0,0.09,2.25
timestep_104,25.0,0.12,3.0
timestep_105,25.0,0.11776595744680866,2.9441489361702167
timestep_106,25.0,0.08776595744680868,2.194148936170217
timestep_107,25.0,0.06,1.5
timestep_108,25.0,0.03,0.75
timestep_109,25.0,0.024099616858237537,0.6024904214559385
timestep_110,25.0,0.05409961685823753,1.3524904214559383
timestep_111,25.0,0.08409961685823752,2.102490421455938
