,electric_vehicle_1_charge,electric_vehicle_1_discharge,electric_vehicle_1_usage
timestep_0,0.029999999999999992,0.0,0.0
timestep_1,0.0,0.026099999999999995,0.0
timestep_2,0.0,0.0,0.0
timestep_3,0.0,0.0,0.0
timestep_4,0.0,0.0,0.0
timestep_5,0.0,0.0,0.0
timestep_6,0.0,0.0,0.0
timestep_7,0.0,0.0,0.0
timestep_8,0.0,0.0,0.0
timestep_9,0.0,0.0,0.0
timestep_10,0.0,0.0,0.0
timestep_11,0.0,0.0,0.0
timestep_12,0.0,0.0,0.0
timestep_13,0.0,0.0,0.0
timestep_14,0.030000000000000054,0.0,0.0
timestep_15,0.06000000000000005,0.0,0.0
timestep_16,0.047931034482758664,0.0,0.0
timestep_17,0.017931034482758665,0.0,0.0
timestep_18,0.04793103448275866,0.0,0.0
timestep_19,0.03,0.0,0.0
timestep_20,0.0,0.0,0.005999999999999999
timestep_21,0.0,0.0,0.005999999999999999
timestep_22,0.0,0.0,0.005999999999999999
timestep_23,0.0,0.0,0.005999999999999999
timestep_24,0.0,0.0,0.005999999999999999
timestep_25,0.0,0.0,0.005999999999999999
timestep_26,0.0,0.0,0.005999999999999999
timestep_27,0.0,0.0,0.005999999999999999
timestep_28,0.0,0.0,0.005999999999999999
timestep_29,0.0,0.0,0.005999999999999999
timestep_30,0.0,0.0,0.005999999999999999
timestep_31,0.0,0.0,0.005999999999999999
timestep_32,0.0,0.0,0.005999999999999999
timestep_33,0.0,0.0,0.005999999999999999
timestep_34,0.0,0.0,0.005999999999999999
timestep_35,0.0,0.0,0.005999999999999999
timestep_36,0.0,0.0,0.005999999999999999
timestep_37,0.0,0.0,0.005999999999999999
timestep_38,0.0,0.0,0.005999999999999999
timestep_39,0.0,0.0,0.005999999999999999
timestep_40,0.0,0.0,0.005999999999999999
timestep_41,0.0,0.0,0.005999999999999999
timestep_42,0.0,0.0,0.005999999999999999
timestep_43,0.0,0.0,0.005999999999999999
timestep_44,0.0,0.0,0.005999999999999999
timestep_45,0.0,0.0,0.005999999999999999
timestep_46,0.0,0.0,0.005999999999999999
timestep_47,0.0,0.0,0.005999999999999999
timestep_48,0.03,0.0,0.0
