variable,ident,value,simulation
avg_price,EOM,36.183,example_02a_elasticDemand_EE_Ramp_base_episode_1
total_cost,EOM,1.6193e+08,example_02a_elasticDemand_EE_Ramp_base_episode_1
total_volume,EOM,4.4751e+06,example_02a_elasticDemand_EE_Ramp_base_episode_1
capacity_factor,EOM,0.67467,example_02a_elasticDemand_EE_Ramp_base_episode_1
avg_price,EOM,36.183,example_02a_elasticDemand_EE_Ramp_base_episode_1
total_cost,EOM,1.6193e+08,example_02a_elasticDemand_EE_Ramp_base_episode_1
total_volume,EOM,4.4751e+06,example_02a_elasticDemand_EE_Ramp_base_episode_1
capacity_factor,EOM,0.67467,example_02a_elasticDemand_EE_Ramp_base_episode_1
avg_price,EOM,36.183,example_02a_elasticDemand_EE_Ramp_base_episode_1
total_cost,EOM,1.6193e+08,example_02a_elasticDemand_EE_Ramp_base_episode_1
total_volume,EOM,4.4751e+06,example_02a_elasticDemand_EE_Ramp_base_episode_1
capacity_factor,EOM,0.67467,example_02a_elasticDemand_EE_Ramp_base_episode_1
avg_price,EOM,36.183,example_02a_elasticDemand_EE_Ramp_base_episode_1
total_cost,EOM,1.6193e+08,example_02a_elasticDemand_EE_Ramp_base_episode_1
total_volume,EOM,4.4751e+06,example_02a_elasticDemand_EE_Ramp_base_episode_1
capacity_factor,EOM,0.67467,example_02a_elasticDemand_EE_Ramp_base_episode_1
avg_price,EOM,36.225,example_02a_elasticDemand_EE_Ramp_base_episode_1
total_cost,EOM,1.6211e+08,example_02a_elasticDemand_EE_Ramp_base_episode_1
total_volume,EOM,4.4751e+06,example_02a_elasticDemand_EE_Ramp_base_episode_1
capacity_factor,EOM,0.67461,example_02a_elasticDemand_EE_Ramp_base_episode_1
avg_price,EOM,55.75,example_02a_elasticDemand_EE_Ramp_base_episode_1
total_cost,EOM,2.4949e+08,example_02a_elasticDemand_EE_Ramp_base_episode_1
total_volume,EOM,4.4751e+06,example_02a_elasticDemand_EE_Ramp_base_episode_1
capacity_factor,EOM,0.69823,example_02a_elasticDemand_EE_Ramp_base_episode_1
avg_price,EOM,66.557,example_02a_elasticDemand_EE_Ramp_base_episode_1
total_cost,EOM,3.368e+08,example_02a_elasticDemand_EE_Ramp_base_episode_1
total_volume,EOM,5.077e+06,example_02a_elasticDemand_EE_Ramp_base_episode_1
capacity_factor,EOM,0.74425,example_02a_elasticDemand_EE_Ramp_base_episode_1
avg_price,EOM,75.152,example_02a_elasticDemand_EE_Ramp_base_episode_1
total_cost,EOM,4.2172e+08,example_02a_elasticDemand_EE_Ramp_base_episode_1
total_volume,EOM,5.6248e+06,example_02a_elasticDemand_EE_Ramp_base_episode_1
capacity_factor,EOM,0.77621,example_02a_elasticDemand_EE_Ramp_base_episode_1
avg_price,EOM,75.152,example_02a_elasticDemand_EE_Ramp_base_episode_1
total_cost,EOM,4.2172e+08,example_02a_elasticDemand_EE_Ramp_base_episode_1
total_volume,EOM,5.6248e+06,example_02a_elasticDemand_EE_Ramp_base_episode_1
capacity_factor,EOM,0.77621,example_02a_elasticDemand_EE_Ramp_base_episode_1
avg_price,EOM,75.152,example_02a_elasticDemand_EE_Ramp_base_episode_1
total_cost,EOM,4.2172e+08,example_02a_elasticDemand_EE_Ramp_base_episode_1
total_volume,EOM,5.6248e+06,example_02a_elasticDemand_EE_Ramp_base_episode_1
capacity_factor,EOM,0.77621,example_02a_elasticDemand_EE_Ramp_base_episode_1
avg_price,EOM,75.152,example_02a_elasticDemand_EE_Ramp_base_episode_1
total_cost,EOM,4.2172e+08,example_02a_elasticDemand_EE_Ramp_base_episode_1
total_volume,EOM,5.6248e+06,example_02a_elasticDemand_EE_Ramp_base_episode_1
capacity_factor,EOM,0.77621,example_02a_elasticDemand_EE_Ramp_base_episode_1
avg_price,EOM,68.134,example_02a_elasticDemand_EE_Ramp_base_episode_1
