,power,unit,simulation
2019-01-01 00:00:00,0.0,NEURATH F,example_01b
2019-01-01 01:00:00,0.0,NEURATH F,example_01b
2019-01-01 00:00:00,0.0,KKW ISAR 2,example_01b
2019-01-01 01:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-01 00:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 01:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 00:00:00,0.0,demand_DE,example_01b
2019-01-01 01:00:00,-1497.486111111111,demand_DE,example_01b
2019-01-01 01:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-01 02:00:00,1469.701388888889,KKW ISAR 2,example_01b
2019-01-01 01:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 02:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 01:00:00,-1497.486111111111,demand_DE,example_01b
2019-01-01 02:00:00,-1469.701388888889,demand_DE,example_01b
2019-01-01 02:00:00,1469.701388888889,KKW ISAR 2,example_01b
2019-01-01 03:00:00,1469.701388888889,KKW ISAR 2,example_01b
2019-01-01 02:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 03:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 02:00:00,-1469.701388888889,demand_DE,example_01b
2019-01-01 03:00:00,-1469.701388888889,demand_DE,example_01b
2019-01-01 03:00:00,1469.701388888889,KKW ISAR 2,example_01b
2019-01-01 04:00:00,1465.958041958042,KKW ISAR 2,example_01b
2019-01-01 03:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 04:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 03:00:00,-1469.701388888889,demand_DE,example_01b
2019-01-01 04:00:00,-1465.958041958042,demand_DE,example_01b
2019-01-01 04:00:00,1465.958041958042,KKW ISAR 2,example_01b
2019-01-01 05:00:00,1465.958041958042,KKW ISAR 2,example_01b
2019-01-01 04:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 05:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 04:00:00,-1465.958041958042,demand_DE,example_01b
2019-01-01 05:00:00,-1465.958041958042,demand_DE,example_01b
2019-01-01 05:00:00,1465.958041958042,KKW ISAR 2,example_01b
2019-01-01 06:00:00,1467.832167832168,KKW ISAR 2,example_01b
2019-01-01 05:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 06:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 05:00:00,-1465.958041958042,demand_DE,example_01b
2019-01-01 06:00:00,-1467.832167832168,demand_DE,example_01b
2019-01-01 06:00:00,1467.832167832168,KKW ISAR 2,example_01b
2019-01-01 07:00:00,1446.861111111111,KKW ISAR 2,example_01b
2019-01-01 06:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 07:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 06:00:00,-1467.832167832168,demand_DE,example_01b
2019-01-01 07:00:00,-1446.861111111111,demand_DE,example_01b
2019-01-01 07:00:00,1446.861111111111,KKW ISAR 2,example_01b
2019-01-01 08:00:00,1446.861111111111,KKW ISAR 2,example_01b
2019-01-01 07:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 08:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 07:00:00,-1446.861111111111,demand_DE,example_01b
2019-01-01 08:00:00,-1446.861111111111,demand_DE,example_01b
2019-01-01 01:00:00,0.0,NEURATH F,example_01b
2019-01-01 02:00:00,0.0,NEURATH F,example_01b
2019-01-01 03:00:00,0.0,NEURATH F,example_01b
2019-01-01 04:00:00,0.0,NEURATH F,example_01b
2019-01-01 05:00:00,0.0,NEURATH F,example_01b
2019-01-01 06:00:00,0.0,NEURATH F,example_01b
2019-01-01 07:00:00,0.0,NEURATH F,example_01b
2019-01-01 08:00:00,0.0,NEURATH F,example_01b
2019-01-01 09:00:00,0.0,NEURATH F,example_01b
2019-01-01 08:00:00,1446.861111111111,KKW ISAR 2,example_01b
2019-01-01 09:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-01 08:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 09:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 08:00:00,-1446.861111111111,demand_DE,example_01b
2019-01-01 09:00:00,-1485.638888888889,demand_DE,example_01b
2019-01-01 09:00:00,0.0,NEURATH F,example_01b
2019-01-01 10:00:00,0.0,NEURATH F,example_01b
2019-01-01 09:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-01 10:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-01 09:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 10:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 09:00:00,-1485.638888888889,demand_DE,example_01b
2019-01-01 10:00:00,-1515.993006993007,demand_DE,example_01b
2019-01-01 10:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-01 11:00:00,1468.7342657342658,KKW ISAR 2,example_01b
2019-01-01 10:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 11:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 10:00:00,-1515.993006993007,demand_DE,example_01b
2019-01-01 11:00:00,-1468.7342657342658,demand_DE,example_01b
2019-01-01 11:00:00,1468.7342657342658,KKW ISAR 2,example_01b
2019-01-01 12:00:00,1452.9930555555557,KKW ISAR 2,example_01b
2019-01-01 11:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 12:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 11:00:00,-1468.7342657342658,demand_DE,example_01b
2019-01-01 12:00:00,-1452.9930555555557,demand_DE,example_01b
2019-01-01 12:00:00,1452.9930555555557,KKW ISAR 2,example_01b
2019-01-01 13:00:00,1428.0416666666667,KKW ISAR 2,example_01b
2019-01-01 12:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 13:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 12:00:00,-1452.9930555555557,demand_DE,example_01b
2019-01-01 13:00:00,-1428.0416666666667,demand_DE,example_01b
2019-01-01 13:00:00,1428.0416666666667,KKW ISAR 2,example_01b
2019-01-01 14:00:00,1428.0416666666667,KKW ISAR 2,example_01b
2019-01-01 13:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 14:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 13:00:00,-1428.0416666666667,demand_DE,example_01b
2019-01-01 14:00:00,-1428.0416666666667,demand_DE,example_01b
2019-01-01 14:00:00,1428.0416666666667,KKW ISAR 2,example_01b
2019-01-01 15:00:00,1449.6993006993007,KKW ISAR 2,example_01b
2019-01-01 14:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 15:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 14:00:00,-1428.0416666666667,demand_DE,example_01b
2019-01-01 15:00:00,-1449.6993006993007,demand_DE,example_01b
2019-01-01 15:00:00,1449.6993006993007,KKW ISAR 2,example_01b
2019-01-01 16:00:00,1468.5384615384614,KKW ISAR 2,example_01b
2019-01-01 15:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 16:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 15:00:00,-1449.6993006993007,demand_DE,example_01b
2019-01-01 16:00:00,-1468.5384615384614,demand_DE,example_01b
2019-01-01 16:00:00,1468.5384615384614,KKW ISAR 2,example_01b
2019-01-01 17:00:00,1468.5384615384614,KKW ISAR 2,example_01b
2019-01-01 16:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 17:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 16:00:00,-1468.5384615384614,demand_DE,example_01b
2019-01-01 17:00:00,-1468.5384615384614,demand_DE,example_01b
2019-01-01 10:00:00,0.0,NEURATH F,example_01b
2019-01-01 11:00:00,0.0,NEURATH F,example_01b
2019-01-01 12:00:00,0.0,NEURATH F,example_01b
2019-01-01 13:00:00,0.0,NEURATH F,example_01b
2019-01-01 14:00:00,0.0,NEURATH F,example_01b
2019-01-01 15:00:00,0.0,NEURATH F,example_01b
2019-01-01 16:00:00,0.0,NEURATH F,example_01b
2019-01-01 17:00:00,0.0,NEURATH F,example_01b
2019-01-01 18:00:00,0.0,NEURATH F,example_01b
2019-01-01 17:00:00,1468.5384615384614,KKW ISAR 2,example_01b
2019-01-01 18:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-01 17:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 18:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 17:00:00,-1468.5384615384614,demand_DE,example_01b
2019-01-01 18:00:00,-1493.048611111111,demand_DE,example_01b
