,power,unit,simulation
2018-12-31 22:00:00,0.0,KKW ISAR 2,example_03
2018-12-31 23:00:00,1485.0,KKW ISAR 2,example_03
2018-12-31 22:00:00,0.0,IRSCHING 5,example_03
2018-12-31 23:00:00,0.0,IRSCHING 5,example_03
2018-12-31 22:00:00,0.0,AS-HEATPUMP,example_03
2018-12-31 23:00:00,0.0,AS-HEATPUMP,example_03
2018-12-31 23:00:00,1485.0,KKW ISAR 2,example_03
2019-01-01 00:00:00,1485.0,KKW ISAR 2,example_03
2018-12-31 23:00:00,0.0,IRSCHING 5,example_03
2019-01-01 00:00:00,0.0,IRSCHING 5,example_03
2018-12-31 23:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 00:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 00:00:00,1485.0,KKW ISAR 2,example_03
2019-01-01 01:00:00,1485.0,KKW ISAR 2,example_03
2019-01-01 00:00:00,0.0,IRSCHING 5,example_03
2019-01-01 01:00:00,0.0,IRSCHING 5,example_03
2019-01-01 00:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 01:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 01:00:00,1485.0,KKW ISAR 2,example_03
2019-01-01 02:00:00,1474.5774647887324,KKW ISAR 2,example_03
2019-01-01 01:00:00,0.0,IRSCHING 5,example_03
2019-01-01 02:00:00,0.0,IRSCHING 5,example_03
2019-01-01 01:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 02:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 02:00:00,1474.5774647887324,KKW ISAR 2,example_03
2019-01-01 03:00:00,1485.0,KKW ISAR 2,example_03
2019-01-01 02:00:00,0.0,IRSCHING 5,example_03
2019-01-01 03:00:00,0.0,IRSCHING 5,example_03
2019-01-01 02:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 03:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 03:00:00,1485.0,KKW ISAR 2,example_03
2019-01-01 04:00:00,1459.8309859154929,KKW ISAR 2,example_03
2019-01-01 03:00:00,0.0,IRSCHING 5,example_03
2019-01-01 04:00:00,0.0,IRSCHING 5,example_03
2019-01-01 03:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 04:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 04:00:00,1459.8309859154929,KKW ISAR 2,example_03
2019-01-01 05:00:00,1478.9650349650349,KKW ISAR 2,example_03
2019-01-01 04:00:00,0.0,IRSCHING 5,example_03
2019-01-01 05:00:00,0.0,IRSCHING 5,example_03
2019-01-01 04:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 05:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 05:00:00,1478.9650349650349,KKW ISAR 2,example_03
2019-01-01 06:00:00,1464.9859154929577,KKW ISAR 2,example_03
2019-01-01 05:00:00,0.0,IRSCHING 5,example_03
2019-01-01 06:00:00,0.0,IRSCHING 5,example_03
2019-01-01 05:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 06:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 06:00:00,1464.9859154929577,KKW ISAR 2,example_03
2019-01-01 07:00:00,1439.2394366197184,KKW ISAR 2,example_03
2019-01-01 06:00:00,0.0,IRSCHING 5,example_03
2019-01-01 07:00:00,0.0,IRSCHING 5,example_03
2019-01-01 06:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 07:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 07:00:00,1439.2394366197184,KKW ISAR 2,example_03
2019-01-01 08:00:00,1485.0,KKW ISAR 2,example_03
2019-01-01 07:00:00,0.0,IRSCHING 5,example_03
2019-01-01 08:00:00,0.0,IRSCHING 5,example_03
2019-01-01 07:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 08:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 08:00:00,1485.0,KKW ISAR 2,example_03
2019-01-01 09:00:00,1485.0,KKW ISAR 2,example_03
2019-01-01 08:00:00,0.0,IRSCHING 5,example_03
2019-01-01 09:00:00,0.0,IRSCHING 5,example_03
2019-01-01 08:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 09:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 09:00:00,1485.0,KKW ISAR 2,example_03
2019-01-01 10:00:00,1485.0,KKW ISAR 2,example_03
2019-01-01 09:00:00,0.0,IRSCHING 5,example_03
2019-01-01 10:00:00,0.0,IRSCHING 5,example_03
2019-01-01 09:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 10:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 10:00:00,1485.0,KKW ISAR 2,example_03
2019-01-01 11:00:00,1437.4507042253522,KKW ISAR 2,example_03
2019-01-01 10:00:00,0.0,IRSCHING 5,example_03
2019-01-01 11:00:00,0.0,IRSCHING 5,example_03
2019-01-01 10:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 11:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 11:00:00,1437.4507042253522,KKW ISAR 2,example_03
2019-01-01 12:00:00,1472.7132867132866,KKW ISAR 2,example_03
2019-01-01 11:00:00,0.0,IRSCHING 5,example_03
2019-01-01 12:00:00,0.0,IRSCHING 5,example_03
2019-01-01 11:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 12:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 12:00:00,1472.7132867132866,KKW ISAR 2,example_03
2019-01-01 13:00:00,1431.7676056338028,KKW ISAR 2,example_03
2019-01-01 12:00:00,0.0,IRSCHING 5,example_03
2019-01-01 13:00:00,0.0,IRSCHING 5,example_03
2019-01-01 12:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 13:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 13:00:00,1431.7676056338028,KKW ISAR 2,example_03
2019-01-01 14:00:00,1452.1971830985915,KKW ISAR 2,example_03
2019-01-01 13:00:00,0.0,IRSCHING 5,example_03
2019-01-01 14:00:00,0.0,IRSCHING 5,example_03
2019-01-01 13:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 14:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 14:00:00,1452.1971830985915,KKW ISAR 2,example_03
2019-01-01 15:00:00,1485.0,KKW ISAR 2,example_03
2019-01-01 14:00:00,0.0,IRSCHING 5,example_03
2019-01-01 15:00:00,0.0,IRSCHING 5,example_03
2019-01-01 14:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 15:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 15:00:00,1485.0,KKW ISAR 2,example_03
2019-01-01 16:00:00,1443.4507042253522,KKW ISAR 2,example_03
2019-01-01 15:00:00,0.0,IRSCHING 5,example_03
2019-01-01 16:00:00,0.0,IRSCHING 5,example_03
2019-01-01 15:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 16:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 16:00:00,1443.4507042253522,KKW ISAR 2,example_03
2019-01-01 17:00:00,1485.0,KKW ISAR 2,example_03
2019-01-01 16:00:00,0.0,IRSCHING 5,example_03
2019-01-01 17:00:00,0.0,IRSCHING 5,example_03
2019-01-01 16:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 17:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 17:00:00,1485.0,KKW ISAR 2,example_03
2019-01-01 18:00:00,1485.0,KKW ISAR 2,example_03
2019-01-01 17:00:00,0.0,IRSCHING 5,example_03
2019-01-01 18:00:00,0.0,IRSCHING 5,example_03
2019-01-01 17:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 18:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 18:00:00,1485.0,KKW ISAR 2,example_03
2019-01-01 19:00:00,1485.0,KKW ISAR 2,example_03
2019-01-01 18:00:00,0.0,IRSCHING 5,example_03
2019-01-01 19:00:00,0.0,IRSCHING 5,example_03
2019-01-01 18:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 19:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 19:00:00,1485.0,KKW ISAR 2,example_03
2019-01-01 20:00:00,1450.5845070422536,KKW ISAR 2,example_03
2019-01-01 19:00:00,0.0,IRSCHING 5,example_03
2019-01-01 20:00:00,0.0,IRSCHING 5,example_03
2019-01-01 19:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 20:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 20:00:00,1450.5845070422536,KKW ISAR 2,example_03
2019-01-01 21:00:00,1485.0,KKW ISAR 2,example_03
2019-01-01 20:00:00,0.0,IRSCHING 5,example_03
2019-01-01 21:00:00,0.0,IRSCHING 5,example_03
2019-01-01 20:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 21:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 21:00:00,1485.0,KKW ISAR 2,example_03
2019-01-01 22:00:00,1434.3239436619717,KKW ISAR 2,example_03
2019-01-01 21:00:00,0.0,IRSCHING 5,example_03
2019-01-01 22:00:00,0.0,IRSCHING 5,example_03
2019-01-01 21:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 22:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 22:00:00,1434.3239436619717,KKW ISAR 2,example_03
2019-01-01 23:00:00,1485.0,KKW ISAR 2,example_03
2019-01-01 22:00:00,0.0,IRSCHING 5,example_03
2019-01-01 23:00:00,0.0,IRSCHING 5,example_03
2019-01-01 22:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 23:00:00,0.0,AS-HEATPUMP,example_03
2019-01-01 23:00:00,1485.0,KKW ISAR 2,example_03
2019-01-02 00:00:00,1453.979020979021,KKW ISAR 2,example_03
2019-01-01 23:00:00,0.0,IRSCHING 5,example_03
2019-01-02 00:00:00,0.0,IRSCHING 5,example_03
2019-01-01 23:00:00,0.0,AS-HEATPUMP,example_03
2019-01-02 00:00:00,0.0,AS-HEATPUMP,example_03
2019-01-02 00:00:00,1453.979020979021,KKW ISAR 2,example_03
2019-01-02 01:00:00,1485.0,KKW ISAR 2,example_03
2019-01-02 00:00:00,0.0,IRSCHING 5,example_03
2019-01-02 01:00:00,0.0,IRSCHING 5,example_03
2019-01-02 00:00:00,0.0,AS-HEATPUMP,example_03
2019-01-02 01:00:00,0.0,AS-HEATPUMP,example_03
2019-01-02 01:00:00,1485.0,KKW ISAR 2,example_03
2019-01-02 02:00:00,1454.3916083916083,KKW ISAR 2,example_03
2019-01-02 01:00:00,0.0,IRSCHING 5,example_03
2019-01-02 02:00:00,0.0,IRSCHING 5,example_03
2019-01-02 01:00:00,0.0,AS-HEATPUMP,example_03
2019-01-02 02:00:00,0.0,AS-HEATPUMP,example_03
2019-01-02 02:00:00,1454.3916083916083,KKW ISAR 2,example_03
2019-01-02 03:00:00,1451.0140845070423,KKW ISAR 2,example_03
2019-01-02 02:00:00,0.0,IRSCHING 5,example_03
2019-01-02 03:00:00,0.0,IRSCHING 5,example_03
2019-01-02 02:00:00,0.0,AS-HEATPUMP,example_03
2019-01-02 03:00:00,0.0,AS-HEATPUMP,example_03
2019-01-02 03:00:00,1451.0140845070423,KKW ISAR 2,example_03
2019-01-02 04:00:00,1485.0,KKW ISAR 2,example_03
2019-01-02 03:00:00,0.0,IRSCHING 5,example_03
2019-01-02 04:00:00,0.0,IRSCHING 5,example_03
2019-01-02 03:00:00,0.0,AS-HEATPUMP,example_03
2019-01-02 04:00:00,0.0,AS-HEATPUMP,example_03
2019-01-02 04:00:00,1485.0,KKW ISAR 2,example_03
2019-01-02 05:00:00,1485.0,KKW ISAR 2,example_03
2019-01-02 04:00:00,0.0,IRSCHING 5,example_03
2019-01-02 05:00:00,0.0,IRSCHING 5,example_03
2019-01-02 04:00:00,0.0,AS-HEATPUMP,example_03
2019-01-02 05:00:00,0.0,AS-HEATPUMP,example_03
2019-01-02 05:00:00,1485.0,KKW ISAR 2,example_03
2019-01-02 06:00:00,1485.0,KKW ISAR 2,example_03
2019-01-02 05:00:00,0.0,IRSCHING 5,example_03
2019-01-02 06:00:00,0.0,IRSCHING 5,example_03
2019-01-02 05:00:00,0.0,AS-HEATPUMP,example_03
2019-01-02 06:00:00,0.0,AS-HEATPUMP,example_03
2019-01-02 06:00:00,1485.0,KKW ISAR 2,example_03
2019-01-02 07:00:00,1477.2447552447552,KKW ISAR 2,example_03
2019-01-02 06:00:00,0.0,IRSCHING 5,example_03
2019-01-02 07:00:00,0.0,IRSCHING 5,example_03
2019-01-02 06:00:00,0.0,AS-HEATPUMP,example_03
2019-01-02 07:00:00,0.0,AS-HEATPUMP,example_03
2019-01-02 07:00:00,1477.2447552447552,KKW ISAR 2,example_03
2019-01-02 08:00:00,1485.0,KKW ISAR 2,example_03
2019-01-02 07:00:00,0.0,IRSCHING 5,example_03
2019-01-02 08:00:00,0.0,IRSCHING 5,example_03
2019-01-02 07:00:00,0.0,AS-HEATPUMP,example_03
2019-01-02 08:00:00,0.0,AS-HEATPUMP,example_03
2019-01-02 08:00:00,1485.0,KKW ISAR 2,example_03
2019-01-02 09:00:00,1485.0,KKW ISAR 2,example_03
2019-01-02 08:00:00,0.0,IRSCHING 5,example_03
2019-01-02 09:00:00,0.0,IRSCHING 5,example_03
2019-01-02 08:00:00,0.0,AS-HEATPUMP,example_03
