demand_north,demand_south
4393.2,4393.2
4346.0,4346.0
4295.2,4295.2
4272.0,4272.0
4239.6,4239.6
4190.4,4190.4
4143.2,4143.2
4088.4,4088.4
4058.4,4058.4
4020.4,4020.4
3993.6,3993.6
3973.2,3973.2
3957.2,3957.2
3924.8,3924.8
3922.4,3922.4
3920.4,3920.4
3920.4,3920.4
3914.0,3914.0
3910.0,3910.0
3894.4,3894.4
3896.4,3896.4
3868.0,3868.0
3860.4,3860.4
3829.2,3829.2
3794.4,3794.4
3796.0,3796.0
3812.4,3812.4
3846.0,3846.0
3859.2,3859.2
3881.6,3881.6
3887.6,3887.6
3921.6,3921.6
3926.8,3926.8
3941.6,3941.6
3985.2,3985.2
4023.6,4023.6
4117.6,4117.6
4184.8,4184.8
4264.0,4264.0
4328.0,4328.0
4404.4,4404.4
4464.0,4464.0
4525.6,4525.6
4576.0,4576.0
4680.8,4680.8
4760.0,4760.0
4829.2,4829.2
4846.8,4846.8
4894.4,4894.4
4920.4,4920.4
4913.6,4913.6
4920.8,4920.8
4900.0,4900.0
4875.6,4875.6
4874.8,4874.8
4866.4,4866.4
4869.6,4869.6
4850.8,4850.8
4849.6,4849.6
4843.6,4843.6
4888.0,4888.0
4895.2,4895.2
4901.2,4901.2
4902.4,4902.4
4949.6,4949.6
5004.4,5004.4
5113.6,5113.6
5209.6,5209.6
5325.2,5325.2
5368.0,5368.0
5414.8,5414.8
5450.8,5450.8
5468.8,5468.8
5470.8,5470.8
5466.0,5466.0
5460.0,5460.0
5442.8,5442.8
5391.2,5391.2
5344.8,5344.8
5281.6,5281.6
5220.4,5220.4
5172.8,5172.8
5105.2,5105.2
5042.0,5042.0
5014.4,5014.4
4979.2,4979.2
4959.6,4959.6
4941.6,4941.6
4966.8,4966.8
4901.2,4901.2
4848.4,4848.4
4779.6,4779.6
4710.0,4710.0
4638.0,4638.0
4542.4,4542.4
4492.4,4492.4
4465.2,4465.2
4404.4,4404.4
4345.2,4345.2
4316.4,4316.4
4287.6,4287.6
4227.2,4227.2
4214.8,4214.8
4200.4,4200.4
4213.6,4213.6
4196.0,4196.0
4185.6,4185.6
4180.0,4180.0
4190.0,4190.0
4223.6,4223.6
4265.6,4265.6
4292.0,4292.0
4312.4,4312.4
4346.0,4346.0
4412.8,4412.8
4471.2,4471.2
4547.2,4547.2
4604.4,4604.4
4736.0,4736.0
4884.8,4884.8
5048.8,5048.8
5212.4,5212.4
5340.8,5340.8
5484.8,5484.8
5657.2,5657.2
5770.4,5770.4
5871.6,5871.6
5968.4,5968.4
6088.0,6088.0
6112.8,6112.8
6181.2,6181.2
6223.6,6223.6
6292.4,6292.4
6309.2,6309.2
6366.8,6366.8
6403.6,6403.6
6426.0,6426.0
6428.8,6428.8
6456.0,6456.0
6478.0,6478.0
6514.4,6514.4
6563.6,6563.6
6620.8,6620.8
6617.6,6617.6
6627.6,6627.6
6609.2,6609.2
6599.6,6599.6
6583.6,6583.6
6585.2,6585.2
6550.4,6550.4
6530.8,6530.8
6460.4,6460.4
6453.2,6453.2
6426.0,6426.0
6403.6,6403.6
6362.8,6362.8
6424.4,6424.4
6403.2,6403.2
6385.6,6385.6
6374.4,6374.4
6430.8,6430.8
6441.6,6441.6
6542.0,6542.0
6660.4,6660.4
6784.0,6784.0
6851.6,6851.6
6863.6,6863.6
6876.8,6876.8
