datetime,demand_north,demand_south
2019-01-01 00:00:00,2196.6,2196.6
2019-01-01 00:15:00,2173.0,2173.0
2019-01-01 00:30:00,2147.6,2147.6
2019-01-01 00:45:00,2136.0,2136.0
2019-01-01 01:00:00,2119.8,2119.8
2019-01-01 01:15:00,2095.2,2095.2
2019-01-01 01:30:00,2071.6,2071.6
2019-01-01 01:45:00,2044.2,2044.2
2019-01-01 02:00:00,2029.2,2029.2
2019-01-01 02:15:00,2010.2,2010.2
2019-01-01 02:30:00,1996.8,1996.8
2019-01-01 02:45:00,1986.6,1986.6
2019-01-01 03:00:00,1978.6,1978.6
2019-01-01 03:15:00,1962.4,1962.4
2019-01-01 03:30:00,1961.2,1961.2
2019-01-01 03:45:00,1960.2,1960.2
2019-01-01 04:00:00,1960.2,1960.2
2019-01-01 04:15:00,1957.0,1957.0
2019-01-01 04:30:00,1955.0,1955.0
2019-01-01 04:45:00,1947.2,1947.2
2019-01-01 05:00:00,1948.2,1948.2
2019-01-01 05:15:00,1934.0,1934.0
2019-01-01 05:30:00,1930.2,1930.2
2019-01-01 05:45:00,1914.6,1914.6
2019-01-01 06:00:00,1897.2,1897.2
2019-01-01 06:15:00,1898.0,1898.0
2019-01-01 06:30:00,1906.2,1906.2
2019-01-01 06:45:00,1923.0,1923.0
2019-01-01 07:00:00,1929.6,1929.6
2019-01-01 07:15:00,1940.8,1940.8
2019-01-01 07:30:00,1943.8,1943.8
2019-01-01 07:45:00,1960.8,1960.8
2019-01-01 08:00:00,1963.4,1963.4
2019-01-01 08:15:00,1970.8,1970.8
2019-01-01 08:30:00,1992.6,1992.6
2019-01-01 08:45:00,2011.8,2011.8
2019-01-01 09:00:00,2058.8,2058.8
2019-01-01 09:15:00,2092.4,2092.4
2019-01-01 09:30:00,2132.0,2132.0
2019-01-01 09:45:00,2164.0,2164.0
2019-01-01 10:00:00,2202.2,2202.2
2019-01-01 10:15:00,2232.0,2232.0
2019-01-01 10:30:00,2262.8,2262.8
2019-01-01 10:45:00,2288.0,2288.0
2019-01-01 11:00:00,2340.4,2340.4
2019-01-01 11:15:00,2380.0,2380.0
2019-01-01 11:30:00,2414.6,2414.6
2019-01-01 11:45:00,2423.4,2423.4
2019-01-01 12:00:00,2447.2,2447.2
2019-01-01 12:15:00,2460.2,2460.2
2019-01-01 12:30:00,2456.8,2456.8
2019-01-01 12:45:00,2460.4,2460.4
2019-01-01 13:00:00,2450.0,2450.0
2019-01-01 13:15:00,2437.8,2437.8
2019-01-01 13:30:00,2437.4,2437.4
2019-01-01 13:45:00,2433.2,2433.2
2019-01-01 14:00:00,2434.8,2434.8
2019-01-01 14:15:00,2425.4,2425.4
2019-01-01 14:30:00,2424.8,2424.8
2019-01-01 14:45:00,2421.8,2421.8
2019-01-01 15:00:00,2444.0,2444.0
2019-01-01 15:15:00,2447.6,2447.6
2019-01-01 15:30:00,2450.6,2450.6
2019-01-01 15:45:00,2451.2,2451.2
2019-01-01 16:00:00,2474.8,2474.8
2019-01-01 16:15:00,2502.2,2502.2
2019-01-01 16:30:00,2556.8,2556.8
2019-01-01 16:45:00,2604.8,2604.8
2019-01-01 17:00:00,2662.6,2662.6
2019-01-01 17:15:00,2684.0,2684.0
2019-01-01 17:30:00,2707.4,2707.4
2019-01-01 17:45:00,2725.4,2725.4
2019-01-01 18:00:00,2734.4,2734.4
2019-01-01 18:15:00,2735.4,2735.4
2019-01-01 18:30:00,2733.0,2733.0
2019-01-01 18:45:00,2730.0,2730.0
2019-01-01 19:00:00,2721.4,2721.4
2019-01-01 19:15:00,2695.6,2695.6
2019-01-01 19:30:00,2672.4,2672.4
2019-01-01 19:45:00,2640.8,2640.8
2019-01-01 20:00:00,2610.2,2610.2
2019-01-01 20:15:00,2586.4,2586.4
2019-01-01 20:30:00,2552.6,2552.6
2019-01-01 20:45:00,2521.0,2521.0
2019-01-01 21:00:00,2507.2,2507.2
2019-01-01 21:15:00,2489.6,2489.6
2019-01-01 21:30:00,2479.8,2479.8
2019-01-01 21:45:00,2470.8,2470.8
2019-01-01 22:00:00,2483.4,2483.4
2019-01-01 22:15:00,2450.6,2450.6
2019-01-01 22:30:00,2424.2,2424.2
2019-01-01 22:45:00,2389.8,2389.8
2019-01-01 23:00:00,2355.0,2355.0
2019-01-01 23:15:00,2319.0,2319.0
2019-01-01 23:30:00,2271.2,2271.2
2019-01-01 23:45:00,2246.2,2246.2
2019-01-02 00:00:00,2232.6,2232.6
2019-01-02 00:15:00,2202.2,2202.2
2019-01-02 00:30:00,2172.6,2172.6
2019-01-02 00:45:00,2158.2,2158.2
2019-01-02 01:00:00,2143.8,2143.8
2019-01-02 01:15:00,2113.6,2113.6
2019-01-02 01:30:00,2107.4,2107.4
2019-01-02 01:45:00,2100.2,2100.2
2019-01-02 02:00:00,2106.8,2106.8
2019-01-02 02:15:00,2098.0,2098.0
2019-01-02 02:30:00,2092.8,2092.8
2019-01-02 02:45:00,2090.0,2090.0
2019-01-02 03:00:00,2095.0,2095.0
2019-01-02 03:15:00,2111.8,2111.8
2019-01-02 03:30:00,2132.8,2132.8
2019-01-02 03:45:00,2146.0,2146.0
2019-01-02 04:00:00,2156.2,2156.2
2019-01-02 04:15:00,2173.0,2173.0
2019-01-02 04:30:00,2206.4,2206.4
2019-01-02 04:45:00,2235.6,2235.6
2019-01-02 05:00:00,2273.6,2273.6
2019-01-02 05:15:00,2302.2,2302.2
2019-01-02 05:30:00,2368.0,2368.0
2019-01-02 05:45:00,2442.4,2442.4
2019-01-02 06:00:00,2524.4,2524.4
2019-01-02 06:15:00,2606.2,2606.2
2019-01-02 06:30:00,2670.4,2670.4
2019-01-02 06:45:00,2742.4,2742.4
2019-01-02 07:00:00,2828.6,2828.6
2019-01-02 07:15:00,2885.2,2885.2
2019-01-02 07:30:00,2935.8,2935.8
2019-01-02 07:45:00,2984.2,2984.2
2019-01-02 08:00:00,3044.0,3044.0
2019-01-02 08:15:00,3056.4,3056.4
2019-01-02 08:30:00,3090.6,3090.6
2019-01-02 08:45:00,3111.8,3111.8
2019-01-02 09:00:00,3146.2,3146.2
2019-01-02 09:15:00,3154.6,3154.6
2019-01-02 09:30:00,3183.4,3183.4
2019-01-02 09:45:00,3201.8,3201.8
2019-01-02 10:00:00,3213.0,3213.0
2019-01-02 10:15:00,3214.4,3214.4
2019-01-02 10:30:00,3228.0,3228.0
2019-01-02 10:45:00,3239.0,3239.0
2019-01-02 11:00:00,3257.2,3257.2
2019-01-02 11:15:00,3281.8,3281.8
2019-01-02 11:30:00,3310.4,3310.4
2019-01-02 11:45:00,3308.8,3308.8
2019-01-02 12:00:00,3313.8,3313.8
2019-01-02 12:15:00,3304.6,3304.6
2019-01-02 12:30:00,3299.8,3299.8
2019-01-02 12:45:00,3291.8,3291.8
2019-01-02 13:00:00,3292.6,3292.6
2019-01-02 13:15:00,3275.2,3275.2
2019-01-02 13:30:00,3265.4,3265.4
2019-01-02 13:45:00,3230.2,3230.2
2019-01-02 14:00:00,3226.6,3226.6
2019-01-02 14:15:00,3213.0,3213.0
2019-01-02 14:30:00,3201.8,3201.8
2019-01-02 14:45:00,3181.4,3181.4
2019-01-02 15:00:00,3212.2,3212.2
2019-01-02 15:15:00,3201.6,3201.6
2019-01-02 15:30:00,3192.8,3192.8
2019-01-02 15:45:00,3187.2,3187.2
2019-01-02 16:00:00,3215.4,3215.4
2019-01-02 16:15:00,3220.8,3220.8
2019-01-02 16:30:00,3271.0,3271.0
2019-01-02 16:45:00,3330.2,3330.2
2019-01-02 17:00:00,3392.0,3392.0
2019-01-02 17:15:00,3425.8,3425.8
2019-01-02 17:30:00,3431.8,3431.8
2019-01-02 17:45:00,3438.4,3438.4
2019-01-02 18:00:00,3421.0,3421.0
2019-01-02 18:15:00,3405.8,3405.8
2019-01-02 18:30:00,3402.4,3402.4
2019-01-02 18:45:00,3393.8,3393.8
2019-01-02 19:00:00,3383.6,3383.6
2019-01-02 19:15:00,3337.8,3337.8
2019-01-02 19:30:00,3299.6,3299.6
2019-01-02 19:45:00,3266.8,3266.8
2019-01-02 20:00:00,3209.4,3209.4
2019-01-02 20:15:00,3159.2,3159.2
2019-01-02 20:30:00,3105.0,3105.0
2019-01-02 20:45:00,3066.6,3066.6
2019-01-02 21:00:00,3019.4,3019.4
2019-01-02 21:15:00,2989.6,2989.6
2019-01-02 21:30:00,2960.4,2960.4
2019-01-02 21:45:00,2939.2,2939.2
2019-01-02 22:00:00,2945.8,2945.8
2019-01-02 22:15:00,2908.8,2908.8
2019-01-02 22:30:00,2859.6,2859.6
2019-01-02 22:45:00,2812.4,2812.4
2019-01-02 23:00:00,2777.6,2777.6
2019-01-02 23:15:00,2722.0,2722.0
2019-01-02 23:30:00,2668.0,2668.0
2019-01-02 23:45:00,2625.0,2625.0
2019-01-03 00:00:00,2579.0,2579.0
2019-01-03 00:15:00,2570.0,2570.0
2019-01-03 00:30:00,2547.4,2547.4
2019-01-03 00:45:00,2507.0,2507.0
2019-01-03 01:00:00,2512.6,2512.6
2019-01-03 01:15:00,2503.4,2503.4
2019-01-03 01:30:00,2502.6,2502.6
2019-01-03 01:45:00,2489.8,2489.8
2019-01-03 02:00:00,2487.4,2487.4
2019-01-03 02:15:00,2484.4,2484.4
2019-01-03 02:30:00,2491.4,2491.4
2019-01-03 02:45:00,2488.4,2488.4
2019-01-03 03:00:00,2487.0,2487.0
2019-01-03 03:15:00,2475.4,2475.4
2019-01-03 03:30:00,2479.2,2479.2
2019-01-03 03:45:00,2489.8,2489.8
2019-01-03 04:00:00,2496.0,2496.0
2019-01-03 04:15:00,2508.2,2508.2
2019-01-03 04:30:00,2529.0,2529.0
2019-01-03 04:45:00,2553.2,2553.2
2019-01-03 05:00:00,2604.8,2604.8
2019-01-03 05:15:00,2620.8,2620.8
2019-01-03 05:30:00,2664.0,2664.0
2019-01-03 05:45:00,2720.0,2720.0
2019-01-03 06:00:00,2794.8,2794.8
2019-01-03 06:15:00,2860.0,2860.0
2019-01-03 06:30:00,2927.8,2927.8
2019-01-03 06:45:00,2986.6,2986.6
2019-01-03 07:00:00,3044.0,3044.0
2019-01-03 07:15:00,3085.8,3085.8
2019-01-03 07:30:00,3135.2,3135.2
2019-01-03 07:45:00,3180.4,3180.4
2019-01-03 08:00:00,3207.4,3207.4
2019-01-03 08:15:00,3229.2,3229.2
2019-01-03 08:30:00,3250.2,3250.2
2019-01-03 08:45:00,3273.6,3273.6
2019-01-03 09:00:00,3295.2,3295.2
2019-01-03 09:15:00,3301.8,3301.8
2019-01-03 09:30:00,3305.6,3305.6
2019-01-03 09:45:00,3315.2,3315.2
2019-01-03 10:00:00,3324.4,3324.4
2019-01-03 10:15:00,3327.4,3327.4
2019-01-03 10:30:00,3336.6,3336.6
2019-01-03 10:45:00,3346.4,3346.4
2019-01-03 11:00:00,3363.0,3363.0
2019-01-03 11:15:00,3380.8,3380.8
2019-01-03 11:30:00,3388.0,3388.0
2019-01-03 11:45:00,3381.6,3381.6
2019-01-03 12:00:00,3403.8,3403.8
2019-01-03 12:15:00,3390.6,3390.6
2019-01-03 12:30:00,3387.0,3387.0
2019-01-03 12:45:00,3379.4,3379.4
2019-01-03 13:00:00,3365.6,3365.6
2019-01-03 13:15:00,3340.0,3340.0
2019-01-03 13:30:00,3320.8,3320.8
2019-01-03 13:45:00,3300.4,3300.4
2019-01-03 14:00:00,3297.2,3297.2
2019-01-03 14:15:00,3282.4,3282.4
2019-01-03 14:30:00,3275.2,3275.2
2019-01-03 14:45:00,3260.4,3260.4
2019-01-03 15:00:00,3268.8,3268.8
2019-01-03 15:15:00,3247.4,3247.4
2019-01-03 15:30:00,3237.8,3237.8
2019-01-03 15:45:00,3248.2,3248.2
2019-01-03 16:00:00,3264.2,3264.2
2019-01-03 16:15:00,3288.4,3288.4
2019-01-03 16:30:00,3325.8,3325.8
2019-01-03 16:45:00,3383.6,3383.6
2019-01-03 17:00:00,3441.0,3441.0
2019-01-03 17:15:00,3467.4,3467.4
2019-01-03 17:30:00,3481.6,3481.6
2019-01-03 17:45:00,3485.0,3485.0
2019-01-03 18:00:00,3472.6,3472.6
2019-01-03 18:15:00,3459.0,3459.0
2019-01-03 18:30:00,3444.0,3444.0
2019-01-03 18:45:00,3435.4,3435.4
2019-01-03 19:00:00,3411.4,3411.4
2019-01-03 19:15:00,3369.6,3369.6
2019-01-03 19:30:00,3332.8,3332.8
2019-01-03 19:45:00,3309.8,3309.8
2019-01-03 20:00:00,3246.8,3246.8
2019-01-03 20:15:00,3185.2,3185.2
2019-01-03 20:30:00,3153.8,3153.8
2019-01-03 20:45:00,3111.2,3111.2
2019-01-03 21:00:00,3076.0,3076.0
2019-01-03 21:15:00,3049.8,3049.8
2019-01-03 21:30:00,3004.8,3004.8
2019-01-03 21:45:00,2987.8,2987.8
2019-01-03 22:00:00,2971.4,2971.4
2019-01-03 22:15:00,2937.8,2937.8
2019-01-03 22:30:00,2882.2,2882.2
2019-01-03 22:45:00,2855.6,2855.6
2019-01-03 23:00:00,2812.0,2812.0
2019-01-03 23:15:00,2758.6,2758.6
2019-01-03 23:30:00,2723.0,2723.0
2019-01-03 23:45:00,2696.2,2696.2
2019-01-04 00:00:00,2637.2,2637.2
2019-01-04 00:15:00,2605.0,2605.0
2019-01-04 00:30:00,2579.6,2579.6
2019-01-04 00:45:00,2552.2,2552.2
2019-01-04 01:00:00,2507.8,2507.8
2019-01-04 01:15:00,2496.0,2496.0
2019-01-04 01:30:00,2505.0,2505.0
2019-01-04 01:45:00,2498.4,2498.4
2019-01-04 02:00:00,2473.0,2473.0
2019-01-04 02:15:00,2466.4,2466.4
2019-01-04 02:30:00,2479.6,2479.6
2019-01-04 02:45:00,2486.2,2486.2
2019-01-04 03:00:00,2485.2,2485.2
2019-01-04 03:15:00,2489.6,2489.6
2019-01-04 03:30:00,2497.0,2497.0
2019-01-04 03:45:00,2518.4,2518.4
2019-01-04 04:00:00,2538.4,2538.4
2019-01-04 04:15:00,2540.0,2540.0
2019-01-04 04:30:00,2549.2,2549.2
2019-01-04 04:45:00,2581.0,2581.0
2019-01-04 05:00:00,2626.8,2626.8
2019-01-04 05:15:00,2637.0,2637.0
2019-01-04 05:30:00,2681.6,2681.6
2019-01-04 05:45:00,2730.2,2730.2
2019-01-04 06:00:00,2817.6,2817.6
2019-01-04 06:15:00,2887.4,2887.4
2019-01-04 06:30:00,2938.8,2938.8
2019-01-04 06:45:00,3014.4,3014.4
2019-01-04 07:00:00,3107.4,3107.4
2019-01-04 07:15:00,3161.0,3161.0
2019-01-04 07:30:00,3209.0,3209.0
2019-01-04 07:45:00,3248.0,3248.0
2019-01-04 08:00:00,3309.2,3309.2
2019-01-04 08:15:00,3337.0,3337.0
2019-01-04 08:30:00,3348.8,3348.8
2019-01-04 08:45:00,3369.6,3369.6
2019-01-04 09:00:00,3387.4,3387.4
2019-01-04 09:15:00,3415.4,3415.4
2019-01-04 09:30:00,3436.8,3436.8
2019-01-04 09:45:00,3430.6,3430.6
2019-01-04 10:00:00,3436.0,3436.0
2019-01-04 10:15:00,3444.2,3444.2
2019-01-04 10:30:00,3459.8,3459.8
2019-01-04 10:45:00,3473.4,3473.4
2019-01-04 11:00:00,3460.6,3460.6
2019-01-04 11:15:00,3477.6,3477.6
2019-01-04 11:30:00,3494.6,3494.6
2019-01-04 11:45:00,3507.0,3507.0
2019-01-04 12:00:00,3523.8,3523.8
2019-01-04 12:15:00,3513.4,3513.4
2019-01-04 12:30:00,3516.2,3516.2
2019-01-04 12:45:00,3500.2,3500.2
2019-01-04 13:00:00,3491.2,3491.2
2019-01-04 13:15:00,3462.6,3462.6
2019-01-04 13:30:00,3446.0,3446.0
2019-01-04 13:45:00,3411.2,3411.2
2019-01-04 14:00:00,3390.8,3390.8
2019-01-04 14:15:00,3368.4,3368.4
2019-01-04 14:30:00,3351.8,3351.8
2019-01-04 14:45:00,3338.2,3338.2
2019-01-04 15:00:00,3340.4,3340.4
2019-01-04 15:15:00,3327.8,3327.8
2019-01-04 15:30:00,3322.6,3322.6
2019-01-04 15:45:00,3320.8,3320.8
2019-01-04 16:00:00,3360.8,3360.8
2019-01-04 16:15:00,3372.8,3372.8
2019-01-04 16:30:00,3401.8,3401.8
2019-01-04 16:45:00,3431.6,3431.6
2019-01-04 17:00:00,3479.6,3479.6
2019-01-04 17:15:00,3493.6,3493.6
2019-01-04 17:30:00,3505.2,3505.2
