,price_forecast,residual_load_forecast
2019-01-01 00:00:00,43.75,2163.3
2019-01-01 01:00:00,43.75,2082.7
2019-01-01 02:00:00,43.75,2005.7
2019-01-01 03:00:00,24.0,1965.6
2019-01-01 04:00:00,24.0,1954.85
2019-01-01 05:00:00,24.0,1931.75
2019-01-01 06:00:00,24.0,1906.1
2019-01-01 07:00:00,24.0,1943.75
2019-01-01 08:00:00,24.0,1984.65
2019-01-01 09:00:00,43.75,2111.8
2019-01-01 10:00:00,43.75,2246.25
2019-01-01 11:00:00,43.75,2389.6
2019-01-01 12:00:00,43.75,2456.15
2019-01-01 13:00:00,43.75,2439.6
2019-01-01 14:00:00,43.75,2426.7000000000003
2019-01-01 15:00:00,43.75,2448.35
2019-01-01 16:00:00,43.75,2534.65
2019-01-01 17:00:00,43.75,2694.85
2019-01-01 18:00:00,43.75,2733.2
2019-01-01 19:00:00,43.75,2682.55
2019-01-01 20:00:00,43.75,2567.55
2019-01-01 21:00:00,43.75,2486.85
2019-01-01 22:00:00,43.75,2437.0
2019-01-01 23:00:00,43.75,2297.85
2019-01-02 00:00:00,43.75,2191.3999999999996
2019-01-02 01:00:00,43.75,2116.25
2019-01-02 02:00:00,43.75,2096.9
2019-01-02 03:00:00,43.75,2121.4
2019-01-02 04:00:00,43.75,2192.8
2019-01-02 05:00:00,43.75,2346.55
2019-01-02 06:00:00,43.75,2635.85
2019-01-02 07:00:00,43.75,2908.45
2019-01-02 08:00:00,50.00000000000001,3075.7
2019-01-02 09:00:00,50.00000000000001,3171.5
2019-01-02 10:00:00,50.00000000000001,3223.6
2019-01-02 11:00:00,50.00000000000001,3289.55
2019-01-02 12:00:00,50.00000000000001,3302.5
2019-01-02 13:00:00,50.00000000000001,3265.85
2019-01-02 14:00:00,50.00000000000001,3205.7
2019-01-02 15:00:00,50.00000000000001,3198.45
2019-01-02 16:00:00,50.00000000000001,3259.35
2019-01-02 17:00:00,50.00000000000001,3422.0
2019-01-02 18:00:00,50.00000000000001,3405.75
2019-01-02 19:00:00,50.00000000000001,3321.95
2019-01-02 20:00:00,50.00000000000001,3135.05
2019-01-02 21:00:00,43.75,2977.15
2019-01-02 22:00:00,43.75,2881.65
2019-01-02 23:00:00,43.75,2698.15
2019-01-03 00:00:00,43.75,2550.85
2019-01-03 01:00:00,43.75,2502.1
2019-01-03 02:00:00,43.75,2487.9
2019-01-03 03:00:00,43.75,2482.85
2019-01-03 04:00:00,43.75,2521.6
2019-01-03 05:00:00,43.75,2652.4
2019-01-03 06:00:00,43.75,2892.3
2019-01-03 07:00:00,50.00000000000001,3111.35
2019-01-03 08:00:00,50.00000000000001,3240.1
2019-01-03 09:00:00,50.00000000000001,3304.45
2019-01-03 10:00:00,50.00000000000001,3333.7
2019-01-03 11:00:00,50.00000000000001,3378.35
2019-01-03 12:00:00,50.00000000000001,3390.2
2019-01-03 13:00:00,50.00000000000001,3331.7
2019-01-03 14:00:00,50.00000000000001,3278.8
2019-01-03 15:00:00,50.00000000000001,3250.55
2019-01-03 16:00:00,50.00000000000001,3315.5
2019-01-03 17:00:00,50.00000000000001,3468.75
2019-01-03 18:00:00,50.00000000000001,3452.75
2019-01-03 19:00:00,50.00000000000001,3355.9
2019-01-03 20:00:00,50.00000000000001,3174.25
2019-01-03 21:00:00,50.00000000000001,3029.6000000000004
2019-01-03 22:00:00,43.75,2911.75
2019-01-03 23:00:00,43.75,2747.45
2019-01-04 00:00:00,43.75,2593.5
2019-01-04 01:00:00,43.75,2501.8
2019-01-04 02:00:00,43.75,2476.3
2019-01-04 03:00:00,43.75,2497.55
2019-01-04 04:00:00,43.75,2552.15
2019-01-04 05:00:00,43.75,2668.9
2019-01-04 06:00:00,43.75,2914.55
2019-01-04 07:00:00,50.00000000000001,3181.35
2019-01-04 08:00:00,50.00000000000001,3341.15
2019-01-04 09:00:00,50.00000000000001,3417.55
2019-01-04 10:00:00,50.00000000000001,3453.35
2019-01-04 11:00:00,50.00000000000001,3484.95
2019-01-04 12:00:00,50.00000000000001,3513.4
2019-01-04 13:00:00,50.00000000000001,3452.75
2019-01-04 14:00:00,50.00000000000001,3362.3
2019-01-04 15:00:00,50.00000000000001,3327.9
2019-01-04 16:00:00,50.00000000000001,3391.75
2019-01-04 17:00:00,50.00000000000001,3496.3
2019-01-04 18:00:00,50.00000000000001,3464.75
2019-01-04 19:00:00,50.00000000000001,3365.9
2019-01-04 20:00:00,50.00000000000001,3167.05
2019-01-04 21:00:00,50.00000000000001,3016.75
2019-01-04 22:00:00,43.75,2924.35
2019-01-04 23:00:00,43.75,2724.7
2019-01-05 00:00:00,43.75,2582.8
2019-01-05 01:00:00,43.75,2465.75
2019-01-05 02:00:00,43.75,2401.5
2019-01-05 03:00:00,43.75,2377.75
2019-01-05 04:00:00,43.75,2381.7
2019-01-05 05:00:00,43.75,2385.1
2019-01-05 06:00:00,43.75,2416.5
2019-01-05 07:00:00,43.75,2538.05
2019-01-05 08:00:00,43.75,2715.3
2019-01-05 09:00:00,43.75,2879.6
2019-01-05 10:00:00,43.75,2985.6
2019-01-05 11:00:00,50.00000000000001,3046.05
2019-01-05 12:00:00,50.00000000000001,3039.6
2019-01-05 13:00:00,43.75,2975.9
2019-01-05 14:00:00,43.75,2923.65
2019-01-05 15:00:00,43.75,2901.85
2019-01-05 16:00:00,43.75,2952.7
2019-01-05 17:00:00,50.00000000000001,3094.45
2019-01-05 18:00:00,50.00000000000001,3096.85
2019-01-05 19:00:00,50.00000000000001,3005.0
2019-01-05 20:00:00,43.75,2814.35
2019-01-05 21:00:00,43.75,2696.8
2019-01-05 22:00:00,43.75,2644.85
2019-01-05 23:00:00,43.75,2496.0
2019-01-06 00:00:00,43.75,2330.15
2019-01-06 01:00:00,43.75,2227.3
2019-01-06 02:00:00,43.75,2160.5
2019-01-06 03:00:00,43.75,2152.2
2019-01-06 04:00:00,43.75,2154.3
2019-01-06 05:00:00,43.75,2132.85
2019-01-06 06:00:00,43.75,2112.85
2019-01-06 07:00:00,43.75,2167.55
2019-01-06 08:00:00,43.75,2297.35
2019-01-06 09:00:00,43.75,2472.95
2019-01-06 10:00:00,43.75,2622.1
2019-01-06 11:00:00,43.75,2750.0
2019-01-06 12:00:00,43.75,2773.15
2019-01-06 13:00:00,43.75,2704.3
2019-01-06 14:00:00,43.75,2673.75
2019-01-06 15:00:00,43.75,2635.45
2019-01-06 16:00:00,43.75,2722.9
2019-01-06 17:00:00,43.75,2898.1
2019-01-06 18:00:00,43.75,2943.5
2019-01-06 19:00:00,43.75,2864.6
2019-01-06 20:00:00,43.75,2747.65
2019-01-06 21:00:00,43.75,2670.0
2019-01-06 22:00:00,43.75,2636.2
2019-01-06 23:00:00,43.75,2501.95
2019-01-07 00:00:00,43.75,2353.4
2019-01-07 01:00:00,43.75,2265.65
2019-01-07 02:00:00,43.75,2241.7
2019-01-07 03:00:00,43.75,2275.5
2019-01-07 04:00:00,43.75,2367.8
2019-01-07 05:00:00,43.75,2585.05
2019-01-07 06:00:00,50.00000000000001,3015.7
2019-01-07 07:00:00,50.00000000000001,3331.45
2019-01-07 08:00:00,50.00000000000001,3464.15
2019-01-07 09:00:00,50.00000000000001,3478.2
2019-01-07 10:00:00,50.00000000000001,3542.6
2019-01-07 11:00:00,50.00000000000001,3589.2999999999997
2019-01-07 12:00:00,50.00000000000001,3585.75
2019-01-07 13:00:00,50.00000000000001,3587.6
2019-01-07 14:00:00,50.00000000000001,3570.95
2019-01-07 15:00:00,50.00000000000001,3572.1
2019-01-07 16:00:00,50.00000000000001,3625.75
2019-01-07 17:00:00,50.00000000000001,3734.0
2019-01-07 18:00:00,50.00000000000001,3691.5
2019-01-07 19:00:00,50.00000000000001,3595.65
2019-01-07 20:00:00,50.00000000000001,3428.9
2019-01-07 21:00:00,50.00000000000001,3276.45
2019-01-07 22:00:00,50.00000000000001,3114.75
2019-01-07 23:00:00,43.75,2918.1
2019-01-08 00:00:00,43.75,2726.35
2019-01-08 01:00:00,43.75,2637.75
2019-01-08 02:00:00,43.75,2594.5
2019-01-08 03:00:00,43.75,2623.85
2019-01-08 04:00:00,43.75,2704.8500000000004
2019-01-08 05:00:00,43.75,2874.4
2019-01-08 06:00:00,50.00000000000001,3236.3
2019-01-08 07:00:00,50.00000000000001,3550.7
2019-01-08 08:00:00,50.00000000000001,3672.35
2019-01-08 09:00:00,50.00000000000001,3677.75
2019-01-08 10:00:00,50.00000000000001,3709.45
