,fuel_price_natural gas,availability_Unit 4,availability_Unit 3,fuel_price_co2,fuel_price_oil,residual_load_EOM,fuel_price_lignite,availability_Unit 2,availability_Unit 1,fuel_price_uranium,price_EOM,fuel_price_biomass,demand_EOM,fuel_price_hard coal
2019-01-01 00:00:00,25.0,1.0,1.0,25.0,40.0,2163.3,2.0,1.0,1.0,1.0,45.05,20.0,2163.3,10.0
2019-01-01 01:00:00,25.0,1.0,1.0,25.0,40.0,2082.7,2.0,1.0,1.0,1.0,45.05,20.0,2082.7,10.0
2019-01-01 02:00:00,25.0,1.0,1.0,25.0,40.0,2005.7,2.0,1.0,1.0,1.0,45.05,20.0,2005.7,10.0
2019-01-01 03:00:00,25.0,1.0,1.0,25.0,40.0,1965.6,2.0,1.0,1.0,1.0,25.65,20.0,1965.6,10.0
2019-01-01 04:00:00,25.0,1.0,1.0,25.0,40.0,1954.85,2.0,1.0,1.0,1.0,25.65,20.0,1954.85,10.0
2019-01-01 05:00:00,25.0,1.0,1.0,25.0,40.0,1931.75,2.0,1.0,1.0,1.0,25.65,20.0,1931.75,10.0
2019-01-01 06:00:00,25.0,1.0,1.0,25.0,40.0,1906.1,2.0,1.0,1.0,1.0,25.65,20.0,1906.1,10.0
2019-01-01 07:00:00,25.0,1.0,1.0,25.0,40.0,1943.75,2.0,1.0,1.0,1.0,25.65,20.0,1943.75,10.0
2019-01-01 08:00:00,25.0,1.0,1.0,25.0,40.0,1984.65,2.0,1.0,1.0,1.0,25.65,20.0,1984.65,10.0
2019-01-01 09:00:00,25.0,1.0,1.0,25.0,40.0,2111.8,2.0,1.0,1.0,1.0,45.05,20.0,2111.8,10.0
2019-01-01 10:00:00,25.0,1.0,1.0,25.0,40.0,2246.25,2.0,1.0,1.0,1.0,45.05,20.0,2246.25,10.0
2019-01-01 11:00:00,25.0,1.0,1.0,25.0,40.0,2389.6,2.0,1.0,1.0,1.0,45.05,20.0,2389.6,10.0
2019-01-01 12:00:00,25.0,1.0,1.0,25.0,40.0,2456.15,2.0,1.0,1.0,1.0,45.05,20.0,2456.15,10.0
2019-01-01 13:00:00,25.0,1.0,1.0,25.0,40.0,2439.6,2.0,1.0,1.0,1.0,45.05,20.0,2439.6,10.0
2019-01-01 14:00:00,25.0,1.0,1.0,25.0,40.0,2426.7000000000003,2.0,1.0,1.0,1.0,45.05,20.0,2426.7000000000003,10.0
2019-01-01 15:00:00,25.0,1.0,1.0,25.0,40.0,2448.35,2.0,1.0,1.0,1.0,45.05,20.0,2448.35,10.0
2019-01-01 16:00:00,25.0,1.0,1.0,25.0,40.0,2534.65,2.0,1.0,1.0,1.0,45.05,20.0,2534.65,10.0
2019-01-01 17:00:00,25.0,1.0,1.0,25.0,40.0,2694.85,2.0,1.0,1.0,1.0,45.05,20.0,2694.85,10.0
