,availability_Unit 1,availability_Unit 2,availability_Unit 3,availability_Unit 4,demand_EOM,availability_Solar,availability_Biomass,availability_Wind offshore,availability_Hydro,availability_Wind onshore,fuel_price_uranium,fuel_price_lignite,fuel_price_hard coal,fuel_price_natural gas,fuel_price_oil,fuel_price_biomass,fuel_price_co2,price_EOM,residual_load_EOM
2019-01-01 00:00:00,1,1,1,1,2163.3,0.0,0.5912170263788968,0.41488095238095235,0.3153846153846154,0.3759259259259259,1,2,10,25,40,20,25,3.3333333333333335,1057.5328042328047
2019-01-01 01:00:00,1,1,1,1,2082.7,0.0,0.588009592326139,0.37936507936507935,0.31452429149797567,0.41429780033840946,1,2,10,25,40,20,25,3.3333333333333335,895.2094674079444
2019-01-01 02:00:00,1,1,1,1,2005.7,0.0,0.5835131894484412,0.3253306878306878,0.30587044534412955,0.4276790750141004,1,2,10,25,40,20,25,3.3333333333333335,806.3700373324741
2019-01-01 03:00:00,1,1,1,1,1965.6,0.0,0.5834232613908873,0.35684523809523805,0.302580971659919,0.4487732656514382,1,2,10,25,40,20,25,3.3333333333333335,700.9287406333092
2019-01-01 04:00:00,1,1,1,1,1954.85,0.0,0.5836031175059953,0.3410383597883598,0.29519230769230764,0.48733784545967285,1,2,10,25,40,20,25,3.3333333333333335,600.0900424354738
2019-01-01 05:00:00,1,1,1,1,1931.75,0.0,0.5827038369304556,0.3146494708994709,0.2803643724696356,0.5156796390298929,1,2,10,25,40,20,25,3.3333333333333335,516.6911140654795
2019-01-01 06:00:00,1,1,1,1,1906.1,0.0,0.5837230215827338,0.25532407407407404,0.2866902834008097,0.54683681143072,1,2,10,25,40,20,25,3.3333333333333335,436.87834179357014
2019-01-01 07:00:00,1,1,1,1,1943.75,0.0,0.5853117505995203,0.27043650793650786,0.2898785425101214,0.5622344425643918,1,2,10,25,40,20,25,3.3333333333333335,429.9892904144174
2019-01-01 08:00:00,1,1,1,1,1984.65,0.0017243143675808,0.5876498800959232,0.292063492063492,0.2927125506072874,0.5722786238014664,1,2,10,25,40,20,25,3.3333333333333335,432.81725775198515
2019-01-01 09:00:00,1,1,1,1,2111.8,0.011926934097421151,0.5876498800959232,0.2744708994708994,0.30025303643724693,0.5677711975935327,1,2,10,25,40,20,25,3.3333333333333335,552.766310984256
2019-01-01 10:00:00,1,1,1,1,2246.25,0.0280137126483831,0.5885791366906474,0.28508597883597886,0.31082995951417003,0.588663282571912,1,2,10,25,40,20,25,3.3333333333333335,590.5231204148708
