datetime,demand_EOM,demand_CRM_pos,demand_CRM_neg,pos_reserve_energy_DE,neg_reserve_energy_DE
2019-01-01 00:00:00,43932,2756,2827,4,576
2019-01-01 00:15:00,43460,2756,2827,632,1004
2019-01-01 00:30:00,42952,2756,2827,12,168
2019-01-01 00:45:00,42720,2756,2827,8,76
2019-01-01 01:00:00,42396,2756,2827,8,112
2019-01-01 01:15:00,41904,2756,2827,0,260
2019-01-01 01:30:00,41432,2756,2827,0,464
2019-01-01 01:45:00,40884,2756,2827,0,368
2019-01-01 02:00:00,40584,2756,2827,28,228
2019-01-01 02:15:00,40204,2756,2827,0,308
2019-01-01 02:30:00,39936,2756,2827,0,248
2019-01-01 02:45:00,39732,2756,2827,0,336
2019-01-01 03:00:00,39572,2756,2827,24,164
2019-01-01 03:15:00,39248,2756,2827,8,188
2019-01-01 03:30:00,39224,2756,2827,0,496
2019-01-01 03:45:00,39204,2756,2827,0,664
2019-01-01 04:00:00,39204,2756,2827,8,36
2019-01-01 04:15:00,39140,2756,2827,156,4
2019-01-01 04:30:00,39100,2756,2827,0,96
2019-01-01 04:45:00,38944,2756,2827,0,256
2019-01-01 05:00:00,38964,2756,2827,12,68
2019-01-01 05:15:00,38680,2756,2827,0,176
2019-01-01 05:30:00,38604,2756,2827,0,332
2019-01-01 05:45:00,38292,2756,2827,0,540
2019-01-01 06:00:00,37944,2756,2827,4,128
2019-01-01 06:15:00,37960,2756,2827,0,180
2019-01-01 06:30:00,38124,2756,2827,4,72
2019-01-01 06:45:00,38460,2756,2827,4,64
2019-01-01 07:00:00,38592,2756,2827,36,8
2019-01-01 07:15:00,38816,2756,2827,4,28
2019-01-01 07:30:00,38876,2756,2827,4,96
2019-01-01 07:45:00,39216,2756,2827,0,116
2019-01-01 08:00:00,39268,2756,2827,0,396
2019-01-01 08:15:00,39416,2756,2827,0,384
2019-01-01 08:30:00,39852,2756,2827,0,504
2019-01-01 08:45:00,40236,2756,2827,0,596
2019-01-01 09:00:00,41176,2756,2827,0,1164
2019-01-01 09:15:00,41848,2756,2827,4,852
2019-01-01 09:30:00,42640,2756,2827,0,308
2019-01-01 09:45:00,43280,2756,2827,0,252
2019-01-01 10:00:00,44044,2756,2827,0,256
2019-01-01 10:15:00,44640,2756,2827,0,184
2019-01-01 10:30:00,45256,2756,2827,0,164
2019-01-01 10:45:00,45760,2756,2827,0,368
2019-01-01 11:00:00,46808,2756,2827,0,1100
2019-01-01 11:15:00,47600,2756,2827,0,972
2019-01-01 11:30:00,48292,2756,2827,16,752
2019-01-01 11:45:00,48468,2756,2827,32,572
2019-01-01 12:00:00,48944,2756,2827,0,256
2019-01-01 12:15:00,49204,2756,2827,20,36
2019-01-01 12:30:00,49136,2756,2827,20,48
2019-01-01 12:45:00,49208,2756,2827,44,24
2019-01-01 13:00:00,49000,2756,2827,224,4
2019-01-01 13:15:00,48756,2756,2827,32,60
2019-01-01 13:30:00,48748,2756,2827,0,156
2019-01-01 13:45:00,48664,2756,2827,32,32
2019-01-01 14:00:00,48696,2756,2827,64,44
2019-01-01 14:15:00,48508,2756,2827,192,0
2019-01-01 14:30:00,48496,2756,2827,336,4
2019-01-01 14:45:00,48436,2756,2827,280,0
2019-01-01 15:00:00,48880,2756,2827,736,0
2019-01-01 15:15:00,48952,2756,2827,352,4
2019-01-01 15:30:00,49012,2756,2827,12,48
2019-01-01 15:45:00,49024,2756,2827,0,208
2019-01-01 16:00:00,49496,2756,2827,4,412
2019-01-01 16:15:00,50044,2756,2827,8,416
2019-01-01 16:30:00,51136,2756,2827,28,156
2019-01-01 16:45:00,52096,2756,2827,24,148
2019-01-01 17:00:00,53252,2756,2827,8,316
2019-01-01 17:15:00,53680,2756,2827,4,92
