name,energy,capacity_pos,capacity_neg
demand_DE,naive,,
pos_capacity_DE,,naive,
neg_capacity_DE,,,naive
wind_onshore_DE,naive,,
wind_offshore_DE,naive,,
solar_DE,naive,,
water_DE,naive,,
biomass_DE,naive,,
KKW ISAR 2,flexable_eom,naive,naive
KKW BROKDORF,flexable_eom,naive,naive
KKW PHILIPPSBURG 2,flexable_eom,naive,naive
KKW GROHNDE,flexable_eom,naive,naive
KKW EMSLAND,flexable_eom,naive,naive
KKW NECKARWESTHEIM,flexable_eom,naive,naive
KKW GUNDREMMINGEN C,flexable_eom,naive,naive
NEURATH F,flexable_eom,naive,naive
NEURATH G,flexable_eom,naive,naive
NIEDERAUSSEM K,flexable_eom,naive,naive
LIPPENDORF R,flexable_eom,naive,naive
LIPPENDORF S,flexable_eom,naive,naive
BOXBERG Q,flexable_eom,naive,naive
SCHWARZE PUMPE A,flexable_eom,naive,naive
SCHWARZE PUMPE B,flexable_eom,naive,naive
BOXBERG R,flexable_eom,naive,naive
NIEDERAUSSEM G,flexable_eom,naive,naive
NIEDERAUSSEM H,flexable_eom,naive,naive
NEURATH D,flexable_eom,naive,naive
WEISWEILER H,flexable_eom,naive,naive
NEURATH E,flexable_eom,naive,naive
WEISWEILER G,flexable_eom,naive,naive
JAENSCHWALDE D,flexable_eom,naive,naive
JAENSCHWALDE E,flexable_eom,naive,naive
JAENSCHWALDE F,flexable_eom,naive,naive
JAENSCHWALDE B,flexable_eom,naive,naive
JAENSCHWALDE C,flexable_eom,naive,naive
BOXBERG P,flexable_eom,naive,naive
JAENSCHWALDE A,flexable_eom,naive,naive
BOXBERG N,flexable_eom,naive,naive
SCHKOPAU II A,flexable_eom,naive,naive
SCHKOPAU II B,flexable_eom,naive,naive
NIEDERAUSSEM C,flexable_eom,naive,naive
NIEDERAUSSEM F,flexable_eom,naive,naive
NIEDERAUSSEM E,flexable_eom,naive,naive
NEURATH A,flexable_eom,naive,naive
NEURATH B,flexable_eom,naive,naive
NEURATH C,flexable_eom,naive,naive
FRIMMERSDORF Q,flexable_eom,naive,naive
WEISWEILER E,flexable_eom,naive,naive
FRIMMERSDORF P,flexable_eom,naive,naive
NIEDERAUSSEM D,flexable_eom,naive,naive
WEISWEILER F,flexable_eom,naive,naive
FRECHEN WACHTBERG,flexable_eom,naive,naive
MERKENICH BLOCK 6,flexable_eom,naive,naive
CHEMNITZ NORD II BLOCK C,flexable_eom,naive,naive
CHEMNITZ NORD II BLOCK B,flexable_eom,naive,naive
KLINGENBERG 5,flexable_eom,naive,naive
KLINGENBERG 6,flexable_eom,naive,naive
KLINGENBERG 4,flexable_eom,naive,naive
RDK (KARLSRUHE) 8,flexable_eom,naive,naive
GKM 9,flexable_eom,naive,naive
HEYDEN 4,flexable_eom,naive,naive
MOORBURG A,flexable_eom,naive,naive
MOORBURG B,flexable_eom,naive,naive
WESTFALEN E,flexable_eom,naive,naive
IBBENBUEREN B NO 1,flexable_eom,naive,naive
WILHELMSHAVEN C,flexable_eom,naive,naive
WALSUM 10,flexable_eom,naive,naive
BERGKAMEN A,flexable_eom,naive,naive
BEXBACH C 1,flexable_eom,naive,naive
WILHELMSHAVEN A,flexable_eom,naive,naive
HEILBRONN 7,flexable_eom,naive,naive
MEHRUM,flexable_eom,naive,naive
LUENEN 2 STUMMHAFEN,flexable_eom,naive,naive
WEIHER 3,flexable_eom,naive,naive
GERSTEINWERK BLOCK K,flexable_eom,naive,naive
ROSTOCK 1,flexable_eom,naive,naive
RDK (KARLSRUHE) 7,flexable_eom,naive,naive
STAUDINGER 5,flexable_eom,naive,naive
HERNE BLOCK 4,flexable_eom,naive,naive
GKM 8,flexable_eom,naive,naive
GKM 7,flexable_eom,naive,naive
ZOLLING LEININGER 5,flexable_eom,naive,naive
ALTBACH DEIZISAU HKW I,flexable_eom,naive,naive
WALSUM BLOCK 9,flexable_eom,naive,naive
SCHOLVEN C,flexable_eom,naive,naive
SCHOLVEN B,flexable_eom,naive,naive
HKW MUENCHEN NORD 2,flexable_eom,naive,naive
KIEL A,flexable_eom,naive,naive
BREMEN FARGE,flexable_eom,naive,naive
ALTBACH DEIZISAU HKW II,flexable_eom,naive,naive
BREMEN HAFEN 6,flexable_eom,naive,naive
WERDOHL ELVERLINGSEN E4,flexable_eom,naive,naive
GKH HANNOVER,flexable_eom,naive,naive
HKW BERLIN REUTER WEST E,flexable_eom,naive,naive
