name,technology,fuel_type,emission_factor,max_power,min_power,efficiency,ramp_up,ramp_down,fixed_cost,hot_start_cost,warm_start_cost,cold_start_cost,min_operating_time,min_down_time,heat_extraction,max_heat_extraction,unit_operator,bidding_energy,bidding_capacity_pos,bidding_capacity_neg
Wind onshore,wind_onshore,renewable,0.0,53190.0,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,renewables_operator,naive,,
Wind offshore,wind_offshore,renewable,0.0,7560.0,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,renewables_operator,naive,,
Solar,solar,renewable,0.0,48860.0,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,renewables_operator,naive,,
Hydro,hydro,renewable,0.0,4940.0,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,renewables_operator,naive,,
Biomass,biomass,renewable,0.0,8340.0,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,renewables_operator,naive,,
KKW ISAR 2,nuclear,uranium,0.0,1485.0,590.0,0.33,890.0,890.0,10.3,140.0,140.0,140.0,72.0,10.0,no,0.0,UNIPER,flexable_eom,naive_pos_reserve,naive_neg_reserve
KKW BROKDORF,nuclear,uranium,0.0,1480.0,590.0,0.33,890.0,890.0,10.3,140.0,140.0,140.0,72.0,10.0,no,0.0,UNIPER,flexable_eom,naive_pos_reserve,naive_neg_reserve
KKW PHILIPPSBURG 2,nuclear,uranium,0.0,1468.0,590.0,0.33,880.0,880.0,10.3,140.0,140.0,140.0,72.0,10.0,no,0.0,ENBW ENERGIE BADEN-WURTTEMBERG,flexable_eom,naive_pos_reserve,naive_neg_reserve
KKW GROHNDE,nuclear,uranium,0.0,1430.0,570.0,0.33,860.0,860.0,10.3,140.0,140.0,140.0,72.0,10.0,no,0.0,UNIPER,flexable_eom,naive_pos_reserve,naive_neg_reserve
KKW EMSLAND,nuclear,uranium,0.0,1406.0,560.0,0.33,840.0,840.0,10.3,140.0,140.0,140.0,72.0,10.0,no,0.0,RWE POWER AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
KKW NECKARWESTHEIM,nuclear,uranium,0.0,1400.0,560.0,0.33,840.0,840.0,10.3,140.0,140.0,140.0,72.0,10.0,no,0.0,ENBW ENERGIE BADEN-WURTTEMBERG,flexable_eom,naive_pos_reserve,naive_neg_reserve
KKW GUNDREMMINGEN C,nuclear,uranium,0.0,1344.0,540.0,0.33,810.0,810.0,10.3,140.0,140.0,140.0,72.0,10.0,no,0.0,RWE POWER AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
NEURATH F,lignite,lignite,0.406,1120.0,560.0,0.434,590.0,590.0,1.65,30.4,47.5,69.3,10.0,7.0,no,0.0,RWE POWER AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
NEURATH G,lignite,lignite,0.406,1120.0,560.0,0.434,590.0,590.0,1.65,30.4,47.5,69.3,10.0,7.0,no,0.0,RWE POWER AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
NIEDERAUSSEM K,lignite,lignite,0.406,1012.0,510.0,0.422,540.0,540.0,1.65,30.4,47.5,69.3,10.0,7.0,no,0.0,RWE POWER AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
LIPPENDORF R,lignite,lignite,0.406,933.0,470.0,0.416,490.0,490.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,165.0,VATTENFALL EUROPE AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
LIPPENDORF S,lignite,lignite,0.406,933.0,470.0,0.415,490.0,490.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,165.0,VATTENFALL EUROPE AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
BOXBERG Q,lignite,lignite,0.406,907.0,460.0,0.415,480.0,480.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,65.0,VATTENFALL EUROPE AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
SCHWARZE PUMPE A,lignite,lignite,0.406,800.0,400.0,0.408,420.0,420.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,60.0,VATTENFALL EUROPE AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
SCHWARZE PUMPE B,lignite,lignite,0.406,800.0,400.0,0.407,420.0,420.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,60.0,VATTENFALL EUROPE AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
BOXBERG R,lignite,lignite,0.406,675.0,340.0,0.433,360.0,360.0,1.65,30.4,47.5,69.3,10.0,7.0,no,0.0,VATTENFALL EUROPE AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
NIEDERAUSSEM G,lignite,lignite,0.406,620.0,310.0,0.38,330.0,330.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,245.0,RWE POWER AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
NIEDERAUSSEM H,lignite,lignite,0.406,620.0,310.0,0.374,330.0,330.0,1.65,30.4,47.5,69.3,10.0,7.0,no,0.0,RWE POWER AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
NEURATH D,lignite,lignite,0.406,600.0,300.0,0.364,320.0,320.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,5.0,RWE POWER AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
WEISWEILER H,lignite,lignite,0.406,600.0,300.0,0.364,320.0,320.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,92.0,RWE POWER AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
NEURATH E,lignite,lignite,0.406,600.0,300.0,0.363,320.0,320.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,5.0,RWE POWER AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
WEISWEILER G,lignite,lignite,0.406,600.0,300.0,0.354,320.0,320.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,92.0,RWE POWER AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
JAENSCHWALDE D,lignite,lignite,0.406,500.0,250.0,0.388,270.0,270.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,76.0,VATTENFALL EUROPE AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
JAENSCHWALDE E,lignite,lignite,0.406,500.0,250.0,0.386,270.0,270.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,76.0,VATTENFALL EUROPE AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
JAENSCHWALDE F,lignite,lignite,0.406,500.0,250.0,0.386,270.0,270.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,76.0,VATTENFALL EUROPE AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
JAENSCHWALDE B,lignite,lignite,0.406,500.0,250.0,0.38,270.0,270.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,76.0,VATTENFALL EUROPE AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
JAENSCHWALDE C,lignite,lignite,0.406,500.0,250.0,0.379,270.0,270.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,76.0,VATTENFALL EUROPE AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
BOXBERG P,lignite,lignite,0.406,500.0,250.0,0.372,270.0,270.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,30.0,VATTENFALL EUROPE AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
JAENSCHWALDE A,lignite,lignite,0.406,500.0,250.0,0.37,270.0,270.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,76.0,VATTENFALL EUROPE AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
BOXBERG N,lignite,lignite,0.406,500.0,250.0,0.362,270.0,270.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,30.0,VATTENFALL EUROPE AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
SCHKOPAU II A,lignite,lignite,0.406,480.0,240.0,0.41,260.0,260.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,100.0,UNIPER,flexable_eom,naive_pos_reserve,naive_neg_reserve
SCHKOPAU II B,lignite,lignite,0.406,480.0,240.0,0.41,260.0,260.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,100.0,UNIPER,flexable_eom,naive_pos_reserve,naive_neg_reserve
NIEDERAUSSEM C,lignite,lignite,0.406,335.0,170.0,0.338,180.0,180.0,1.65,30.4,47.5,69.3,10.0,7.0,no,0.0,RWE POWER AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
NIEDERAUSSEM F,lignite,lignite,0.406,320.0,160.0,0.346,170.0,170.0,1.65,30.4,47.5,69.3,10.0,7.0,no,0.0,RWE POWER AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
NIEDERAUSSEM E,lignite,lignite,0.406,315.0,160.0,0.346,170.0,170.0,1.65,30.4,47.5,69.3,10.0,7.0,no,0.0,RWE POWER AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
NEURATH A,lignite,lignite,0.406,300.0,150.0,0.355,160.0,160.0,1.65,45.1,73.9,73.2,10.0,7.0,no,0.0,RWE POWER AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
NEURATH B,lignite,lignite,0.406,300.0,150.0,0.355,160.0,160.0,1.65,45.1,73.9,73.2,10.0,7.0,no,0.0,RWE POWER AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
NEURATH C,lignite,lignite,0.406,300.0,150.0,0.355,160.0,160.0,1.65,45.1,73.9,73.2,10.0,7.0,no,0.0,RWE POWER AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
FRIMMERSDORF Q,lignite,lignite,0.406,300.0,150.0,0.346,160.0,160.0,1.65,45.1,73.9,73.2,10.0,7.0,no,0.0,RWE POWER AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
WEISWEILER E,lignite,lignite,0.406,300.0,150.0,0.338,160.0,160.0,1.65,45.1,73.9,73.2,10.0,7.0,no,0.0,RWE POWER AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
FRIMMERSDORF P,lignite,lignite,0.406,300.0,150.0,0.337,160.0,160.0,1.65,45.1,73.9,73.2,10.0,7.0,yes,30.0,RWE POWER AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
NIEDERAUSSEM D,lignite,lignite,0.406,300.0,150.0,0.337,160.0,160.0,1.65,45.1,73.9,73.2,10.0,7.0,no,0.0,RWE POWER AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
WEISWEILER F,lignite,lignite,0.406,300.0,150.0,0.337,160.0,160.0,1.65,45.1,73.9,73.2,10.0,7.0,no,0.0,RWE POWER AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
FRECHEN WACHTBERG,lignite,lignite,0.406,201.0,110.0,0.31,110.0,110.0,1.65,45.1,73.9,73.2,10.0,7.0,no,251.0,RWE POWER AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
MERKENICH BLOCK 6,lignite,lignite,0.406,82.0,41.0,0.325,44.0,44.0,1.65,45.1,73.9,73.2,10.0,7.0,yes,83.0,RHEINENERGIE AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
CHEMNITZ NORD II BLOCK C,lignite,lignite,0.406,75.0,38.0,0.395,40.0,40.0,1.65,45.1,73.9,73.2,10.0,7.0,yes,0.0,EINS ENERGIE IN SACHSEN GMBH,flexable_eom,naive_pos_reserve,naive_neg_reserve
CHEMNITZ NORD II BLOCK B,lignite,lignite,0.406,67.0,34.0,0.386,36.0,36.0,1.65,45.1,73.9,73.2,10.0,7.0,yes,0.0,EINS ENERGIE IN SACHSEN GMBH,flexable_eom,naive_pos_reserve,naive_neg_reserve
KLINGENBERG 5,lignite,lignite,0.406,60.0,30.0,0.388,32.0,32.0,1.65,45.1,73.9,73.2,10.0,7.0,no,0.0,VATTENFALL EUROPE AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
KLINGENBERG 6,lignite,lignite,0.406,60.0,30.0,0.388,32.0,32.0,1.65,45.1,73.9,73.2,10.0,7.0,no,0.0,VATTENFALL EUROPE AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
KLINGENBERG 4,lignite,lignite,0.406,60.0,30.0,0.37,32.0,32.0,1.65,45.1,73.9,73.2,10.0,7.0,no,0.0,VATTENFALL EUROPE AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
