name,energy,capacity_pos,capacity_neg
demand_EOM,naive,-,-
demand_CRM_pos,-,naive,-
demand_CRM_neg,-,-,naive
Wind onshore,naive,-,-
Wind offshore,naive,-,-
Solar,naive,-,-
Hydro,naive,-,-
Biomass,naive,-,-
KKW ISAR 2,flexable_eom,flexable_pos_crm,flexable_neg_crm
KKW BROKDORF,flexable_eom,flexable_pos_crm,flexable_neg_crm
KKW PHILIPPSBURG 2,flexable_eom,flexable_pos_crm,flexable_neg_crm
KKW GROHNDE,flexable_eom,flexable_pos_crm,flexable_neg_crm
KKW EMSLAND,flexable_eom,flexable_pos_crm,flexable_neg_crm
KKW NECKARWESTHEIM,flexable_eom,flexable_pos_crm,flexable_neg_crm
KKW GUNDREMMINGEN C,flexable_eom,flexable_pos_crm,flexable_neg_crm
NEURATH F,flexable_eom,flexable_pos_crm,flexable_neg_crm
NEURATH G,flexable_eom,flexable_pos_crm,flexable_neg_crm
NIEDERAUSSEM K,flexable_eom,flexable_pos_crm,flexable_neg_crm
LIPPENDORF R,flexable_eom,flexable_pos_crm,flexable_neg_crm
LIPPENDORF S,flexable_eom,flexable_pos_crm,flexable_neg_crm
BOXBERG Q,flexable_eom,flexable_pos_crm,flexable_neg_crm
SCHWARZE PUMPE A,flexable_eom,flexable_pos_crm,flexable_neg_crm
SCHWARZE PUMPE B,flexable_eom,flexable_pos_crm,flexable_neg_crm
BOXBERG R,flexable_eom,flexable_pos_crm,flexable_neg_crm
NIEDERAUSSEM G,flexable_eom,flexable_pos_crm,flexable_neg_crm
NIEDERAUSSEM H,flexable_eom,flexable_pos_crm,flexable_neg_crm
NEURATH D,flexable_eom,flexable_pos_crm,flexable_neg_crm
WEISWEILER H,flexable_eom,flexable_pos_crm,flexable_neg_crm
NEURATH E,flexable_eom,flexable_pos_crm,flexable_neg_crm
WEISWEILER G,flexable_eom,flexable_pos_crm,flexable_neg_crm
JAENSCHWALDE D,flexable_eom,flexable_pos_crm,flexable_neg_crm
JAENSCHWALDE E,flexable_eom,flexable_pos_crm,flexable_neg_crm
JAENSCHWALDE F,flexable_eom,flexable_pos_crm,flexable_neg_crm
JAENSCHWALDE B,flexable_eom,flexable_pos_crm,flexable_neg_crm
JAENSCHWALDE C,flexable_eom,flexable_pos_crm,flexable_neg_crm
BOXBERG P,flexable_eom,flexable_pos_crm,flexable_neg_crm
JAENSCHWALDE A,flexable_eom,flexable_pos_crm,flexable_neg_crm
BOXBERG N,flexable_eom,flexable_pos_crm,flexable_neg_crm
SCHKOPAU II A,flexable_eom,flexable_pos_crm,flexable_neg_crm
