name,technology,bidding_EOM,bidding_CRM_pos,bidding_CRM_neg,max_power_charge,max_power_discharge,efficiency_charge,efficiency_discharge,min_soc,max_soc,capacity,additional_cost_charge,additional_cost_discharge,natural_inflow,unit_operator
Tanzmühle - Rabenleite,PSPP,storage_energy_heuristic_flexable,storage_capacity_heuristic_balancing_pos,storage_capacity_heuristic_balancing_neg,25,35,0.81,0.88,0,1,404,0.28,0.28,0,GDF SUEZ ENERGIE DEUTSCHLAND
Schwarzenbachwerk,PSPP,storage_energy_heuristic_flexable,storage_capacity_heuristic_balancing_pos,storage_capacity_heuristic_balancing_neg,20,46,0.73,0.82,0,1,198,0.28,0.28,1.2,ENBW ENERGIE BADEN-WURTTEMBERG
Leitzach II,PSPP,storage_energy_heuristic_flexable,storage_capacity_heuristic_balancing_pos,storage_capacity_heuristic_balancing_neg,38,49,0.86,0.9,0,1,550,0.28,0.28,0.7,STADTWERKE MUENCHEN GMBH
Leitzach I,PSPP,storage_energy_heuristic_flexable,storage_capacity_heuristic_balancing_pos,storage_capacity_heuristic_balancing_neg,40,51,0.86,0.9,0,1,550,0.28,0.28,1.8,STADTWERKE MUENCHEN GMBH
Hohenwarte I,PSPP,storage_energy_heuristic_flexable,storage_capacity_heuristic_balancing_pos,storage_capacity_heuristic_balancing_neg,34,63,0.8,0.87,0,1,504,0.28,0.28,1.9,VATTENFALL EUROPE AG
Bleiloch,PSPP,storage_energy_heuristic_flexable,storage_capacity_heuristic_balancing_pos,storage_capacity_heuristic_balancing_neg,32,80,0.8,0.87,0,1,640,0.28,0.28,1.3,VATTENFALL EUROPE AG
Wendefurth,PSPP,storage_energy_heuristic_flexable,storage_capacity_heuristic_balancing_pos,storage_capacity_heuristic_balancing_neg,72,80,0.82,0.88,0,1,523,0.28,0.28,0,VATTENFALL EUROPE AG
Glems,PSPP,storage_energy_heuristic_flexable,storage_capacity_heuristic_balancing_pos,storage_capacity_heuristic_balancing_neg,68,90,0.84,0.89,0,1,560,0.28,0.28,0,ENBW ENERGIE BADEN-WURTTEMBERG
Reisach - Rabenleite,PSPP,storage_energy_heuristic_flexable,storage_capacity_heuristic_balancing_pos,storage_capacity_heuristic_balancing_neg,84,100,0.85,0.9,0,1,630,0.28,0.28,0,GDF SUEZ ENERGIE DEUTSCHLAND
Geesthacht,PSPP,storage_energy_heuristic_flexable,storage_capacity_heuristic_balancing_pos,storage_capacity_heuristic_balancing_neg,96,105,0.81,0.87,0,1,600,0.28,0.28,0,VATTENFALL EUROPE AG
Rönkhausen,PSPP,storage_energy_heuristic_flexable,storage_capacity_heuristic_balancing_pos,storage_capacity_heuristic_balancing_neg,140,140,0.85,0.9,0,1,690,0.28,0.28,0,ENERVIE - SUEDWESTFALEN ENERGIE
