datetime,demand_EOM
2021-01-01 00:00:00,44984
2021-01-01 00:15:00,44772
2021-01-01 00:30:00,44412
2021-01-01 00:45:00,44176
2021-01-01 01:00:00,43516
2021-01-01 01:15:00,43000
2021-01-01 01:30:00,42496
2021-01-01 01:45:00,42320
2021-01-01 02:00:00,41600
2021-01-01 02:15:00,41216
2021-01-01 02:30:00,40968
2021-01-01 02:45:00,40664
2021-01-01 03:00:00,40504
2021-01-01 03:15:00,40424
2021-01-01 03:30:00,40344
2021-01-01 03:45:00,40188
2021-01-01 04:00:00,40504
2021-01-01 04:15:00,40372
2021-01-01 04:30:00,40320
2021-01-01 04:45:00,40080
2021-01-01 05:00:00,39908
2021-01-01 05:15:00,39540
2021-01-01 05:30:00,39536
2021-01-01 05:45:00,39584
2021-01-01 06:00:00,39136
2021-01-01 06:15:00,39016
2021-01-01 06:30:00,38964
2021-01-01 06:45:00,39056
2021-01-01 07:00:00,39236
2021-01-01 07:15:00,39412
2021-01-01 07:30:00,39640
2021-01-01 07:45:00,39804
2021-01-01 08:00:00,40152
2021-01-01 08:15:00,40340
2021-01-01 08:30:00,40716
2021-01-01 08:45:00,41308
2021-01-01 09:00:00,42212
2021-01-01 09:15:00,42820
2021-01-01 09:30:00,43152
2021-01-01 09:45:00,43740
2021-01-01 10:00:00,44644
2021-01-01 10:15:00,45360
2021-01-01 10:30:00,45836
2021-01-01 10:45:00,46420
2021-01-01 11:00:00,47068
2021-01-01 11:15:00,47900
2021-01-01 11:30:00,48492
2021-01-01 11:45:00,48688
2021-01-01 12:00:00,49284
2021-01-01 12:15:00,49404
2021-01-01 12:30:00,49304
2021-01-01 12:45:00,48912
2021-01-01 13:00:00,48740
2021-01-01 13:15:00,48480
2021-01-01 13:30:00,48288
2021-01-01 13:45:00,47976
2021-01-01 14:00:00,47636
2021-01-01 14:15:00,47452
2021-01-01 14:30:00,47368
2021-01-01 14:45:00,47216
2021-01-01 15:00:00,47532
2021-01-01 15:15:00,47496
2021-01-01 15:30:00,47820
2021-01-01 15:45:00,47976
2021-01-01 16:00:00,48208
2021-01-01 16:15:00,48884
2021-01-01 16:30:00,50020
