datetime,co2_price,electricity_price,electricity_price_flex,natural_gas_price,hydrogen_gas_price,A360_thermal_demand,A360_thermal_storage_schedule,A360_congestion_severity
1/1/2023 0:00,65.8,12,10,11,11,8,1,0.1
1/1/2023 1:00,65.8,12,11,11,11,8,1,0.2
1/1/2023 2:00,65.8,12,12,11,11,8,1,0.3
1/1/2023 3:00,65.8,12,13,11,11,8,1,0.4
1/1/2023 4:00,65.8,12,14,11,11,8,1,0.5
1/1/2023 5:00,65.8,12,15,11,11,8,1,0.6
1/1/2023 6:00,65.8,13,10,11,11,8,1,0.7
1/1/2023 7:00,65.8,13,11,11,11,8,1,0.8
1/1/2023 8:00,65.8,13,12,11,11,8,1,0.9
1/1/2023 9:00,65.8,13,13,11,11,8,1,1
1/1/2023 10:00,65.8,13,14,11,11,8,1,0.1
1/1/2023 11:00,65.8,13,15,11,11,8,1,0.2
1/1/2023 12:00,65.8,13,10,11,11,8,1,0.3
1/1/2023 13:00,65.8,13,11,11,11,8,1,0.4
1/1/2023 14:00,65.8,14,12,11,11,8,1,0.5
1/1/2023 15:00,65.8,14,13,11,11,8,1,0.6
1/1/2023 16:00,65.8,14,14,11,11,8,1,0.7
1/1/2023 17:00,65.8,14,15,11,11,8,1,0.8
1/1/2023 18:00,65.8,14,10,11,11,8,1,0.9
1/1/2023 19:00,65.8,14,11,11,11,8,1,1
1/1/2023 20:00,65.8,14,12,11,11,8,1,0.1
1/1/2023 21:00,65.8,12,13,11,11,8,0,0.2
1/1/2023 22:00,65.8,12,14,11,11,8,0,0.3
1/1/2023 23:00,65.8,12,15,11,11,8,0,0.4
1/2/2023 0:00,65.8,12,10,11,11,8,0,0.5
1/2/2023 1:00,65.8,12,11,11,11,8,0,0.6
1/2/2023 2:00,65.8,12,12,11,11,8,0,0.7
1/2/2023 3:00,65.8,12,13,11,11,8,0,0.8
1/2/2023 4:00,65.8,12,14,11,11,8,0,0.9
1/2/2023 5:00,65.8,12,15,11,11,8,0,1
1/2/2023 6:00,65.8,12,10,11,11,8,0,0.1
1/2/2023 7:00,65.8,12,11,11,11,8,0,0.2
1/2/2023 8:00,65.8,12,12,11,11,8,0,0.3
1/2/2023 9:00,65.8,12,13,11,11,8,0,0.4
1/2/2023 10:00,65.8,12,14,11,11,8,0,0.5
1/2/2023 11:00,65.8,12,10,11,11,8,0,0.6
1/2/2023 12:00,65.8,12,11,11,11,8,1,0.7
1/2/2023 13:00,65.8,12,12,11,11,8,1,0.8
1/2/2023 14:00,65.8,12,13,11,11,8,1,0.9
1/2/2023 15:00,65.8,12,14,11,11,8,1,1
1/2/2023 16:00,65.8,12,15,11,11,8,1,0.1
1/2/2023 17:00,65.8,12,10,11,11,8,1,0.2
1/2/2023 18:00,65.8,12,11,11,11,8,1,0.3
1/2/2023 19:00,65.8,12,12,11,11,8,1,0.4
1/2/2023 20:00,65.8,13,13,11,11,8,1,0.5
1/2/2023 21:00,65.8,14,14,11,11,8,1,0.6
1/2/2023 22:00,65.8,15,15,11,11,8,1,0.7
1/2/2023 23:00,65.8,10,10,11,11,8,1,0.8
1/3/2023 0:00,65.8,11,11,11,11,8,1,0.9
1/3/2023 1:00,65.8,12,12,11,11,8,1,1
1/3/2023 2:00,65.8,13,13,11,11,8,0,0.1
1/3/2023 3:00,65.8,14,14,11,11,8,0,0.2
1/3/2023 4:00,65.8,15,15,11,11,8,0,0.3
1/3/2023 5:00,65.8,10,10,11,11,8,0,0.4
1/3/2023 6:00,65.8,11,11,11,11,8,0,0.5
1/3/2023 7:00,65.8,12,12,11,11,8,0,0.6
1/3/2023 8:00,65.8,13,13,11,11,8,0,0.7
1/3/2023 9:00,65.8,14,14,11,11,8,0,0.8
1/3/2023 10:00,65.8,15,15,11,11,8,0,0.9
1/3/2023 11:00,65.8,10,10,11,11,8,0,1
1/3/2023 12:00,65.8,11,11,11,11,8,0,0.1
1/3/2023 13:00,65.8,12,12,11,11,8,0,0.2
1/3/2023 14:00,65.8,13,13,11,11,8,0,0.3
1/3/2023 15:00,65.8,14,14,11,11,8,0,0.4
1/3/2023 16:00,65.8,15,15,11,11,8,0,0.5
1/3/2023 17:00,65.8,10,10,11,11,8,1,0.6
1/3/2023 18:00,65.8,11,11,11,11,8,1,0.7
1/3/2023 19:00,65.8,12,12,11,11,8,1,0.8
1/3/2023 20:00,65.8,13,13,11,11,8,1,0.9
1/3/2023 21:00,65.8,14,14,11,11,8,1,1
1/3/2023 22:00,65.8,10,10,11,11,8,1,0.1
1/3/2023 23:00,65.8,11,11,11,11,8,1,0.2
1/4/2023 0:00,65.8,12,12,11,11,8,1,0.3
1/4/2023 1:00,65.8,13,13,11,11,8,1,0.4
1/4/2023 2:00,65.8,14,14,11,11,8,1,0.5
1/4/2023 3:00,65.8,15,15,11,11,8,1,0.6
1/4/2023 4:00,65.8,10,10,11,11,8,1,0.7
1/4/2023 5:00,65.8,11,11,11,11,8,1,0.8
1/4/2023 6:00,65.8,12,12,11,11,8,1,0.9
1/4/2023 7:00,65.8,13,13,11,11,8,1,1
1/4/2023 8:00,65.8,14,14,11,11,8,1,0.1
1/4/2023 9:00,65.8,15,15,11,11,8,1,0.2
1/4/2023 10:00,65.8,10,10,11,11,8,1,0.3
1/4/2023 11:00,65.8,11,11,11,11,8,0,0.4
1/4/2023 12:00,65.8,12,12,11,11,8,0,0.5
1/4/2023 13:00,65.8,13,13,11,11,8,0,0.6
1/4/2023 14:00,65.8,14,14,11,11,8,0,0.7
1/4/2023 15:00,65.8,15,15,11,11,8,0,0.8
1/4/2023 16:00,65.8,10,10,11,11,8,0,0.9
1/4/2023 17:00,65.8,11,11,11,11,8,0,1
1/4/2023 18:00,65.8,12,12,11,11,8,0,0.1
1/4/2023 19:00,65.8,13,13,11,11,8,0,0.2
1/4/2023 20:00,65.8,14,14,11,11,8,0,0.3
1/4/2023 21:00,65.8,15,15,11,11,8,0,0.4
1/4/2023 22:00,65.8,10,10,11,11,8,0,0.5
1/4/2023 23:00,65.8,11,11,11,11,8,0,0.6
1/5/2023 0:00,65.8,12,12,11,11,8,0,0.7
1/5/2023 1:00,65.8,13,13,11,11,8,0,0.8
1/5/2023 2:00,65.8,14,14,11,11,8,1,0.9
1/5/2023 3:00,65.8,15,15,11,11,8,1,1
1/5/2023 4:00,65.8,10,10,11,11,8,1,0.1
1/5/2023 5:00,65.8,11,11,11,11,8,1,0.2
1/5/2023 6:00,65.8,12,12,11,11,8,1,0.3
1/5/2023 7:00,65.8,13,13,11,11,8,1,0.4
1/5/2023 8:00,65.8,14,14,11,11,8,1,0.5
1/5/2023 9:00,65.8,10,10,11,11,8,1,0.6
1/5/2023 10:00,65.8,11,11,11,11,8,1,0.7
1/5/2023 11:00,65.8,12,12,11,11,8,1,0.8
1/5/2023 12:00,65.8,13,13,11,11,8,1,0.9
1/5/2023 13:00,65.8,14,14,11,11,8,1,1
1/5/2023 14:00,65.8,15,15,11,11,8,1,0.1
1/5/2023 15:00,65.8,10,10,11,11,8,1,0.2
1/5/2023 16:00,65.8,11,11,11,11,8,1,0.3
1/5/2023 17:00,65.8,12,12,11,11,8,1,0.4
1/5/2023 18:00,65.8,13,13,11,11,8,1,0.5
1/5/2023 19:00,65.8,14,14,11,11,8,1,0.6
1/5/2023 20:00,65.8,15,15,11,11,8,1,0.7
1/5/2023 21:00,65.8,10,10,11,11,8,1,0.8
1/5/2023 22:00,65.8,11,11,11,11,8,1,0.9
1/5/2023 23:00,65.8,12,12,11,11,8,1,1
1/6/2023 0:00,65.8,13,13,11,11,8,1,0.1
1/6/2023 1:00,65.8,14,14,11,11,8,1,0.2
1/6/2023 2:00,65.8,15,15,11,11,8,1,0.3
1/6/2023 3:00,65.8,10,10,11,11,8,1,0.4
1/6/2023 4:00,65.8,11,11,11,11,8,1,0.5
1/6/2023 5:00,65.8,12,12,11,11,8,1,0.6
1/6/2023 6:00,65.8,13,13,11,11,8,1,0.7
1/6/2023 7:00,65.8,14,14,11,11,8,1,0.8
1/6/2023 8:00,65.8,15,15,11,11,8,1,0.9
1/6/2023 9:00,65.8,10,10,11,11,8,1,1
1/6/2023 10:00,65.8,11,11,11,11,8,1,0.1
1/6/2023 11:00,65.8,12,12,11,11,8,1,0.2
1/6/2023 12:00,65.8,13,13,11,11,8,1,0.3
1/6/2023 13:00,65.8,14,14,11,11,8,1,0.4
1/6/2023 14:00,65.8,15,15,11,11,8,0,0.5
1/6/2023 15:00,65.8,10,10,11,11,8,0,0.6
1/6/2023 16:00,65.8,11,11,11,11,8,0,0.7
1/6/2023 17:00,65.8,12,12,11,11,8,0,0.8
1/6/2023 18:00,65.8,13,13,11,11,8,0,0.9
1/6/2023 19:00,65.8,14,14,11,11,8,0,1
1/6/2023 20:00,65.8,10,10,11,11,8,0,0.1
1/6/2023 21:00,65.8,11,11,11,11,8,0,0.2
1/6/2023 22:00,65.8,12,12,11,11,8,0,0.3
1/6/2023 23:00,65.8,13,13,11,11,8,0,0.4
1/7/2023 0:00,65.8,14,14,11,11,8,0,0.5
1/7/2023 1:00,65.8,15,15,11,11,8,0,0.6
1/7/2023 2:00,65.8,10,10,11,11,8,0,0.7
1/7/2023 3:00,65.8,11,11,11,11,8,0,0.8
1/7/2023 4:00,65.8,12,12,11,11,8,0,0.9
1/7/2023 5:00,65.8,13,13,11,11,8,0,1
1/7/2023 6:00,65.8,14,14,11,11,8,0,0.1
1/7/2023 7:00,65.8,15,15,11,11,8,0,0.2
1/7/2023 8:00,65.8,10,10,11,11,8,0,0.3
1/7/2023 9:00,65.8,11,11,11,11,8,0,0.4
1/7/2023 10:00,65.8,12,12,11,11,8,0,0.5
1/7/2023 11:00,65.8,13,13,11,11,8,0,0.6
1/7/2023 12:00,65.8,14,14,11,11,8,0,0.7
1/7/2023 13:00,65.8,15,15,11,11,8,0,0.8
1/7/2023 14:00,65.8,10,10,11,11,8,0,0.9
1/7/2023 15:00,65.8,11,11,11,11,8,0,1
1/7/2023 16:00,65.8,12,12,11,11,8,0,0.1
1/7/2023 17:00,65.8,13,13,11,11,8,0,0.2
1/7/2023 18:00,65.8,14,14,11,11,8,0,0.3
1/7/2023 19:00,65.8,15,15,11,11,8,1,0.4
1/7/2023 20:00,65.8,10,10,11,11,8,1,0.5
1/7/2023 21:00,65.8,11,11,11,11,8,1,0.6
1/7/2023 22:00,65.8,12,12,11,11,8,1,0.7
1/7/2023 23:00,65.8,13,13,11,11,8,1,0.8
