,Optimal Power Requirement (kW),Flex Power Requirement (kW)
0,8.0,8.0
1,8.0,8.0
2,8.0,8.0
3,8.0,8.0
4,8.0,8.0
5,8.0,8.0
6,8.0,8.0
7,8.0,8.0
8,8.0,8.0
9,8.0,8.0
10,8.0,8.0
11,8.0,8.0
12,8.0,8.0
13,8.0,8.0
14,8.0,8.0
15,8.0,8.0
16,8.0,8.0
17,8.0,8.0
18,8.0,8.0
19,8.0,8.0
20,8.0,8.0
21,12.0,12.0
22,12.0,12.0
23,12.0,12.0
24,12.0,12.0
25,12.0,12.0
26,12.0,12.0
27,12.0,12.0
28,12.0,12.0
29,12.0,12.0
30,12.0,12.0
31,12.0,12.0
32,12.0,12.0
33,12.0,12.0
34,12.0,12.0
35,12.0,12.0
36,8.0,8.0
37,8.0,8.0
38,8.0,8.0
39,8.0,8.0
40,8.0,8.0
41,8.0,8.0
42,8.0,8.0
43,8.0,8.0
44,8.0,8.0
45,8.0,8.0
46,8.0,8.0
47,8.0,8.0
48,8.0,8.0
49,8.0,8.0
50,12.0,12.0
51,12.0,12.0
52,12.0,12.0
53,12.0,12.0
54,12.0,12.0
55,12.0,12.0
56,12.0,12.0
57,12.0,12.0
58,12.0,12.0
59,12.0,12.0
60,12.0,12.0
61,12.0,12.0
62,12.0,12.0
63,12.0,12.0
64,12.0,12.0
65,8.0,8.0
66,8.0,8.0
67,8.0,8.0
68,8.0,8.0
69,8.0,8.0
70,8.0,8.0
71,8.0,8.0
72,8.0,8.0
73,8.0,8.0
74,8.0,8.0
75,8.0,8.0
76,8.0,8.0
77,8.0,8.0
78,8.0,8.0
79,8.0,8.0
80,8.0,8.0
81,8.0,8.0
82,8.0,8.0
83,12.0,12.0
84,12.0,12.0
85,12.0,12.0
86,12.0,12.0
87,12.0,12.0
88,12.0,12.0
89,12.0,12.0
90,12.0,12.0
91,12.0,12.0
92,12.0,12.0
93,12.0,12.0
94,12.0,12.0
95,12.0,12.0
96,12.0,12.0
97,12.0,12.0
98,8.0,8.0
99,8.0,8.0
100,8.0,8.0
101,8.0,8.0
102,8.0,8.0
103,8.0,8.0
104,8.0,8.0
105,8.0,8.0
106,8.0,8.0
107,8.0,8.0
108,8.0,8.0
109,8.0,8.0
110,8.0,8.0
111,8.0,8.0
112,8.0,8.0
113,8.0,8.0
114,8.0,8.0
115,8.0,8.0
116,8.0,8.0
117,8.0,8.0
118,8.0,8.0
119,8.0,8.0
120,8.0,8.0
121,8.0,8.0
122,8.0,8.0
123,8.0,8.0
124,8.0,8.0
125,8.0,8.0
126,8.0,8.0
127,8.0,8.0
128,8.0,8.0
129,8.0,8.0
130,8.0,8.0
131,8.0,8.0
132,8.0,8.0
133,8.0,8.0
134,8.0,8.0
135,8.0,8.0
136,8.0,8.0
137,8.0,8.0
138,8.0,8.0
139,8.0,8.0
140,8.0,8.0
141,8.0,8.0
142,8.0,8.0
143,8.0,8.0
144,8.0,8.0
145,8.0,8.0
146,8.0,8.0
147,8.0,8.0
148,8.0,8.0
149,8.0,8.0
150,8.0,8.0
151,8.0,8.0
152,8.0,8.0
153,8.0,8.0
154,8.0,8.0
155,8.0,8.0
156,8.0,8.0
157,8.0,8.0
158,8.0,8.0
159,8.0,8.0
160,8.0,8.0
161,8.0,8.0
162,8.0,8.0
163,8.0,8.0
164,8.0,8.0
165,8.0,8.0
166,8.0,8.0
167,8.0,8.0
168,8.0,8.0
169,4.0,4.0
170,-0.0,-0.0
171,-0.0,-0.0
172,-0.0,-0.0
173,-0.0,-0.0
174,-0.0,-0.0
175,-0.0,-0.0
176,-0.0,-0.0
177,-0.0,-0.0
178,-0.0,-0.0
179,-0.0,-0.0
180,-0.0,-0.0
181,-0.0,-0.0
182,-0.0,-0.0
183,-0.0,-0.0
184,-0.0,-0.0
185,-0.0,-0.0
186,-0.0,-0.0
187,-0.0,-0.0
188,-0.0,-0.0
189,-0.0,-0.0
190,-0.0,-0.0
191,-0.0,-0.0
192,-0.0,-0.0
