name,typ,v_nom,x,y,carrier,v_mag_pu_set,v_mag_pu_min,v_mag_pu_max,control,sub_network
1,substation,220,9.52257597,52.36040906,AC,1,0,inf,Slack,0
2,substation,380,9.113210075,52.54385332,AC,1,0,inf,PQ,0
3,substation,380,9.389745096,52.02631307,AC,1,0,inf,PQ,0
4,substation,380,9.125265703,52.53826409,AC,1,0,inf,PQ,0
5,substation,380,10.36627494,52.28464675,AC,1,0,inf,PQ,0
6,substation,220,9.918148646,52.37999631,AC,1,0,inf,PQ,0
7,substation,380,9.91717972,52.27816861,AC,1,0,inf,PQ,0
8,substation,380,10.41499234,53.41260688,AC,1,0,inf,PQ,0
9,substation,380,10.37877059,53.21979277,AC,1,0,inf,PQ,0
10,substation,380,12.9416466,52.5621144,AC,1,0,inf,PQ,0
11,substation,220,13.20610299,52.65713628,AC,1,0,inf,PQ,0
12,substation,380,13.70966971,52.53979526,AC,1,0,inf,PQ,0
13,substation,380,11.37042625,48.29149223,AC,1,0,inf,PQ,0
14,substation,220,11.8132329,48.22126647,AC,1,0,inf,PQ,0
15,substation,380,11.86815629,48.20680292,AC,1,0,inf,PQ,0
16,substation,380,10.76104038,52.36772938,AC,1,0,inf,PQ,0
17,substation,380,13.49476337,52.58976444,AC,1,0,inf,PQ,0
18,substation,380,13.68347697,54.13909064,AC,1,0,inf,PQ,0
19,substation,220,11.2939727,48.05204277,AC,1,0,inf,PQ,0
20,substation,380,9.98460982,53.74112878,AC,1,0,inf,PQ,0
21,substation,380,10.15750152,53.55513167,AC,1,0,inf,PQ,0
22,substation,380,9.202104201,53.89515741,AC,1,0,inf,PQ,0
23,substation,220,9.988536609,53.76627767,AC,1,0,inf,PQ,0
24,substation,380,9.72699197,54.29142099,AC,1,0,inf,PQ,0
25,substation,380,9.344760988,53.92183706,AC,1,0,inf,PQ,0
26,substation,380,9.344001772,53.85177746,AC,1,0,inf,PQ,0
27,substation,220,9.529605129,53.61899069,AC,1,0,inf,PQ,0
28,substation,220,9.776544839,53.69063526,AC,1,0,inf,PQ,0
29,substation,380,10.38216666,52.99325404,AC,1,0,inf,PQ,0
30,substation,380,9.501789668,53.54281437,AC,1,0,inf,PQ,0
31,substation,380,9.746150816,50.91683995,AC,1,0,inf,PQ,0
32,substation,380,11.12285456,50.99890907,AC,1,0,inf,PQ,0
33,substation,380,10.38594116,51.0018133,AC,1,0,inf,PQ,0
34,substation,220,8.122642303,53.56051605,AC,1,0,inf,PQ,0
35,substation,220,8.085650597,53.60583419,AC,1,0,inf,PQ,0
36,substation,220,8.060056958,53.62020258,AC,1,0,inf,PQ,0
37,substation,380,11.63891276,52.26873468,AC,1,0,inf,PQ,0
38,substation,380,13.21152765,52.58062781,AC,1,0,inf,PQ,0
39,substation,380,11.72735342,52.56894699,AC,1,0,inf,PQ,0
40,substation,380,13.14339291,53.90814698,AC,1,0,inf,PQ,0
41,substation,380,11.85310571,53.08654448,AC,1,0,inf,PQ,0
42,substation,380,12.18698482,53.81577517,AC,1,0,inf,PQ,0
43,substation,220,12.49936597,52.40522843,AC,1,0,inf,PQ,0
44,substation,220,13.50615345,52.47382231,AC,1,0,inf,PQ,0
45,substation,220,13.3057533,52.23078185,AC,1,0,inf,PQ,0
46,substation,380,13.52419873,52.53563427,AC,1,0,inf,PQ,0
47,substation,380,13.45643069,52.52145175,AC,1,0,inf,PQ,0
48,substation,380,13.53704421,52.53745652,AC,1,0,inf,PQ,0
49,substation,380,10.99933301,52.20014197,AC,1,0,inf,PQ,0
50,plant,380,10.97723323,52.16943332,AC,1,0,inf,PQ,0
51,substation,380,9.25938382,51.06036685,AC,1,0,inf,PQ,0
52,substation,380,8.313340166,49.00904346,AC,1,0,inf,PQ,0
53,substation,380,7.753495465,48.0993557,AC,1,0,inf,PQ,0
54,plant,380,8.438467512,49.25245973,AC,1,0,inf,PQ,0
55,substation,220,8.512111329,49.29396565,AC,1,0,inf,PQ,0
56,substation,380,8.623209675,49.35658225,AC,1,0,inf,PQ,0
57,substation,220,8.445542489,48.98608818,AC,1,0,inf,PQ,0
58,substation,220,8.641584063,48.89005248,AC,1,0,inf,PQ,0
59,substation,380,8.563743997,53.03172158,AC,1,0,inf,PQ,0
60,substation,380,8.474707049,53.42865119,AC,1,0,inf,PQ,0
61,substation,380,8.51888181,53.20263528,AC,1,0,inf,PQ,0
62,substation,220,8.820024872,53.10738829,AC,1,0,inf,PQ,0
63,substation,220,8.120769098,48.70483543,AC,1,0,inf,PQ,0
64,substation,380,11.44077465,48.17180355,AC,1,0,inf,PQ,0
65,substation,380,13.326405,50.34637219,AC,1,0,inf,PQ,0
66,substation,380,12.11476441,49.63115505,AC,1,0,inf,PQ,0
67,substation,380,8.695160756,53.09253608,AC,1,0,inf,PQ,0
68,substation,380,8.77244296,49.97466867,AC,1,0,inf,PQ,0
69,substation,380,8.419371059,49.63373568,AC,1,0,inf,PQ,0
70,substation,380,8.388556368,49.98230508,AC,1,0,inf,PQ,0
71,substation,380,12.26217349,51.74102028,AC,1,0,inf,PQ,0
72,substation,380,11.89426614,51.40570314,AC,1,0,inf,PQ,0
73,substation,380,13.15709049,51.82845166,AC,1,0,inf,PQ,0
74,substation,380,13.90243469,51.87472352,AC,1,0,inf,PQ,0
75,substation,380,11.51655497,51.58435921,AC,1,0,inf,PQ,0
76,substation,380,8.702218449,51.73635258,AC,1,0,inf,PQ,0
77,substation,380,8.992792404,51.3430094,AC,1,0,inf,PQ,0
78,substation,380,11.64637863,50.53487697,AC,1,0,inf,PQ,0
79,substation,380,14.47196547,51.55381272,AC,1,0,inf,PQ,0
80,substation,380,14.50810918,51.41371038,AC,1,0,inf,PQ,0
81,substation,380,14.42818049,51.88886414,AC,1,0,inf,PQ,0
82,plant,220,8.141913826,53.56400117,AC,1,0,inf,PQ,0
83,substation,220,10.15628246,54.27554826,AC,1,0,inf,PQ,0
84,generator,220,10.1773541,54.33952126,AC,1,0,inf,PQ,0
85,substation,380,7.034967965,52.20286074,AC,1,0,inf,PQ,0
86,substation,380,7.308204301,52.47683539,AC,1,0,inf,PQ,0
87,substation,380,7.060306992,51.69647601,AC,1,0,inf,PQ,0
88,substation,220,6.674675321,51.32495747,AC,1,0,inf,PQ,0
89,substation,220,6.723767145,51.35565438,AC,1,0,inf,PQ,0
90,substation,380,7.545717723,51.97032442,AC,1,0,inf,PQ,0
91,plant,380,7.305614485,52.48014919,AC,1,0,inf,PQ,0
92,substation,380,7.304338755,52.482426,AC,1,0,inf,PQ,0
93,substation,380,7.277153913,52.75324259,AC,1,0,inf,PQ,0
94,substation,380,8.307756897,52.34563564,AC,1,0,inf,PQ,0
95,substation,380,7.889576712,52.27739676,AC,1,0,inf,PQ,0
96,substation,380,7.317849944,52.46911149,AC,1,0,inf,PQ,0
97,substation,380,13.33528038,49.58968986,AC,1,0,inf,PQ,0
98,substation,380,12.21477351,54.10032344,AC,1,0,inf,PQ,0
99,substation,380,6.996476592,49.37540931,AC,1,0,inf,PQ,0
100,substation,380,6.47473977,49.9224693,AC,1,0,inf,PQ,0
101,substation,380,11.6993927,53.57227449,AC,1,0,inf,PQ,0
102,substation,380,11.37063737,53.60099108,AC,1,0,inf,PQ,0
103,substation,380,6.948213435,51.44457894,AC,1,0,inf,PQ,0
104,substation,380,6.926758964,51.49920568,AC,1,0,inf,PQ,0
105,substation,380,6.680787989,51.64629594,AC,1,0,inf,PQ,0
106,substation,380,7.16721461,51.38990676,AC,1,0,inf,PQ,0
107,substation,380,7.125572911,51.44897726,AC,1,0,inf,PQ,0
108,substation,380,6.99606888,51.51416959,AC,1,0,inf,PQ,0
109,substation,380,7.313182843,51.44661139,AC,1,0,inf,PQ,0
110,substation,380,7.992887233,51.68370772,AC,1,0,inf,PQ,0
111,substation,380,8.624800528,51.42788838,AC,1,0,inf,PQ,0
112,substation,380,7.353111869,51.5758105,AC,1,0,inf,PQ,0
113,substation,380,7.12323883,51.52561218,AC,1,0,inf,PQ,0
114,substation,380,8.211705976,51.17798548,AC,1,0,inf,PQ,0
115,generator,220,6.576482088,51.05559546,AC,1,0,inf,PQ,0
116,substation,220,6.772523094,51.14710549,AC,1,0,inf,PQ,0
117,substation,380,6.972577427,50.79569302,AC,1,0,inf,PQ,0
118,substation,380,7.136894697,50.64286088,AC,1,0,inf,PQ,0
119,substation,380,6.456552466,50.87133804,AC,1,0,inf,PQ,0
120,substation,380,7.863945714,50.76824191,AC,1,0,inf,PQ,0
121,plant,380,6.321664915,50.83834736,AC,1,0,inf,PQ,0
122,substation,380,6.16738169,50.80204429,AC,1,0,inf,PQ,0
123,substation,380,6.702203378,51.00886091,AC,1,0,inf,PQ,0
124,substation,380,6.612402315,51.03592426,AC,1,0,inf,PQ,0
125,substation,380,6.965684424,51.06932953,AC,1,0,inf,PQ,0
126,substation,380,7.233196843,51.23250691,AC,1,0,inf,PQ,0
127,substation,380,6.300901238,50.82895321,AC,1,0,inf,PQ,0
128,substation,380,7.44948529,50.40252766,AC,1,0,inf,PQ,0
129,substation,380,6.625827902,51.26060982,AC,1,0,inf,PQ,0
130,substation,380,7.123081952,51.17158878,AC,1,0,inf,PQ,0
131,substation,380,6.80109334,51.12253905,AC,1,0,inf,PQ,0
132,substation,380,7.00877914,51.17425492,AC,1,0,inf,PQ,0
133,substation,380,6.842650662,50.8635385,AC,1,0,inf,PQ,0
134,substation,220,6.80461158,50.9662453,AC,1,0,inf,PQ,0
135,substation,380,7.718627215,51.53420751,AC,1,0,inf,PQ,0
136,substation,380,7.930770086,51.67297102,AC,1,0,inf,PQ,0
137,substation,220,6.221831446,51.69464564,AC,1,0,inf,PQ,0
138,generator,380,7.006749879,51.59991142,AC,1,0,inf,PQ,0
139,substation,220,7.037619885,51.59854963,AC,1,0,inf,PQ,0
140,substation,220,7.264083463,51.57357341,AC,1,0,inf,PQ,0
141,substation,220,7.278947113,51.47228168,AC,1,0,inf,PQ,0
142,generator,220,7.186677553,51.55058907,AC,1,0,inf,PQ,0
143,generator,380,7.351357841,51.56836861,AC,1,0,inf,PQ,0
144,substation,220,7.179379125,51.47220195,AC,1,0,inf,PQ,0
145,substation,220,6.934888697,51.03352234,AC,1,0,inf,PQ,0
146,substation,220,6.828135969,51.16267624,AC,1,0,inf,PQ,0
147,substation,220,7.505973297,51.40159255,AC,1,0,inf,PQ,0
148,substation,220,6.846999311,51.20559177,AC,1,0,inf,PQ,0
