name,technology,bidding_EOM,bidding_nodal,bidding_DAM,bidding_redispatch,fuel_type,emission_factor,max_power,min_power,efficiency,additional_cost,node,unit_operator,operating_type
Unit_0,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,hard coal,0.3,58.0,11.6,0.407182293,1.3,260,operator_0,Market
Unit_1,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,208.114,41.6228,0.41451345,5.5,260,operator_1,Market
Unit_2,Small oil,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,oil,0.25,28.2,5.64,0.4002,5.5,260,operator_2,Market
Unit_3,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0.0,37.6,7.52,0.33,0.0,260,operator_3,Market
Unit_4,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,hard coal,0.3,51.805,10.361,0.394519632,1.3,351,operator_4,Market
Unit_5,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,357.189692,71.4379384,0.444293778,5.5,351,operator_5,Market
Unit_6,Small oil,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,oil,0.25,29.2,5.84,0.419450427,5.5,351,operator_6,Market
Unit_7,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0.0,162.574,32.5148,0.33,0.0,351,operator_7,Market
Unit_8,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,110.3698,22.07396,0.396778571,5.5,348,operator_8,Market
Unit_9,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0.0,48.5,9.7,0.33,0.0,348,operator_9,Market
Unit_10,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,lignite,0.4,33.0,6.6,0.40030098,1.65,11,operator_10,Market
Unit_11,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,88.457,17.6914,0.403050514,5.5,11,operator_11,Market
Unit_12,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0.0,133.404,26.6808,0.33,0.0,11,operator_12,Market
Unit_13,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,14.82,2.964,0.490636968,5.5,62,operator_13,Market
Unit_14,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0.0,46.0,9.2,0.33,0.0,62,operator_14,Market
Unit_15,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,92.437,18.4874,0.422154158,5.5,183,operator_15,Market
Unit_16,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0.0,23.875,4.775,0.33,0.0,183,operator_16,Market
Unit_17,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,lignite,0.4,33.5,6.7,0.379586492,1.65,284,operator_17,Market
Unit_18,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,126.023,25.2046,0.404960301,5.5,284,operator_18,Market
Unit_19,Small oil,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,oil,0.25,24.81,4.962,0.456311487,5.5,284,operator_19,Market
Unit_20,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0.0,62.099,12.4198,0.33,0.0,284,operator_20,Market
Unit_21,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,80.705,16.141,0.407389993,5.5,42,operator_21,Market
Unit_22,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0.0,18.5,3.7,0.33,0.0,42,operator_22,Market
Unit_23,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,hard coal,0.3,79.4,15.88,0.374986765,1.3,475,operator_23,Market
Unit_24,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,lignite,0.4,19.0,3.8,0.335250218,1.65,475,operator_24,Market
Unit_25,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,280.004,56.0008,0.444495527,5.5,475,operator_25,Market
Unit_26,Small oil,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,oil,0.25,7.434,1.4868,0.4602,5.5,475,operator_26,Market
Unit_27,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0.0,120.29,24.058,0.33,0.0,475,operator_27,Market
Unit_28,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,hard coal,0.3,22.143,4.4286,0.340961945,1.3,167,operator_28,Market
Unit_29,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,lignite,0.4,49.133,9.8266,0.341634877,1.65,167,operator_29,Market
Unit_30,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,663.34085,132.66817,0.408470127,5.5,167,operator_30,Market
Unit_31,Small oil,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,oil,0.25,49.4672,9.89344,0.383967155,5.5,167,operator_31,Market
Unit_32,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0.0,245.716,49.1432,0.33,0.0,167,operator_32,Market
Unit_33,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,86.489,17.2978,0.411787185,5.5,255,operator_33,Market
Unit_34,Small oil,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,oil,0.25,11.11,2.222,0.4469,5.5,255,operator_34,Market
Unit_35,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0.0,35.0,7.0,0.33,0.0,255,operator_35,Market
Unit_36,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,43.81,8.762,0.443261118,5.5,99,operator_36,Market
Unit_37,Small oil,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,oil,0.25,34.86,6.972,0.3332,5.5,99,operator_37,Market
Unit_38,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0.0,27.6,5.52,0.33,0.0,99,operator_38,Market
Unit_39,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,58.378,11.6756,0.482481487,5.5,327,operator_39,Market
Unit_40,Small oil,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,oil,0.25,17.1,3.42,0.435,5.5,327,operator_40,Market
Unit_41,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0.0,15.7,3.14,0.33,0.0,327,operator_41,Market
Unit_42,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,lignite,0.4,81.1,16.22,0.363972262,1.65,292,operator_42,Market
Unit_43,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,166.392,33.2784,0.438961106,5.5,292,operator_43,Market
Unit_44,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0.0,69.69,13.938,0.33,0.0,292,operator_44,Market
Unit_45,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,hard coal,0.3,44.015,8.803,0.385740828,1.3,398,operator_45,Market
Unit_46,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,38.577,7.7154,0.397015068,5.5,398,operator_46,Market
Unit_47,Small oil,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,oil,0.25,54.446,10.8892,0.391666213,5.5,398,operator_47,Market
Unit_48,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0.0,55.36201,11.072402,0.33,0.0,398,operator_48,Market
