name,technology,bidding_EOM,bidding_redispatch,bidding_nodal,bidding_DAM,fuel_type,emission_factor,max_power,min_power,efficiency,additional_cost,node,unit_operator,operating_type
Unit_1,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,21.5,4.3,0.474,5.5,122,operator_1,Market
Unit_2,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,78.3,15.66,0.432,5.5,394,operator_2,Market
Unit_3,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,11,2.2,0.352,5.5,358,operator_3,Market
Unit_4,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,45,9,0.309,5.5,378,operator_4,Market
Unit_5,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,57,11.4,0.314,5.5,378,operator_5,Market
Unit_6,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,81,16.2,0.319,5.5,378,operator_6,Market
Unit_7,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Hard coal,0.3,323,64.6,0.423,1.3,378,operator_7,Market
Unit_8,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,65,13,0.373,5.5,378,operator_8,Market
Unit_9,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Waste,0,12.5,2.5,0.33,0,275,operator_9,Market
Unit_10,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,15,3,0.378,5.5,446,operator_10,Market
Unit_11,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,10.3,2.06,0.4,5.5,223,operator_11,Market
Unit_12,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,5.5,1.1,0.361,5.5,223,operator_12,Market
Unit_13,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,3.7,0.74,0.395,5.5,223,operator_13,Market
Unit_14,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,19.5,3.9,0.322,5.5,223,operator_14,Market
Unit_15,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Hard coal,0.3,5.8,1.16,0.335,1.3,114,operator_15,Market
Unit_16,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Hard coal,0.3,6.1,1.22,0.335,1.3,114,operator_16,Market
Unit_17,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Hard coal,0.3,6.1,1.22,0.335,1.3,114,operator_17,Market
Unit_18,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,31.6,6.32,0.412,5.5,385,operator_18,Market
Unit_19,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Waste,0,8,1.6,0.33,0,316,operator_19,Market
Unit_20,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Waste,0,6.7,1.34,0.33,0,316,operator_20,Market
Unit_21,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,13.8,2.76,0.455,5.5,316,operator_21,Market
Unit_22,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,1.8,0.36,0.46,5.5,316,operator_22,Market
Unit_23,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,5.2,1.04,0.449,5.5,316,operator_23,Market
Unit_24,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,30.7,6.14,0.39,5.5,316,operator_24,Market
Unit_25,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,20.4,4.08,0.359,5.5,316,operator_25,Market
Unit_26,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Waste,0,0.5,0.1,0.33,0,418,operator_26,Market
Unit_27,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Waste,0,0.5,0.1,0.33,0,418,operator_27,Market
Unit_28,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,11.3,2.26,0.395,5.5,254,operator_28,Market
Unit_29,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,10,2,0.467,5.5,33,operator_29,Market
Unit_30,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,9.8,1.96,0.363,5.5,33,operator_30,Market
Unit_31,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Waste,0,9.3,1.86,0.33,0,335,operator_31,Market
Unit_32,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,17.8,3.56,0.412,5.5,292,operator_32,Market
Unit_33,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,29.3,5.86,0.399,5.5,302,operator_33,Market
Unit_34,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,45.1,9.02,0.412,5.5,302,operator_34,Market
