datetime,demand_north,demand_east,demand_west,demand_CRM_pos,demand_CRM_neg
1/1/2023 0:00,40,10,40,20,20
1/1/2023 1:00,40,10,40,20,20
1/1/2023 2:00,40,10,40,20,20
1/1/2023 3:00,40,10,40,20,20
1/1/2023 4:00,40,10,40,20,20
1/1/2023 5:00,40,10,40,20,20
1/1/2023 6:00,40,10,40,20,20
1/1/2023 7:00,40,10,40,20,20
1/1/2023 8:00,40,10,40,20,20
1/1/2023 9:00,40,10,40,20,20
1/1/2023 10:00,40,10,40,20,20
1/1/2023 11:00,40,10,40,20,20
1/1/2023 12:00,40,10,40,20,20
1/1/2023 13:00,40,10,40,20,20
1/1/2023 14:00,40,10,40,20,20
1/1/2023 15:00,40,10,40,20,20
1/1/2023 16:00,40,10,40,20,20
1/1/2023 17:00,40,10,40,20,20
1/1/2023 18:00,40,10,40,20,20
1/1/2023 19:00,40,10,40,20,20
1/1/2023 20:00,40,10,40,20,20
1/1/2023 21:00,40,10,40,20,20
1/1/2023 22:00,40,10,40,20,20
1/1/2023 23:00,40,10,40,20,20
1/2/2023 0:00,40,10,40,20,20
1/2/2023 1:00,40,10,40,20,20
1/2/2023 2:00,40,10,40,20,20
1/2/2023 3:00,40,10,40,20,20
1/2/2023 4:00,40,10,40,20,20
1/2/2023 5:00,40,10,40,20,20
1/2/2023 6:00,40,10,40,20,20
1/2/2023 7:00,40,10,40,20,20
1/2/2023 8:00,40,10,40,20,20
1/2/2023 9:00,40,10,40,20,20
1/2/2023 10:00,40,10,40,20,20
1/2/2023 11:00,40,10,40,20,20
1/2/2023 12:00,40,10,40,20,20
1/2/2023 13:00,40,10,40,20,20
1/2/2023 14:00,40,10,40,20,20
1/2/2023 15:00,40,10,40,20,20
1/2/2023 16:00,40,10,40,20,20
1/2/2023 17:00,40,10,40,20,20
1/2/2023 18:00,40,10,40,20,20
1/2/2023 19:00,40,10,40,20,20
1/2/2023 20:00,40,10,40,20,20
1/2/2023 21:00,40,10,40,20,20
1/2/2023 22:00,40,10,40,20,20
1/2/2023 23:00,40,10,40,20,20
1/3/2023 0:00,40,10,40,20,20
1/3/2023 1:00,40,10,40,20,20
1/3/2023 2:00,40,10,40,20,20
1/3/2023 3:00,40,10,40,20,20
1/3/2023 4:00,40,10,40,20,20
1/3/2023 5:00,40,10,40,20,20
1/3/2023 6:00,40,10,40,20,20
1/3/2023 7:00,40,10,40,20,20
1/3/2023 8:00,40,10,40,20,20
1/3/2023 9:00,40,10,40,20,20
1/3/2023 10:00,40,10,40,20,20
1/3/2023 11:00,40,10,40,20,20
1/3/2023 12:00,40,10,40,20,20
1/3/2023 13:00,40,10,40,20,20
1/3/2023 14:00,40,10,40,20,20
1/3/2023 15:00,40,10,40,20,20
1/3/2023 16:00,40,10,40,20,20
1/3/2023 17:00,40,10,40,20,20
1/3/2023 18:00,40,10,40,20,20
1/3/2023 19:00,40,10,40,20,20
1/3/2023 20:00,40,10,40,20,20
1/3/2023 21:00,40,10,40,20,20
1/3/2023 22:00,40,10,40,20,20
1/3/2023 23:00,40,10,40,20,20
1/4/2023 0:00,40,10,40,20,20
1/4/2023 1:00,40,10,40,20,20
1/4/2023 2:00,40,10,40,20,20
1/4/2023 3:00,40,10,40,20,20
1/4/2023 4:00,40,10,40,20,20
1/4/2023 5:00,40,10,40,20,20
1/4/2023 6:00,40,10,40,20,20
1/4/2023 7:00,40,10,40,20,20
1/4/2023 8:00,40,10,40,20,20
1/4/2023 9:00,40,10,40,20,20
1/4/2023 10:00,40,10,40,20,20
1/4/2023 11:00,40,10,40,20,20
1/4/2023 12:00,40,10,40,20,20
1/4/2023 13:00,40,10,40,20,20
1/4/2023 14:00,40,10,40,20,20
1/4/2023 15:00,40,10,40,20,20
1/4/2023 16:00,40,10,40,20,20
1/4/2023 17:00,40,10,40,20,20
1/4/2023 18:00,40,10,40,20,20
1/4/2023 19:00,40,10,40,20,20
1/4/2023 20:00,40,10,40,20,20
1/4/2023 21:00,40,10,40,20,20
1/4/2023 22:00,40,10,40,20,20
1/4/2023 23:00,40,10,40,20,20
1/5/2023 0:00,40,10,40,20,20
1/5/2023 1:00,40,10,40,20,20
1/5/2023 2:00,40,10,40,20,20
1/5/2023 3:00,40,10,40,20,20
1/5/2023 4:00,40,10,40,20,20
1/5/2023 5:00,40,10,40,20,20
1/5/2023 6:00,40,10,40,20,20
1/5/2023 7:00,40,10,40,20,20
1/5/2023 8:00,40,10,40,20,20
1/5/2023 9:00,40,10,40,20,20
1/5/2023 10:00,40,10,40,20,20
1/5/2023 11:00,40,10,40,20,20
1/5/2023 12:00,40,10,40,20,20
1/5/2023 13:00,40,10,40,20,20
1/5/2023 14:00,40,10,40,20,20
1/5/2023 15:00,40,10,40,20,20
1/5/2023 16:00,40,10,40,20,20
1/5/2023 17:00,40,10,40,20,20
1/5/2023 18:00,40,10,40,20,20
1/5/2023 19:00,40,10,40,20,20
1/5/2023 20:00,40,10,40,20,20
1/5/2023 21:00,40,10,40,20,20
1/5/2023 22:00,40,10,40,20,20
1/5/2023 23:00,40,10,40,20,20
1/6/2023 0:00,40,10,40,20,20
1/6/2023 1:00,40,10,40,20,20
1/6/2023 2:00,40,10,40,20,20
1/6/2023 3:00,40,10,40,20,20
1/6/2023 4:00,40,10,40,20,20
1/6/2023 5:00,40,10,40,20,20
1/6/2023 6:00,40,10,40,20,20
1/6/2023 7:00,40,10,40,20,20
1/6/2023 8:00,40,10,40,20,20
1/6/2023 9:00,40,10,40,20,20
1/6/2023 10:00,40,10,40,20,20
1/6/2023 11:00,40,10,40,20,20
1/6/2023 12:00,40,10,40,20,20
1/6/2023 13:00,40,10,40,20,20
1/6/2023 14:00,40,10,40,20,20
1/6/2023 15:00,40,10,40,20,20
1/6/2023 16:00,40,10,40,20,20
1/6/2023 17:00,40,10,40,20,20
1/6/2023 18:00,40,10,40,20,20
1/6/2023 19:00,40,10,40,20,20
1/6/2023 20:00,40,10,40,20,20
1/6/2023 21:00,40,10,40,20,20
1/6/2023 22:00,40,10,40,20,20
1/6/2023 23:00,40,10,40,20,20
1/7/2023 0:00,40,10,40,20,20
1/7/2023 1:00,40,10,40,20,20
1/7/2023 2:00,40,10,40,20,20
1/7/2023 3:00,40,10,40,20,20
1/7/2023 4:00,40,10,40,20,20
1/7/2023 5:00,40,10,40,20,20
1/7/2023 6:00,40,10,40,20,20
1/7/2023 7:00,40,10,40,20,20
1/7/2023 8:00,40,10,40,20,20
1/7/2023 9:00,40,10,40,20,20
1/7/2023 10:00,40,10,40,20,20
1/7/2023 11:00,40,10,40,20,20
1/7/2023 12:00,40,10,40,20,20
1/7/2023 13:00,40,10,40,20,20
1/7/2023 14:00,40,10,40,20,20
1/7/2023 15:00,40,10,40,20,20
1/7/2023 16:00,40,10,40,20,20
1/7/2023 17:00,40,10,40,20,20
1/7/2023 18:00,40,10,40,20,20
1/7/2023 19:00,40,10,40,20,20
1/7/2023 20:00,40,10,40,20,20
1/7/2023 21:00,40,10,40,20,20
1/7/2023 22:00,40,10,40,20,20
1/7/2023 23:00,40,10,40,20,20
