name,technology,bidding_EOM,bidding_nodal,bidding_DAM,bidding_redispatch,fuel_type,emission_factor,max_power,min_power,efficiency,additional_cost,node,unit_operator,operating_type
Unit_0,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,hard coal,0.3,31.1,6.22,0.406816435,1.3,260,operator_0,Market
Unit_1,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,233.764,46.7528,0.414665196,5.5,260,operator_1,Market
Unit_2,Small oil,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,oil,0.25,61.7,12.34,0.3487,5.5,260,operator_2,Market
Unit_3,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0,37.6,7.52,0.33,0,260,operator_3,Market
Unit_4,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,hard coal,0.3,51.805,10.361,0.394519632,1.3,351,operator_4,Market
Unit_5,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,338.119692,67.6239384,0.450377637,5.5,351,operator_5,Market
Unit_6,Small oil,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,oil,0.25,29.2,5.84,0.419450427,5.5,351,operator_6,Market
Unit_7,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0,162.574,32.5148,0.33,0,351,operator_7,Market
Unit_8,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,65.3698,13.07396,0.425937521,5.5,348,operator_8,Market
Unit_9,Small oil,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,oil,0.25,34,6.8,0.3046,5.5,348,operator_9,Market
Unit_10,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0,36,7.2,0.33,0,348,operator_10,Market
Unit_11,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,lignite,0.4,17,3.4,0.39799937,1.65,11,operator_11,Market
Unit_12,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,88.457,17.6914,0.403050514,5.5,11,operator_12,Market
Unit_13,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0,167.074,33.4148,0.33,0,11,operator_13,Market
Unit_14,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,14.82,2.964,0.490636968,5.5,62,operator_14,Market
Unit_15,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0,46,9.2,0.33,0,62,operator_15,Market
Unit_16,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,33.932,6.7864,0.424061042,5.5,183,operator_16,Market
Unit_17,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0,23.875,4.775,0.33,0,183,operator_17,Market
Unit_18,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,lignite,0.4,33.5,6.7,0.379586492,1.65,284,operator_18,Market
Unit_19,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,126.023,25.2046,0.404960301,5.5,284,operator_19,Market
Unit_20,Small oil,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,oil,0.25,24.81,4.962,0.456311487,5.5,284,operator_20,Market
Unit_21,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0,62.099,12.4198,0.33,0,284,operator_21,Market
Unit_22,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,66.694,13.3388,0.408598519,5.5,42,operator_22,Market
Unit_23,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0,18.5,3.7,0.33,0,42,operator_23,Market
Unit_24,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,hard coal,0.3,79.4,15.88,0.374986765,1.3,475,operator_24,Market
Unit_25,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,lignite,0.4,19,3.8,0.335250218,1.65,475,operator_25,Market
Unit_26,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,281.064,56.2128,0.442438392,5.5,475,operator_26,Market
Unit_27,Small oil,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,oil,0.25,7.434,1.4868,0.4602,5.5,475,operator_27,Market
Unit_28,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0,120.29,24.058,0.33,0,475,operator_28,Market
Unit_29,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,hard coal,0.3,22.143,4.4286,0.340961945,1.3,167,operator_29,Market
Unit_30,Steam turbine,naive_eom,naive_eom,flexable_eom_block,,lignite,0.4,7.2,1.44,0.356570393,1.65,167,operator_30,Grid reserve
Unit_31,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,lignite,0.4,34.8,6.96,0.302244465,1.65,167,operator_31,Market
Unit_32,Small gas,naive_eom,naive_eom,flexable_eom_block,,natural gas,0.2,6.232,1.2464,0.364489377,5.5,167,operator_32,Grid reserve
Unit_33,Small gas,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,658.99085,131.79817,0.419252753,5.5,167,operator_33,Market
Unit_34,Small oil,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,oil,0.25,49.4672,9.89344,0.383967155,5.5,167,operator_34,Market
Unit_35,Steam turbine,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0,245.716,49.1432,0.33,0,167,operator_35,Market
