name,technology,bidding_EOM,bidding_redispatch,max_power_charge,max_power_discharge,efficiency_charge,efficiency_discharge,min_soc,max_soc,additional_cost_charge,additional_cost_discharge,natural_inflow,unit_operator,node
battery_li_ion0,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,4.519173,4.519173,0.95,0.95,1,8.30402,0.28,0.28,0,battery_operator_0,DE1-220
battery_li_ion1,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,5.506173,5.506173,0.95,0.95,1,9.262314,0.28,0.28,0,battery_operator_1,DE10-380
battery_li_ion2,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,3.923316,3.923316,0.95,0.95,1,7.23422,0.28,0.28,0,battery_operator_2,DE100-220
battery_li_ion3,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,33.879789,33.879789,0.95,0.95,1,78.004924,0.28,0.28,0,battery_operator_3,DE103-380
battery_li_ion4,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,5.925519,5.925519,0.95,0.95,1,11.075646,0.28,0.28,0,battery_operator_4,DE104-380
battery_li_ion5,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,24.496249,24.496249,0.95,0.95,1,32.74947,0.28,0.28,0,battery_operator_5,DE108-220
battery_li_ion6,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,2.96276,2.96276,0.95,0.95,1,5.0489,0.28,0.28,0,battery_operator_6,DE109-220
battery_li_ion7,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,3.364261,3.364261,0.95,0.95,1,6.043789,0.28,0.28,0,battery_operator_7,DE112-380
battery_li_ion8,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,8.747072,8.747072,0.95,0.95,1,12.98153,0.28,0.28,0,battery_operator_8,DE113-220
battery_li_ion9,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,6.5290170000000005,6.5290170000000005,0.95,0.95,1,9.939434,0.28,0.28,0,battery_operator_9,DE114-380
battery_li_ion10,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,7.175139,7.175139,0.95,0.95,1,11.133372999999999,0.28,0.28,0,battery_operator_10,DE117-380
battery_li_ion11,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,4.248753,4.248753,0.95,0.95,1,8.071147,0.28,0.28,0,battery_operator_11,DE118-220
battery_li_ion12,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,22.550518,22.550518,0.95,0.95,1,28.886874,0.28,0.28,0,battery_operator_12,DE12-380
battery_li_ion13,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,3.237016,3.237016,0.95,0.95,1,5.868144,0.28,0.28,0,battery_operator_13,DE121-380
battery_li_ion14,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,10.605062,10.605062,0.95,0.95,1,18.140507,0.28,0.28,0,battery_operator_14,DE122-220
battery_li_ion15,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,2.7165090000000003,2.7165090000000003,0.95,0.95,1,5.548005,0.28,0.28,0,battery_operator_15,DE124-380
battery_li_ion16,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,5.832305,5.832305,0.95,0.95,1,11.069299,0.28,0.28,0,battery_operator_16,DE125-380
battery_li_ion17,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,3.351242,3.351242,0.95,0.95,1,5.352285,0.28,0.28,0,battery_operator_17,DE129-220
battery_li_ion18,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,4.386934999999999,4.386934999999999,0.95,0.95,1,6.93095,0.28,0.28,0,battery_operator_18,DE131-220
battery_li_ion19,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,26.510815,26.510815,0.95,0.95,1,47.025782,0.28,0.28,0,battery_operator_19,DE133-380
battery_li_ion20,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,5.9633080000000005,5.9633080000000005,0.95,0.95,1,11.141457,0.28,0.28,0,battery_operator_20,DE134-380
battery_li_ion21,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,6.50312,6.50312,0.95,0.95,1,11.305299999999999,0.28,0.28,0,battery_operator_21,DE135-220
battery_li_ion22,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,18.32725,18.32725,0.95,0.95,1,31.949311,0.28,0.28,0,battery_operator_22,DE136-380
battery_li_ion23,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,2.410875,2.410875,0.95,0.95,1,5.137759,0.28,0.28,0,battery_operator_23,DE138-220
battery_li_ion24,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,7.785845999999999,7.785845999999999,0.95,0.95,1,12.432068,0.28,0.28,0,battery_operator_24,DE14-380
battery_li_ion25,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,11.752339999999998,11.752339999999998,0.95,0.95,1,20.873117,0.28,0.28,0,battery_operator_25,DE141-380
battery_li_ion26,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,15.249342,15.249342,0.95,0.95,1,27.314848,0.28,0.28,0,battery_operator_26,DE142-380
battery_li_ion27,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,6.041075,6.041075,0.95,0.95,1,10.324713,0.28,0.28,0,battery_operator_27,DE144-380
battery_li_ion28,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,2.530622,2.530622,0.95,0.95,1,5.148726,0.28,0.28,0,battery_operator_28,DE145-220
