datetime,co2_price,electricity_price,electricity_price_flex,natural_gas_price,hydrogen_gas_price,A360_thermal_demand,A360_thermal_storage_schedule,A360_congestion_severity
2023-01-01 00:00:00,65.8,12,10,11,11,8,1,0.1
2023-01-01 01:00:00,65.8,12,11,11,11,8,1,0.2
2023-01-01 02:00:00,65.8,12,12,11,11,8,1,0.3
2023-01-01 03:00:00,65.8,12,13,11,11,8,1,0.4
2023-01-01 04:00:00,65.8,12,14,11,11,8,1,0.5
2023-01-01 05:00:00,65.8,12,15,11,11,8,1,0.6
2023-01-01 06:00:00,65.8,13,10,11,11,8,1,0.7
2023-01-01 07:00:00,65.8,13,11,11,11,8,1,0.8
2023-01-01 08:00:00,65.8,13,12,11,11,8,1,0.9
2023-01-01 09:00:00,65.8,13,13,11,11,8,1,1.0
2023-01-01 10:00:00,65.8,13,14,11,11,8,1,0.1
2023-01-01 11:00:00,65.8,13,15,11,11,8,1,0.2
2023-01-01 12:00:00,65.8,13,10,11,11,8,1,0.3
2023-01-01 13:00:00,65.8,13,11,11,11,8,1,0.4
2023-01-01 14:00:00,65.8,14,12,11,11,8,1,0.5
2023-01-01 15:00:00,65.8,14,13,11,11,8,1,0.6
2023-01-01 16:00:00,65.8,14,14,11,11,8,1,0.7
2023-01-01 17:00:00,65.8,14,15,11,11,8,1,0.8
2023-01-01 18:00:00,65.8,14,10,11,11,8,1,0.9
2023-01-01 19:00:00,65.8,14,11,11,11,8,1,1.0
2023-01-01 20:00:00,65.8,14,12,11,11,8,1,0.1
2023-01-01 21:00:00,65.8,12,13,11,11,8,0,0.2
2023-01-01 22:00:00,65.8,12,14,11,11,8,0,0.3
2023-01-01 23:00:00,65.8,12,15,11,11,8,0,0.4
2023-01-02 00:00:00,65.8,12,10,11,11,8,0,0.5
2023-01-02 01:00:00,65.8,12,11,11,11,8,0,0.6
2023-01-02 02:00:00,65.8,12,12,11,11,8,0,0.7
2023-01-02 03:00:00,65.8,12,13,11,11,8,0,0.8
2023-01-02 04:00:00,65.8,12,14,11,11,8,0,0.9
2023-01-02 05:00:00,65.8,12,15,11,11,8,0,1.0
2023-01-02 06:00:00,65.8,12,10,11,11,8,0,0.1
2023-01-02 07:00:00,65.8,12,11,11,11,8,0,0.2
2023-01-02 08:00:00,65.8,12,12,11,11,8,0,0.3
2023-01-02 09:00:00,65.8,12,13,11,11,8,0,0.4
2023-01-02 10:00:00,65.8,12,14,11,11,8,0,0.5
2023-01-02 11:00:00,65.8,12,10,11,11,8,0,0.6
2023-01-02 12:00:00,65.8,12,11,11,11,8,1,0.7
2023-01-02 13:00:00,65.8,12,12,11,11,8,1,0.8
2023-01-02 14:00:00,65.8,12,13,11,11,8,1,0.9
2023-01-02 15:00:00,65.8,12,14,11,11,8,1,1.0
2023-01-02 16:00:00,65.8,12,15,11,11,8,1,0.1
2023-01-02 17:00:00,65.8,12,10,11,11,8,1,0.2
2023-01-02 18:00:00,65.8,12,11,11,11,8,1,0.3
2023-01-02 19:00:00,65.8,12,12,11,11,8,1,0.4
2023-01-02 20:00:00,65.8,13,13,11,11,8,1,0.5
2023-01-02 21:00:00,65.8,14,14,11,11,8,1,0.6
2023-01-02 22:00:00,65.8,15,15,11,11,8,1,0.7
2023-01-02 23:00:00,65.8,10,10,11,11,8,1,0.8
2023-01-03 00:00:00,65.8,11,11,11,11,8,1,0.9
2023-01-03 01:00:00,65.8,12,12,11,11,8,1,1.0
2023-01-03 02:00:00,65.8,13,13,11,11,8,0,0.1
2023-01-03 03:00:00,65.8,14,14,11,11,8,0,0.2
2023-01-03 04:00:00,65.8,15,15,11,11,8,0,0.3
2023-01-03 05:00:00,65.8,10,10,11,11,8,0,0.4
2023-01-03 06:00:00,65.8,11,11,11,11,8,0,0.5
2023-01-03 07:00:00,65.8,12,12,11,11,8,0,0.6
2023-01-03 08:00:00,65.8,13,13,11,11,8,0,0.7
2023-01-03 09:00:00,65.8,14,14,11,11,8,0,0.8
2023-01-03 10:00:00,65.8,15,15,11,11,8,0,0.9
2023-01-03 11:00:00,65.8,10,10,11,11,8,0,1.0
2023-01-03 12:00:00,65.8,11,11,11,11,8,0,0.1
2023-01-03 13:00:00,65.8,12,12,11,11,8,0,0.2
2023-01-03 14:00:00,65.8,13,13,11,11,8,0,0.3
2023-01-03 15:00:00,65.8,14,14,11,11,8,0,0.4
2023-01-03 16:00:00,65.8,15,15,11,11,8,0,0.5
2023-01-03 17:00:00,65.8,10,10,11,11,8,1,0.6
2023-01-03 18:00:00,65.8,11,11,11,11,8,1,0.7
2023-01-03 19:00:00,65.8,12,12,11,11,8,1,0.8
2023-01-03 20:00:00,65.8,13,13,11,11,8,1,0.9
2023-01-03 21:00:00,65.8,14,14,11,11,8,1,1.0
2023-01-03 22:00:00,65.8,10,10,11,11,8,1,0.1
2023-01-03 23:00:00,65.8,11,11,11,11,8,1,0.2
2023-01-04 00:00:00,65.8,12,12,11,11,8,1,0.3
2023-01-04 01:00:00,65.8,13,13,11,11,8,1,0.4
2023-01-04 02:00:00,65.8,14,14,11,11,8,1,0.5
2023-01-04 03:00:00,65.8,15,15,11,11,8,1,0.6
2023-01-04 04:00:00,65.8,10,10,11,11,8,1,0.7
2023-01-04 05:00:00,65.8,11,11,11,11,8,1,0.8
2023-01-04 06:00:00,65.8,12,12,11,11,8,1,0.9
2023-01-04 07:00:00,65.8,13,13,11,11,8,1,1.0
2023-01-04 08:00:00,65.8,14,14,11,11,8,1,0.1
2023-01-04 09:00:00,65.8,15,15,11,11,8,1,0.2
2023-01-04 10:00:00,65.8,10,10,11,11,8,1,0.3
