datetime,DE_NL_export,DE_NL_import,DE_CH_export,DE_CH_import,DE_DK_export,DE_DK_import,DE_CZ_export,DE_CZ_import,DE_LU_export,DE_LU_import,DE_SE_export,DE_SE_import,DE_AT_export,DE_AT_import,DE_FR_export,DE_FR_import,DE_PL_export,DE_PL_import,DE_NO_export,DE_NO_import,DE_BE_export,DE_BE_import
01-01-23 0:00,"1,115.50",-931.75,"2,135.25",-2.25,"2,606.25",-0.5,"1,393.00",-845,376.5,0,469,0,"2,393.75",-79.75,861,-4,"1,065.00",0,"1,273.25",0,176.5,0
01-01-23 1:00,"1,442.25",-15.75,"2,526.50",-88,"2,315.00",0,"1,540.00",-802,379,0,506,0,"2,603.25",-45,"2,008.00",0,"1,173.00",0,"1,289.00",0,0,-587
01-01-23 2:00,"1,452.25","-1,032.00","2,263.50",-41,"2,596.25",0,"1,526.00",-898,182.5,0,506,0,"2,392.50",-61.75,"1,970.00",0,"1,038.00",0,"1,298.00",0,705.25,0
01-01-23 3:00,"1,289.25","-1,317.50","2,180.00",-3,"2,732.75",0,"1,374.00",-871,113.75,0,506,0,"2,298.25",-68.75,"1,443.00",0,681,0,"1,298.75",0,620.75,0
01-01-23 4:00,"1,248.00","-1,446.00","2,447.50",-0.25,"2,567.00",0,"1,282.00",-962,101.25,0,506,0,"2,357.75",-87.5,"1,473.00",0,558,0,"1,308.25",0,826,0
01-01-23 5:00,"1,263.50","-1,138.50","2,381.00",0,"2,692.50",0,"1,195.00",-920,127.25,0,506,0,"2,340.25",-76,"1,445.00",0,595,0,"1,319.50",0,250.25,0
01-01-23 6:00,"1,229.50","-1,421.75","2,520.75",0,"2,519.25",0,"1,271.00",-902,47,0,506,0,"2,267.75",-77,"1,671.00",0,693,0,"1,374.00",0,359.75,0
01-01-23 7:00,"1,309.75","-1,105.75","2,821.25",-4.5,"2,546.00",0,"1,424.00",-906,80.25,0,506,0,"2,330.75",-79.5,"1,867.00",0,855,0,"1,394.00",0,40.25,0
01-01-23 8:00,"1,241.00","-1,021.25","2,484.00",-45.25,"2,322.00",0,"1,001.00","-1,043.00",106.75,0,506,0,"2,017.50",-189.25,"2,082.00",0,555,0,"1,374.75",0,0,-57.25
01-01-23 9:00,"1,059.75","-1,162.50","2,743.00",-80,"2,555.75",0,973,-820,96,0,506,0,"2,302.75",-95.75,"2,024.00",0,611,0,"1,356.00",0,65,-0.5
01-01-23 10:00,784.5,"-1,297.50","2,155.75",-107.75,"2,875.00",0,792,-698,85,0,506,0,"2,529.25",-60.75,"1,822.00",0,605,0,"1,329.25",0,724,0
01-01-23 11:00,839,-362,"1,767.25",-120.75,"2,872.50",0,466,-730,172.25,0,506,0,"2,215.00",-80,"1,346.00",0,942,0,"1,337.25",0,391.25,0
01-01-23 12:00,833.75,-351.25,"1,332.50",-90,"2,651.50",0,957,-969,130.75,0,506,0,"1,946.50",-94.5,826,0,782,0,"1,338.50",0,378,0
01-01-23 13:00,"1,020.75",-181.25,282.5,-6,"2,714.00",0,"1,138.00",-793,28.5,0,506,0,"1,772.75",-192.75,24,-309,"1,042.00",0,"1,357.25",0,458.75,0
01-01-23 14:00,"1,340.25",-296,231,-11.5,"2,012.00",0,"1,548.00",-582,31.75,0,506,0,"1,842.25",-293,0,-758,"1,337.00",0,"1,384.75",0,555.75,0
01-01-23 15:00,"1,641.25",-27,132.25,-321.25,"1,468.50",-3,"1,661.00",-266,47.75,0,421,0,"1,989.00",-441.25,0,"-1,278.00","1,480.00",0,"1,397.00",0,274.25,0
01-01-23 16:00,"2,257.75",0,176.5,-800.75,985,-321,"1,663.00",-124,78,0,51,0,"1,777.50",-535.25,0,"-1,783.00","1,087.00",0,"1,358.75",0,0,-97.25
01-01-23 17:00,"1,784.25",0,237.25,"-1,499.00",848,-360.25,"1,356.00",-181,105.5,0,0,0,"1,285.25",-506.25,0,"-2,537.00",939,0,"1,365.75",0,0,-271.25
01-01-23 18:00,"1,915.75",0,217.25,"-1,321.75",950.5,-372.25,"1,274.00",-159,156.25,0,0,-56,"1,228.75",-555,0,"-2,539.00",881,0,"1,366.25",0,0,-961
01-01-23 19:00,"1,779.75",0,178.75,"-1,191.25","1,260.75",-387,885,-204,27,0,0,-285,985,-465.75,0,"-2,510.00",757,0,"1,367.75",0,50.25,-3.25
01-01-23 20:00,"1,375.00",0,234.25,-954.5,"1,523.00",-394.5,812,-109,65.25,0,0,-304,"1,291.50",-492.75,0,"-2,656.00",946,0,"1,398.00",0,0,-321.75
01-01-23 21:00,"1,714.25",0,277,-705.75,"1,353.00",-403,947,-25,127.5,0,0,-27,"1,477.75",-541.5,0,"-2,668.00",977,0,"1,397.75",0,0,-170.75
01-01-23 22:00,"2,023.25",0,219.75,-602.25,"1,494.00",-425.25,733,-172,183.75,0,0,0,"1,300.25",-472.5,0,"-2,615.00",883,0,"1,358.50",0,0,-699.5
01-01-23 23:00,"1,025.75",0,218.5,-617.25,"1,835.25",-459.75,"1,170.00",-380,71.5,0,0,0,"1,242.00",-426.25,0,"-2,649.00",837,0,"1,367.75",0,504.5,0
02-01-23 0:00,634,-45.75,391.5,-306,"1,436.25",-514,"1,138.00",-759,0,-43.25,0,0,"1,294.50",-548.5,0,"-3,198.00",962,0,"1,398.25",0,590.25,0
02-01-23 1:00,418.5,-656.5,493.75,-116,"2,288.50",-420,"1,237.00","-1,058.00",4.5,-5.75,0,0,"1,462.50",-664.75,0,"-2,798.00",981,0,"1,399.25",0,3.5,-83.75
02-01-23 2:00,"1,456.25","-1,075.25",683,0,"2,419.25",-206.75,"1,269.00","-1,246.00",135.5,0,0,0,"1,575.00",-608,0,"-2,133.00","1,092.00",0,"1,399.50",0,0,-523.5
02-01-23 3:00,"1,437.50",-898.75,646.5,-59.25,"2,568.75",0,"1,288.00","-1,208.00",109.5,0,0,0,"1,532.00",-581.75,0,"-2,392.00","1,117.00",0,"1,399.50",0,0,-362
02-01-23 4:00,"1,446.00",-734,614.75,-44,"2,594.25",0,"1,277.00",-728,92.5,0,0,0,"1,820.50",-586.5,0,"-2,486.00","1,486.00",0,"1,399.25",0,0,-207
02-01-23 5:00,"1,097.00",-524.5,370,-360.5,"2,861.00",0,"1,208.00",-790,17,-10.75,0,0,"1,367.00",-516.5,0,"-2,709.00","1,217.00",0,"1,399.50",0,433.25,0
02-01-23 6:00,"1,412.25",-79.25,358.75,-584.25,"2,691.75",0,"1,277.00",-394,178.5,0,0,0,"1,349.75",-619.5,0,"-2,597.00","1,657.00",0,"1,378.25",0,0,-210.75
02-01-23 7:00,"1,177.00",0,312.5,-623.5,"2,434.00",-0.25,"1,655.00",-445,220,0,0,0,"1,382.00",-589.5,0,"-2,279.00","2,045.00",0,900.75,0,476,0
02-01-23 8:00,"2,066.50",0,265.75,-951.5,"2,048.50",-53.5,"1,817.00",-525,250.25,0,0,0,"1,243.00",-477.25,0,"-2,196.00","1,651.00",0,527.75,0,943.5,0
02-01-23 9:00,"2,385.25",0,201,-562.5,"2,427.50",0,"1,779.00",-399,357.75,0,0,0,"1,556.75",-209.5,0,"-1,601.00","1,804.00",0,580.75,0,984,0
02-01-23 10:00,"3,014.00",0,167.25,-151.75,"2,736.00",0,"1,559.00",-389,430.5,0,0,0,"1,974.75",-45.75,0,"-1,140.00","1,641.00",0,"1,135.00",0,722,0
02-01-23 11:00,"2,828.75",0,163.75,-38.5,"2,389.50",-56,"1,619.00",-322,510.5,0,0,0,"2,198.75",-31.75,0,-876,"1,885.00",0,"1,188.75",0,775.5,0
02-01-23 12:00,"2,292.00",0,155,-284.5,"2,500.25",0,"1,722.00",-338,470.25,0,0,0,"1,880.25",-34.5,0,"-1,241.00","1,773.00",0,900,0,27.25,-46.75
