name,bus0,bus1,voltage,i_nom,circuits,s_nom,r,x,b,length
merged_relation/1208415-380-c+1,way/23380800-380,way/24478889-380,380,2.58,1,1698.103,0.281152,2.30545,4.06E-05,9371.75
merged_relation/14592471-380-b+1,way/25306752-380,way/31131325-380,380,2.58,1,1698.103,1.233376,10.113687,0.00017824,41112.55
merged_relation/14592735-380-c+1,way/24839976-380,way/23084554-380,380,2.58,1,1698.103,0.293281,2.404903,4.24E-05,9776.03
merged_relation/14650683-220-a+2,way/88916034-220,way/50319857-220,220,1.29,1,491.556,0.573012,2.87461,3.75E-05,9550.2
merged_relation/1636708-380-b+1,way/42097854-380,way/54359256-380,380,2.58,1,1698.103,1.462798,11.994943,0.00021139,48759.93
merged_relation/1735055-220-a+2,way/66764943-220,way/395847307-220,220,1.29,1,491.556,4.467786,22.413393,0.00029242,74463.1
merged_relation/1735059-220-d+2,way/151967290-220,way/66764943-220,220,1.29,1,491.556,2.401903,12.049545,0.0001572,40031.71
merged_relation/3693986-380-c+1,way/1327333163-380,way/41334805-380,380,2.58,1,1698.103,0.37325,3.060651,5.39E-05,12441.67
merged_relation/3693986-380-g+4,way/41334805-380,way/147878692-380,380,2.58,1,1698.103,0.110517,0.906242,1.60E-05,3683.91
merged_relation/3883863-380-a+1,way/31131325-380,way/31131320-380,380,2.58,1,1698.103,0.551479,4.522129,7.97E-05,18382.64
merged_relation/3916226-380-c+3,way/50319857-380,way/31367940-380,380,2.58,1,1698.103,0.69091,5.665464,9.99E-05,23030.34
merged_relation/3926258-380-b+1,way/43688805-380,way/25786404-380,380,2.58,2,3396.205,0.191266,1.568383,0.00011056,12751.08
merged_relation/3943784-220+1,way/1191459479-220,way/1102237380-220,220,1.29,1,491.556,0.571147,2.865252,3.74E-05,9519.11
merged_relation/69489-380-a+1,way/18629425-380,way/26245195-380,380,2.58,1,1698.103,1.322611,10.845409,0.00019113,44087.03
merged_way/104448814-1-380+2,way/62061952-380,DE159-380,380,2.58,2,3396.205,0.080541,0.660436,4.66E-05,5369.4
merged_way/105572022-1-380+2,way/23067006-380,DE80-380,380,2.58,1,1698.103,0.122606,1.00537,1.77E-05,4086.87
merged_way/105572022-2-220+6,DE87-220,DE80-220,220,1.29,1,491.556,0.359852,1.80526,2.36E-05,5997.54
merged_way/106337111-1-220+1,DE166-220,DE171-220,220,1.29,1,491.556,0.562196,2.820352,3.68E-05,9369.94
merged_way/106607617-220+8,DE80-220,way/29077623-220,220,1.29,2,983.112,0.548057,2.74942,0.00014348,18268.57
merged_way/106607620-1-220+1,DE80-220,DE87-220,220,1.29,2,983.112,0.177867,0.892301,4.66E-05,5928.91
merged_way/106620935-1-380+1,way/38661452-380,DE159-380,380,2.58,1,1698.103,0.282452,2.316105,4.08E-05,9415.06
merged_way/107175372-1-380+1,DE77-380,way/24479003-380,380,2.58,2,3396.205,0.039057,0.320264,2.26E-05,2603.77
merged_way/107175372-2-220+1,DE77-220,way/24479003-220,220,1.29,2,983.112,0.078701,0.394817,2.06E-05,2623.37
merged_way/1072230175-1-380+2,way/151967291-380,DE170-380,380,2.58,1,1698.103,0.236584,1.939988,3.42E-05,7886.13
merged_way/1075677143-1-380+8,way/1071504343-380,way/946969736-380,380,2.58,2,3396.205,0.582437,4.775985,0.00033668,38829.15
merged_way/107686849-220+1,DE81-220,DE82-220,220,1.29,1,491.556,0.180412,0.905065,1.18E-05,3006.86
merged_way/108188242-1-220+3,way/24462426-220,DE79-220,220,1.29,1,491.556,0.659613,3.309059,4.32E-05,10993.55
merged_way/108388734-1-220+1,way/41389594-220,DE202-220,220,1.29,1,491.556,0.802858,4.027669,5.26E-05,13380.96
merged_way/108526478-2-220+2,way/85523877-220,DE205-220,220,1.29,1,491.556,0.091192,0.457481,5.97E-06,1519.87
merged_way/109195942-1-220+2,way/24839976-220,DE131-220,220,1.29,1,491.556,0.225668,1.1321,1.48E-05,3761.13
merged_way/109330042-1-380+8,DE159-380,way/24042358-380,380,2.58,2,3396.205,0.323615,2.653646,0.00018707,21574.36
merged_way/1093664414-380+7,way/517421342-380,way/59707532-380,380,2.58,2,3396.205,0.57244,4.69401,0.0003309,38162.68
merged_way/109507318-1-380+2,DE80-380,way/1076001174-380,380,2.58,1,1698.103,0.07984,0.654687,1.15E-05,2661.33
merged_way/109507318-2-220+1,DE80-220,way/1076001174-220,220,1.29,1,491.556,0.159324,0.799275,1.04E-05,2655.4
merged_way/109563298-1-220+1,DE69-220,way/121199242-220,220,1.29,1,491.556,0.183157,0.918839,1.20E-05,3052.62
merged_way/109563300-1-220+1,way/121199242-220,DE68-220,220,1.29,1,491.556,0.25714,1.289984,1.68E-05,4285.66
merged_way/1098393180-380+1,way/152107815-380,way/152018146-380,380,2.58,2,3396.205,0.605392,4.964214,0.00034995,40359.46
merged_way/110379578-1-220+6,way/24815262-220,DE113-220,220,1.29,2,983.112,0.680654,3.414613,0.00017819,22688.46
merged_way/111963058-3-220+7,way/42861703-220,DE39-220,220,1.29,1,491.556,2.521847,12.651268,0.00016505,42030.79
merged_way/111963058-380+2,DE53-380,DE45-380,380,2.58,2,3396.205,0.395766,3.245282,0.00022877,26384.41
