name,node,technology,fuel_type,max_power,bidding_EOM,bidding_redispatch,bidding_nodal,bidding_DAM,unit_operator,emission_factor,min_power,efficiency,additional_cost,operating_type,ramp_up,ramp_down,hot_start_cost,warm_start_cost,cold_start_cost,min_operating_time,min_down_time
Unit_0,619,open cycle gas turbine,natural gas,78.302,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Palm Power GmbH & Co. KG,0.2052,23.4906,0.431877802,1.6,Market,78.302,78.302,19.51845297,22.64845297,27.71267945,1.0,1.0
Unit_1,596,open cycle gas turbine,natural gas,57.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,EnBW Energie Baden-Württemberg AG,0.2052,17.1,0.314204763,1.6,Market,57.0,57.0,32.82845297,54.75845297,55.90267945,1.0,1.0
Unit_2,596,open cycle gas turbine,natural gas,81.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,EnBW Energie Baden-Württemberg AG,0.2052,24.3,0.319107807,1.6,Market,81.0,81.0,32.82845297,54.75845297,55.90267945,1.0,1.0
Unit_3,596,hard coal,hard coal,323.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,EnBW Energie Baden-Württemberg AG,0.3384,138.89,0.423280057,3.3,Market,323.0,323.0,102.8685572,154.4660981,203.1771144,6.0,6.0
Unit_4,596,open cycle gas turbine,natural gas,65.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,EnBW Energie Baden-Württemberg AG,0.2052,19.5,0.373041282,1.6,Market,65.0,65.0,32.82845297,54.75845297,55.90267945,1.0,1.0
Unit_5,37,lignite,lignite,628.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,RWE Power AG,0.3636,270.04,0.345062344,3.3,Market,376.8,376.8,66.17157947,99.12699338,128.3131589,11.0,11.0
Unit_6,37,lignite,lignite,648.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,RWE Power AG,0.3636,278.64,0.345062344,3.3,Market,388.8,388.8,66.17157947,99.12699338,128.3131589,11.0,11.0
Unit_7,37,lignite,lignite,944.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,RWE Power AG,0.3636,405.92,0.411809029,3.3,Market,944.0,944.0,48.17157947,71.72699338,91.51315894,8.0,8.0
Unit_8,648,combined cycle gas turbine,natural gas,115.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Vattenfall Wärme Berlin AG,0.2052,40.25,0.624707296,1.6,Market,115.0,115.0,68.84328584,112.0212128,147.0099689,2.0,2.0
Unit_9,648,combined cycle gas turbine,natural gas,185.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Vattenfall Wärme Berlin AG,0.2052,64.75,0.624707296,1.6,Market,185.0,185.0,68.84328584,112.0212128,147.0099689,2.0,2.0
Unit_10,390,combined cycle gas turbine,natural gas,189.5,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Vattenfall Wärme Berlin AG,0.2052,66.325,0.628913126,1.6,Market,189.5,189.5,68.84328584,112.0212128,147.0099689,2.0,2.0
Unit_11,648,open cycle gas turbine,natural gas,72.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Vattenfall Wärme Berlin AG,0.2052,21.6,0.321559328,1.6,Market,72.0,72.0,32.82845297,54.75845297,55.90267945,1.0,1.0
Unit_12,648,open cycle gas turbine,natural gas,72.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Vattenfall Wärme Berlin AG,0.2052,21.6,0.321559328,1.6,Market,72.0,72.0,32.82845297,54.75845297,55.90267945,1.0,1.0
Unit_13,388,gas steam turbine,natural gas,52.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Vattenfall Wärme Berlin AG,0.2052,18.2,0.364489377,1.1,Market,52.0,52.0,79.91328584,155.0912128,180.6799689,5.0,5.0
Unit_14,388,gas steam turbine,natural gas,56.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Vattenfall Wärme Berlin AG,0.2052,19.6,0.364489377,1.1,Market,56.0,56.0,79.91328584,155.0912128,180.6799689,5.0,5.0
Unit_15,388,gas steam turbine,natural gas,56.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Vattenfall Wärme Berlin AG,0.2052,19.6,0.365579425,1.1,Market,56.0,56.0,79.91328584,155.0912128,180.6799689,5.0,5.0
Unit_16,550,gas steam turbine,natural gas,116.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Vattenfall Wärme Berlin AG,0.2052,40.6,0.381930147,1.1,Market,116.0,116.0,79.91328584,155.0912128,180.6799689,5.0,5.0
