datetime,price_EOM,co2_price,electricity_price,electricity_price_flex,natural_gas_price,hydrogen_gas_price,coal_price,A360_clinker_demand,P100000124212_crm_neg_cap,P100000124212_crm_pos_cap,P100000124212_crm_neg_price,P100000124212_crm_pos_price,P100000124839_crm_neg_cap,P100000124839_crm_pos_cap,P100000124839_crm_neg_price,P100000124839_crm_pos_price,P100000125763_crm_neg_cap,P100000125763_crm_pos_cap,P100000125763_crm_neg_price,P100000125763_crm_pos_price,P100000125764_crm_neg_cap,P100000125764_crm_pos_cap,P100000125764_crm_neg_price,P100000125764_crm_pos_price,P100000125770_crm_neg_cap,P100000125770_crm_pos_cap,P100000125770_crm_neg_price,P100000125770_crm_pos_price,P100000125776_crm_neg_cap,P100000125776_crm_pos_cap,P100000125776_crm_neg_price,P100000125776_crm_pos_price,P100000125777_crm_neg_cap,P100000125777_crm_pos_cap,P100000125777_crm_neg_price,P100000125777_crm_pos_price,P100000125790_crm_neg_cap,P100000125790_crm_pos_cap,P100000125790_crm_neg_price,P100000125790_crm_pos_price
1/1/2035 0:00,0,30,11.5,11.5,50,50,20,10.17461072,0,323,18.88,85.32,0,307,18.88,85.32,0,178,18.88,85.32,0,162,18.88,85.32,0,145,18.88,85.32,0,162,18.88,85.32,0,202,18.88,85.32,0,194,18.88,85.32
1/1/2035 1:00,0,30,11.41,11.41,50,50,20,10.17461072,0,323,18.88,85.32,0,307,18.88,85.32,0,178,18.88,85.32,0,162,18.88,85.32,0,145,18.88,85.32,0,162,18.88,85.32,0,202,18.88,85.32,0,194,18.88,85.32
1/1/2035 2:00,0,30,11.4,11.4,50,50,20,10.17461072,0,323,18.88,85.32,0,307,18.88,85.32,0,178,18.88,85.32,0,162,18.88,85.32,0,145,18.88,85.32,0,162,18.88,85.32,0,202,18.88,85.32,0,194,18.88,85.32
1/1/2035 3:00,0,30,11.39,11.39,50,50,20,10.17461072,0,323,18.88,85.32,0,307,18.88,85.32,0,178,18.88,85.32,0,162,18.88,85.32,0,145,18.88,85.32,0,162,18.88,85.32,0,202,18.88,85.32,0,194,18.88,85.32
1/1/2035 4:00,0,30,11.37,11.37,50,50,20,10.17461072,0,324,18.68,79.08,0,308,18.68,79.08,0,178,18.68,79.08,0,162,18.68,79.08,0,146,18.68,79.08,0,162,18.68,79.08,0,202,18.68,79.08,0,194,18.68,79.08
1/1/2035 5:00,0,30,11.38,11.38,50,50,20,10.17461072,0,324,18.68,79.08,0,308,18.68,79.08,0,178,18.68,79.08,0,162,18.68,79.08,0,146,18.68,79.08,0,162,18.68,79.08,0,202,18.68,79.08,0,194,18.68,79.08
1/1/2035 6:00,0,30,11.35,11.35,50,50,20,10.35048389,0,324,18.68,79.08,0,308,18.68,79.08,0,178,18.68,79.08,0,162,18.68,79.08,0,146,18.68,79.08,0,162,18.68,79.08,0,202,18.68,79.08,0,194,18.68,79.08
1/1/2035 7:00,0,30,11.38,11.38,50,50,20,10.46101805,0,324,18.68,79.08,0,308,18.68,79.08,0,178,18.68,79.08,0,162,18.68,79.08,0,146,18.68,79.08,0,162,18.68,79.08,0,202,18.68,79.08,0,194,18.68,79.08
1/1/2035 8:00,0,30,11.4,11.4,50,50,20,10.60839693,0,328,25.32,52.28,0,312,25.32,52.28,0,180,25.32,52.28,0,164,25.32,52.28,0,148,25.32,52.28,0,164,25.32,52.28,0,205,25.32,52.28,0,197,25.32,52.28
1/1/2035 9:00,0,30,11.44,11.44,50,50,20,10.60839693,0,328,25.32,52.28,0,312,25.32,52.28,0,180,25.32,52.28,0,164,25.32,52.28,0,148,25.32,52.28,0,164,25.32,52.28,0,205,25.32,52.28,0,197,25.32,52.28
1/1/2035 10:00,0,30,11.46,11.46,50,50,20,10.60839693,0,328,25.32,52.28,0,312,25.32,52.28,0,180,25.32,52.28,0,164,25.32,52.28,0,148,25.32,52.28,0,164,25.32,52.28,0,205,25.32,52.28,0,197,25.32,52.28
1/1/2035 11:00,0,30,11.94,11.94,50,50,20,10.60839693,0,328,25.32,52.28,0,312,25.32,52.28,0,180,25.32,52.28,0,164,25.32,52.28,0,148,25.32,52.28,0,164,25.32,52.28,0,205,25.32,52.28,0,197,25.32,52.28
1/1/2035 12:00,0,30,13.64,13.64,50,50,20,10.60839693,0,327,16.48,60.08,0,310,16.48,60.08,0,180,16.48,60.08,0,163,16.48,60.08,0,147,16.48,60.08,0,163,16.48,60.08,0,204,16.48,60.08,0,196,16.48,60.08
1/1/2035 13:00,0,30,13.36,13.36,50,50,20,10.60839693,0,327,16.48,60.08,0,310,16.48,60.08,0,180,16.48,60.08,0,163,16.48,60.08,0,147,16.48,60.08,0,163,16.48,60.08,0,204,16.48,60.08,0,196,16.48,60.08
1/1/2035 14:00,0,30,12.44,12.44,50,50,20,10.46101805,0,327,16.48,60.08,0,310,16.48,60.08,0,180,16.48,60.08,0,163,16.48,60.08,0,147,16.48,60.08,0,163,16.48,60.08,0,204,16.48,60.08,0,196,16.48,60.08
1/1/2035 15:00,0,30,15.06,15.06,50,50,20,10.35048389,0,327,16.48,60.08,0,310,16.48,60.08,0,180,16.48,60.08,0,163,16.48,60.08,0,147,16.48,60.08,0,163,16.48,60.08,0,204,16.48,60.08,0,196,16.48,60.08
1/1/2035 16:00,0,30,54.46,54.46,50,50,20,10.23994974,0,324,45.44,23.32,0,307,45.44,23.32,0,178,45.44,23.32,0,162,45.44,23.32,0,145,45.44,23.32,0,162,45.44,23.32,0,202,45.44,23.32,0,194,45.44,23.32
1/1/2035 17:00,0,30,61.33,61.33,50,50,20,10.23994974,0,324,45.44,23.32,0,307,45.44,23.32,0,178,45.44,23.32,0,162,45.44,23.32,0,145,45.44,23.32,0,162,45.44,23.32,0,202,45.44,23.32,0,194,45.44,23.32
1/1/2035 18:00,0,30,69.4,69.4,50,50,20,10.23994974,0,324,45.44,23.32,0,307,45.44,23.32,0,178,45.44,23.32,0,162,45.44,23.32,0,145,45.44,23.32,0,162,45.44,23.32,0,202,45.44,23.32,0,194,45.44,23.32
1/1/2035 19:00,0,30,65.65,65.65,50,50,20,10.23994974,0,324,45.44,23.32,0,307,45.44,23.32,0,178,45.44,23.32,0,162,45.44,23.32,0,145,45.44,23.32,0,162,45.44,23.32,0,202,45.44,23.32,0,194,45.44,23.32
1/1/2035 20:00,0,30,59.41,59.41,50,50,20,10.23994974,0,323,32.56,32.96,0,307,32.56,32.96,0,178,32.56,32.96,0,161,32.56,32.96,0,145,32.56,32.96,0,161,32.56,32.96,0,202,32.56,32.96,0,194,32.56,32.96
1/1/2035 21:00,0,30,54.35,54.35,50,50,20,10.23994974,0,323,32.56,32.96,0,307,32.56,32.96,0,178,32.56,32.96,0,161,32.56,32.96,0,145,32.56,32.96,0,161,32.56,32.96,0,202,32.56,32.96,0,194,32.56,32.96
1/1/2035 22:00,0,30,58.49,58.49,50,50,20,10.17461072,0,323,32.56,32.96,0,307,32.56,32.96,0,178,32.56,32.96,0,161,32.56,32.96,0,145,32.56,32.96,0,161,32.56,32.96,0,202,32.56,32.96,0,194,32.56,32.96
1/1/2035 23:00,0,30,46.95,46.95,50,50,20,10.17461072,0,323,32.56,32.96,0,307,32.56,32.96,0,178,32.56,32.96,0,161,32.56,32.96,0,145,32.56,32.96,0,161,32.56,32.96,0,202,32.56,32.96,0,194,32.56,32.96
1/2/2035 0:00,0,30,41.99,41.99,50,50,20,10.17461072,0,323,18.84,72.4,0,307,18.84,72.4,0,178,18.84,72.4,0,162,18.84,72.4,0,145,18.84,72.4,0,162,18.84,72.4,0,202,18.84,72.4,0,194,18.84,72.4
1/2/2035 1:00,0,30,31.47,31.47,50,50,20,10.17461072,0,323,18.84,72.4,0,307,18.84,72.4,0,178,18.84,72.4,0,162,18.84,72.4,0,145,18.84,72.4,0,162,18.84,72.4,0,202,18.84,72.4,0,194,18.84,72.4
1/2/2035 2:00,0,30,42.43,42.43,50,50,20,10.17461072,0,323,18.84,72.4,0,307,18.84,72.4,0,178,18.84,72.4,0,162,18.84,72.4,0,145,18.84,72.4,0,162,18.84,72.4,0,202,18.84,72.4,0,194,18.84,72.4
1/2/2035 3:00,0,30,29.79,29.79,50,50,20,10.17461072,0,323,18.84,72.4,0,307,18.84,72.4,0,178,18.84,72.4,0,162,18.84,72.4,0,145,18.84,72.4,0,162,18.84,72.4,0,202,18.84,72.4,0,194,18.84,72.4
1/2/2035 4:00,0,30,22.48,22.48,50,50,20,10.17461072,0,324,18.96,67.72,0,307,18.96,67.72,0,178,18.96,67.72,0,162,18.96,67.72,0,146,18.96,67.72,0,162,18.96,67.72,0,202,18.96,67.72,0,194,18.96,67.72
1/2/2035 5:00,0,30,25.18,25.18,50,50,20,10.17461072,0,324,18.96,67.72,0,307,18.96,67.72,0,178,18.96,67.72,0,162,18.96,67.72,0,146,18.96,67.72,0,162,18.96,67.72,0,202,18.96,67.72,0,194,18.96,67.72
1/2/2035 6:00,0,30,59.03,59.03,50,50,20,10.35048389,0,324,18.96,67.72,0,307,18.96,67.72,0,178,18.96,67.72,0,162,18.96,67.72,0,146,18.96,67.72,0,162,18.96,67.72,0,202,18.96,67.72,0,194,18.96,67.72
1/2/2035 7:00,0,30,69.5,69.5,50,50,20,10.46101805,0,324,18.96,67.72,0,307,18.96,67.72,0,178,18.96,67.72,0,162,18.96,67.72,0,146,18.96,67.72,0,162,18.96,67.72,0,202,18.96,67.72,0,194,18.96,67.72
1/2/2035 8:00,1.204,30,77.07,77.07,50,50,20,10.60839693,0,328,29.28,37.68,0,312,29.28,37.68,0,180,29.28,37.68,0,164,29.28,37.68,0,147,29.28,37.68,0,164,29.28,37.68,0,205,29.28,37.68,0,197,29.28,37.68
1/2/2035 9:00,0,30,76.13,76.13,50,50,20,10.60839693,0,328,29.28,37.68,0,312,29.28,37.68,0,180,29.28,37.68,0,164,29.28,37.68,0,147,29.28,37.68,0,164,29.28,37.68,0,205,29.28,37.68,0,197,29.28,37.68
1/2/2035 10:00,0,30,80.38,80.38,50,50,20,10.60839693,0,328,29.28,37.68,0,312,29.28,37.68,0,180,29.28,37.68,0,164,29.28,37.68,0,147,29.28,37.68,0,164,29.28,37.68,0,205,29.28,37.68,0,197,29.28,37.68
1/2/2035 11:00,0,30,84.94,84.94,50,50,20,10.60839693,0,328,29.28,37.68,0,312,29.28,37.68,0,180,29.28,37.68,0,164,29.28,37.68,0,147,29.28,37.68,0,164,29.28,37.68,0,205,29.28,37.68,0,197,29.28,37.68
