name,bus0,bus1,x,r,s_nom
0,0,100,0.001,0.001,3490.082377
1,0,178,0.001,0.001,990.7330619
10,100,26,0.001,0.001,3422.532396
100,13,41,0.001,0.001,495.366531
101,130,165,0.001,0.001,990.7330619
102,131,166,0.001,0.001,1283.449648
103,132,5,0.001,0.001,3917.898927
104,133,137,0.001,0.001,1283.449648
105,133,184,0.001,0.001,1283.449648
106,133,27,0.001,0.001,2994.715846
107,134,169,0.001,0.001,1282.788565
108,134,31,0.001,0.001,1711.266198
109,134,34,0.001,0.001,2566.899297
11,100,40,0.001,0.001,1711.266198
110,134,61,0.001,0.001,1711.266198
111,134,83,0.001,0.001,3422.532396
112,135,139,0.001,0.001,495.366531
113,135,3,0.001,0.001,5899.365051
114,135,42,0.001,0.001,1981.466124
115,135,93,0.001,0.001,2701.99926
116,136,174,0.001,0.001,1711.266198
117,136,57,0.001,0.001,247.6832655
118,137,5,0.001,0.001,1283.449648
119,138,164,0.001,0.001,3422.532396
12,100,51,0.001,0.001,1283.449648
120,138,181,0.001,0.001,3422.532396
121,138,30,0.001,0.001,3422.532396
122,138,40,0.001,0.001,3422.532396
123,139,156,0.001,0.001,2454.315994
124,139,29,0.001,0.001,990.7330619
125,139,3,0.001,0.001,2701.99926
126,139,82,0.001,0.001,990.733062
127,14,45,0.001,0.001,1711.266198
128,140,157,0.001,0.001,990.733062
129,140,93,0.001,0.001,247.6832655
13,101,123,0.001,0.001,2566.899296
130,143,54,0.001,0.001,1711.266198
131,144,16,0.001,0.001,3422.532396
132,145,51,0.001,0.001,1711.266198
133,145,62,0.001,0.001,1711.266198
134,146,35,0.001,0.001,1711.266198
135,146,70,0.001,0.001,1280.164975
136,146,78,0.001,0.001,743.0497965
137,146,8,0.001,0.001,2701.99926
138,147,187,0.001,0.001,1486.099593
139,147,7,0.001,0.001,1486.099593
14,101,134,0.001,0.001,3422.532396
140,148,150,0.001,0.001,990.7330619
141,148,38,0.001,0.001,495.366531
142,148,73,0.001,0.001,247.6832655
143,149,177,0.001,0.001,495.366531
144,149,47,0.001,0.001,2206.632729
145,149,85,0.001,0.001,3422.532396
146,15,58,0.001,0.001,3197.365791
147,15,86,0.001,0.001,495.366531
148,150,17,0.001,0.001,3422.532396
149,150,192,0.001,0.001,2701.99926
15,101,142,0.001,0.001,990.733062
150,150,195,0.001,0.001,3422.532396
151,150,38,0.001,0.001,2724.515921
152,150,54,0.001,0.001,2206.632729
153,150,73,0.001,0.001,247.6832655
154,151,161,0.001,0.001,1283.449648
155,151,51,0.001,0.001,855.6330989
156,151,97,0.001,0.001,1711.266198
157,152,181,0.001,0.001,3422.532396
