datetime,way/24765111-220,way/787265962-220,way/42560068-380,way/42797575-380,way/28956649-220,way/942448206-380,way/157164284-220,way/42560068-380
01-01-35 0:00,79.6,66.33,66.33,59.7,72.97,126.03,33.7297515,0
01-01-35 1:00,79.6,66.33,66.33,59.7,72.97,126.03,25.3350816,0
01-01-35 2:00,79.6,66.33,66.33,59.7,72.97,126.03,15.238925,0
01-01-35 3:00,79.6,66.33,66.33,59.7,72.97,126.03,10.76594415,0
01-01-35 4:00,79.6,66.33,66.33,59.7,72.97,126.03,12.3797254,0
01-01-35 5:00,79.6,66.33,66.33,59.7,72.97,126.03,8.21496695,0
01-01-35 6:00,79.6,66.33,66.33,59.7,72.97,126.03,17.6420558,0
01-01-35 7:00,79.6,66.33,66.33,59.7,72.97,126.03,24.22748645,0
01-01-35 8:00,79.6,66.33,66.33,59.7,72.97,126.03,48.2562891,0
01-01-35 9:00,79.6,66.33,66.33,59.7,72.97,126.03,66.0880714,0
01-01-35 10:00,79.6,66.33,66.33,59.7,72.97,126.03,93.126426,0
01-01-35 11:00,79.6,66.33,66.33,59.7,72.97,126.03,98.1657338,0
01-01-35 12:00,79.6,66.33,66.33,59.7,72.97,126.03,92.3120177,0
01-01-35 13:00,79.6,66.33,66.33,59.7,72.97,126.03,88.4003522,0
01-01-35 14:00,79.6,66.33,66.33,59.7,72.97,126.03,93.0136618,0
01-01-35 15:00,79.6,66.33,66.33,59.7,72.97,126.03,112.8300944,0
01-01-35 16:00,79.6,66.33,66.33,59.7,72.97,126.03,120,17.5345391
01-01-35 17:00,79.6,66.33,66.33,59.7,72.97,126.03,120,19.0380621
01-01-35 18:00,79.6,66.33,66.33,59.7,72.97,126.03,120,4.8698641
01-01-35 19:00,79.6,66.33,66.33,59.7,72.97,126.03,104.9591518,0
01-01-35 20:00,79.6,66.33,66.33,59.7,72.97,126.03,88.3126467,0
01-01-35 21:00,79.6,66.33,66.33,59.7,72.97,126.03,78.8429579,0
01-01-35 22:00,79.6,66.33,66.33,59.7,72.97,126.03,46.9156478,0
01-01-35 23:00,79.6,66.33,66.33,59.7,72.97,126.03,23.8315586,0
02-01-35 0:00,79.6,66.33,66.33,59.7,72.97,126.03,10.1394763,0
02-01-35 1:00,79.6,66.33,66.33,59.7,72.97,126.03,8.7411999,0
02-01-35 2:00,79.6,66.33,66.33,59.7,72.97,126.03,16.5018843,0
02-01-35 3:00,79.6,66.33,66.33,59.7,72.97,126.03,33.9176919,0
02-01-35 4:00,79.6,66.33,66.33,59.7,72.97,126.03,65.0205701,0
02-01-35 5:00,79.6,66.33,66.33,59.7,72.97,126.03,120,0.870493
02-01-35 6:00,79.6,66.33,66.33,59.7,72.97,126.03,120,53.4712437
02-01-35 7:00,79.6,66.33,66.33,59.7,72.97,126.03,120,92.7006636
02-01-35 8:00,79.6,66.33,66.33,59.7,72.97,126.03,120,104.8666703
02-01-35 9:00,79.6,66.33,66.33,59.7,72.97,126.03,120,122.8713577
02-01-35 10:00,79.6,66.33,66.33,59.7,72.97,126.03,120,137.0395558
02-01-35 11:00,79.6,66.33,66.33,59.7,72.97,126.03,120,146.2335986
02-01-35 12:00,79.6,66.33,66.33,59.7,72.97,126.03,120,134.9697058
02-01-35 13:00,79.6,66.33,66.33,59.7,72.97,126.03,120,122.3426187
02-01-35 14:00,79.6,66.33,66.33,59.7,72.97,126.03,120,120.5960263
02-01-35 15:00,79.6,66.33,66.33,59.7,72.97,126.03,120,129.3314947
02-01-35 16:00,79.6,66.33,66.33,59.7,72.97,126.03,120,141.4448779
02-01-35 17:00,79.6,66.33,66.33,59.7,72.97,126.03,120,136.9969559
02-01-35 18:00,79.6,66.33,66.33,59.7,72.97,126.03,120,126.3094135
02-01-35 19:00,79.6,66.33,66.33,59.7,72.97,126.03,120,90.3952617
02-01-35 20:00,79.6,66.33,66.33,59.7,72.97,126.03,120,61.8609019
02-01-35 21:00,79.6,66.33,66.33,59.7,72.97,126.03,120,32.1437706
02-01-35 22:00,79.6,66.33,66.33,59.7,72.97,126.03,120,1.2112915
02-01-35 23:00,79.6,66.33,66.33,59.7,72.97,126.03,98.4914971,0
03-01-35 0:00,79.6,66.33,66.33,59.7,72.97,126.03,79.9004357,0
03-01-35 1:00,79.6,66.33,66.33,59.7,72.97,126.03,74.2171189,0
03-01-35 2:00,79.6,66.33,66.33,59.7,72.97,126.03,74.5503998,0
03-01-35 3:00,79.6,66.33,66.33,59.7,72.97,126.03,90.7809302,0
03-01-35 4:00,79.6,66.33,66.33,59.7,72.97,126.03,114.7921919,0
03-01-35 5:00,79.6,66.33,66.33,59.7,72.97,126.03,120,38.8118948
03-01-35 6:00,79.6,66.33,66.33,59.7,72.97,126.03,120,89.3127252
03-01-35 7:00,79.6,66.33,66.33,59.7,72.97,126.03,120,114.0832659
03-01-35 8:00,79.6,66.33,66.33,59.7,72.97,126.03,120,124.0967289
03-01-35 9:00,79.6,66.33,66.33,59.7,72.97,126.03,120,131.0530285
03-01-35 10:00,79.6,66.33,66.33,59.7,72.97,126.03,120,140.1493424
03-01-35 11:00,79.6,66.33,66.33,59.7,72.97,126.03,120,137.4229541
03-01-35 12:00,79.6,66.33,66.33,59.7,72.97,126.03,120,122.6408175
03-01-35 13:00,79.6,66.33,66.33,59.7,72.97,126.03,120,114.5268052
03-01-35 14:00,79.6,66.33,66.33,59.7,72.97,126.03,120,111.116314
03-01-35 15:00,79.6,66.33,66.33,59.7,72.97,126.03,120,123.703307
03-01-35 16:00,79.6,66.33,66.33,59.7,72.97,126.03,120,149.6691485
03-01-35 17:00,79.6,66.33,66.33,59.7,72.97,126.03,120,145.9704821
03-01-35 18:00,79.6,66.33,66.33,59.7,72.97,126.03,120,127.9056537
03-01-35 19:00,79.6,66.33,66.33,59.7,72.97,126.03,120,96.4770121
03-01-35 20:00,79.6,66.33,66.33,59.7,72.97,126.03,120,67.0204915
