name,bus0,bus1,s_nom,x,r,bus_id0,bus_id1
merged_relation/1208415-380-c+1,way/23380800-380,way/24478889-380,1698.103,2.30545,0.281152,404,435
merged_way/24532884-1-380+6,way/23380800-380,way/24479984-380,1698.103,3.387922,0.413161,404,439
merged_relation/14592471-380-b+1,way/25306752-380,way/31131325-380,1698.103,10.113687,1.233376,469,556
way/167261399-1-380,way/25306752-380,DE199-380,1698.103,15.007865,1.830227,469,117
merged_way/36964218-1-380+2,DE198-380,DE199-380,1698.103,0.56027,0.068326,116,117
merged_relation/14592735-380-c+1,way/24839976-380,way/23084554-380,1698.103,2.404903,0.293281,459,396
merged_way/24833555-380+5,way/24839976-380,way/22761839-380,3396.205,2.726607,0.332513,459,376
merged_way/24428845-1-380+1,DE124-380,way/22761839-380,3396.205,0.905093,0.110377,28,376
merged_way/364135875-380+4,way/22761692-380,way/22761839-380,1698.103,1.193339,0.145529,374,376
relation/1102892-380-b,way/24839976-380,way/26927264-380,1698.103,3.234484,0.394449,459,496
merged_way/850698155-380+1,DE136-380,way/26927264-380,3396.205,1.317882,0.160717,42,496
relation/3228400-380-b,way/24839976-380,DE139-380,1698.103,7.039573,0.858484,459,48
way/24840438-1-380,way/24839976-380,way/188276460-380,3396.205,0.342566,0.041776,459,360
merged_relation/14650683-220-a+2,way/88916034-220,way/50319857-220,491.556,2.87461,0.573012,737,812
merged_way/50306784-2-220+1,way/88916034-220,way/50319857-220,983.112,1.359286,0.270954,737,812
way/103737860-220,way/88916034-220,way/202865176-220,1966.224,0.194606,0.038792,737,364
merged_relation/1636708-380-b+1,way/42097854-380,way/54359256-380,1698.103,11.994943,1.462798,621,669
merged_way/296529805-1-380+4,way/82773910-380,way/54359256-380,3396.205,2.882045,0.351469,714,669
merged_relation/1735055-220-a+2,way/66764943-220,way/395847307-220,491.556,22.413393,4.467786,691,604
merged_way/160485212-2-220+15,way/22766160-220,way/395847307-220,491.556,18.721797,3.73192,379,604
relation/2147236-220-b,way/154869247-220,way/395847307-220,491.556,1.506631,0.300325,332,604
merged_relation/1735059-220-d+2,way/151967290-220,way/66764943-220,491.556,12.049545,2.401903,315,691
merged_way/202576764-2-220+1,way/151967290-220,DE172-220,983.112,2.338943,0.466234,315,86
merged_relation/3693986-380-c+1,way/1327333163-380,way/41334805-380,1698.103,3.060651,0.37325,291,613
relation/3694015-380-b,way/1327333163-380,way/1104947187-380,3396.205,0.836234,0.10198,291,263
relation/3694016-380-b,way/1327333163-380,way/143854536-380,1698.103,11.754761,1.433507,291,297
merged_relation/3693986-380-g+4,way/41334805-380,way/147878692-380,1698.103,0.906242,0.110517,613,306
merged_way/189574885-1-380+3,way/41334805-380,way/97825259-380,1698.103,3.391238,0.413566,613,792
merged_relation/3883863-380-a+1,way/31131325-380,way/31131320-380,1698.103,4.522129,0.551479,556,555
way/48616848-380,way/101997887-380,way/31131320-380,3396.205,9.581951,1.168531,799,555
merged_relation/3916226-380-c+3,way/50319857-380,way/31367940-380,1698.103,5.665464,0.69091,813,561
merged_way/195538144-1-380+6,way/31367940-380,way/98648381-380,1698.103,2.456381,0.299559,561,828
merged_relation/3926258-380-b+1,way/43688805-380,way/25786404-380,3396.205,1.568383,0.191266,641,476
merged_way/24523546-380+1,DE188-380,way/25786404-380,3396.205,1.292039,0.157566,105,476
merged_way/478868126-1-380+1,DE199-380,way/25786404-380,1698.103,15.525692,1.893377,117,476
relation/1636729-380-a,way/152973139-380,way/25786404-380,3396.205,10.404309,1.268818,331,476
merged_way/167299613-1-380+7,way/43688805-380,DE196-380,3396.205,4.417353,0.538702,641,114
relation/3697399-380-a,way/43688805-380,DE185-380,3396.205,0.65423,0.079784,641,102
merged_relation/3943784-220+1,way/1191459479-220,way/1102237380-220,491.556,2.865252,0.571147,277,261
merged_relation/69489-380-a+1,way/18629425-380,way/26245195-380,1698.103,10.845409,1.322611,358,482
relation/112804-380,way/18629425-380,way/26245195-380,1698.103,10.852253,1.323445,358,482
relation/3749852-380,way/137602559-380,way/26245195-380,1698.103,18.731722,2.284356,295,482
relation/3749853-380-a,way/5404079-380,way/26245195-380,1698.103,4.373595,0.533365,667,482
relation/3749854-380-a,way/5404079-380,way/26245195-380,1698.103,4.373595,0.533365,667,482
relation/377770-380,way/18629425-380,way/23907283-380,1698.103,4.160514,0.50738,358,414
relation/5247617-380,way/18629425-380,way/23907283-380,1698.103,4.160514,0.50738,358,414
merged_way/104448814-1-380+2,way/62061952-380,DE159-380,3396.205,0.660436,0.080541,687,71
merged_way/106620935-1-380+1,way/38661452-380,DE159-380,1698.103,2.316105,0.282452,601,71
merged_way/105572022-1-380+2,way/23067006-380,DE80-380,1698.103,1.00537,0.122606,393,215
merged_way/105572022-2-220+6,DE87-220,DE80-220,491.556,1.80526,0.359852,222,214
merged_way/66676884-2-220+1,way/1076001174-220,DE80-220,491.556,0.796437,0.158758,246,214
merged_way/25028229-2-220+3,DE87-220,way/113546939-220,983.112,1.247172,0.248606,222,272
merged_way/25314891-2-220+1,DE89-220,way/113546939-220,983.112,0.56183,0.111993,225,272
merged_way/106337111-1-220+1,DE166-220,DE171-220,491.556,2.820352,0.562196,79,85
merged_way/128714149-1-220+4,DE166-220,way/149987048-220,491.556,16.319663,3.253089,79,310
relation/1636721-220,way/152924508-220,way/149987048-220,491.556,3.973001,0.79196,329,310
relation/1636726-220,way/152924508-220,way/149987048-220,491.556,3.973001,0.79196,329,310
way/152924520-2-220,DE174-220,way/149987048-220,983.112,1.157321,0.230695,89,310
merged_way/106607617-220+8,DE80-220,way/29077623-220,983.112,2.74942,0.548057,214,526
merged_way/106607620-1-220+1,DE80-220,DE87-220,983.112,0.892301,0.177867,214,222
merged_way/68561219-2-220+2,way/68549340-220,DE87-220,983.112,0.666172,0.132792,695,222
merged_way/109507318-2-220+1,DE80-220,way/1076001174-220,491.556,0.799275,0.159324,214,246
merged_way/155269862-1-220+4,DE80-220,way/28452784-220,983.112,1.620811,0.323085,214,518
way/42920726-1-220,DE80-220,DE81-220,983.112,0.259143,0.051656,214,216
relation/14595857-380-b,way/38661452-380,DE161-380,1698.103,0.516799,0.063024,601,74
