name,technology,bidding_EOM,bidding_redispatch,fuel_type,emission_factor,max_power,min_power,efficiency,ramp_up,ramp_down,additional_cost,hot_start_costs,warm_start_costs,cold_start_costs,min_operating_time,min_down_time,node,unit_operator,operating_type,,,,,
Unit_0,Steam turbine,naive_eom,naive_redispatch,hard coal,0.3,31.1,6.22,0.406816435,24.88,24.88,1.3,30.4,47.5,69.3,7,6,193,pp_operator_0,Market,,,,,
Unit_1,Small gas,naive_eom,naive_redispatch,natural gas,0.2,233.764,46.7528,0.414665196,187.0112,187.0112,5.5,24.1,34.2,46.7,5,3,193,pp_operator_1,Market,,,,,
Unit_2,Small oil,naive_eom,naive_redispatch,oil,0.25,61.7,12.34,0.3487,49.36,49.36,5.5,30.4,47.5,69.3,7,6,193,pp_operator_2,Market,,,,,
Unit_54,Steam turbine,naive_eom,naive_redispatch,waste,0,12.1,2.42,0.33,9.68,9.68,35,30.4,47.5,69.3,10,7,128,pp_operator_54,Market,,,,,
Unit_4,Steam turbine,naive_eom,naive_redispatch,hard coal,0.3,51.805,10.361,0.394519632,41.444,41.444,1.3,30.4,47.5,69.3,7,6,87,pp_operator_4,Market,,,,,
Unit_5,Small gas,naive_eom,naive_redispatch,natural gas,0.2,338.119692,67.6239384,0.450377637,270.4957536,270.4957536,5.5,24.1,34.2,46.7,5,3,87,pp_operator_5,Market,,,,,
Unit_6,Small oil,naive_eom,naive_redispatch,oil,0.25,29.2,5.84,0.419450427,23.36,23.36,5.5,30.4,47.5,69.3,7,6,87,pp_operator_6,Market,,,,,
Unit_44,Steam turbine,naive_eom,naive_redispatch,waste,0,15.7,3.14,0.33,12.56,12.56,1.65,30.4,47.5,69.3,10,7,2,pp_operator_44,Market,,,,,
Unit_8,Small gas,naive_eom,naive_redispatch,natural gas,0.2,65.3698,13.07396,0.425937521,52.29584,52.29584,5.5,24.1,34.2,46.7,5,3,58,pp_operator_8,Market,,,,,
Unit_9,Small oil,naive_eom,naive_redispatch,oil,0.25,34,6.8,0.3046,27.2,27.2,5.5,30.4,47.5,69.3,7,6,58,pp_operator_9,Market,,,,,
Unit_23,Steam turbine,naive_eom,naive_redispatch,waste,0,18.5,3.7,0.33,14.8,14.8,1.65,30.4,47.5,69.3,10,7,5,pp_operator_23,Market,,,,,
Unit_11,Steam turbine,naive_eom,naive_redispatch,lignite,0.4,17,3.4,0.39799937,13.6,13.6,1.65,30.4,47.5,69.3,10,7,58,pp_operator_11,Market,,,,,
Unit_12,Small gas,naive_eom,naive_redispatch,natural gas,0.2,88.457,17.6914,0.403050514,70.7656,70.7656,5.5,24.1,34.2,46.7,5,3,58,pp_operator_12,Market,,,,,
Unit_17,Steam turbine,naive_eom,naive_redispatch,waste,0,23.875,4.775,0.33,19.1,19.1,1.65,30.4,47.5,69.3,10,7,190,pp_operator_17,Market,,,,,
Unit_14,Small gas,naive_eom,naive_redispatch,natural gas,0.2,14.82,2.964,0.490636968,11.856,11.856,5.5,24.1,34.2,46.7,5,3,167,pp_operator_14,Market,,,,,
Unit_41,Steam turbine,naive_eom,naive_redispatch,waste,0,27.6,5.52,0.33,22.08,22.08,1.65,30.4,47.5,69.3,10,7,122,pp_operator_41,Market,,,,,
Unit_16,Small gas,naive_eom,naive_redispatch,natural gas,0.2,33.932,6.7864,0.424061042,27.1456,27.1456,5.5,24.1,34.2,46.7,5,3,190,pp_operator_16,Market,,,,,
Unit_38,Steam turbine,naive_eom,naive_redispatch,waste,0,32.5,6.5,0.33,26,26,1.65,30.4,47.5,69.3,10,7,79,pp_operator_38,Market,,,,,
Unit_18,Steam turbine,naive_eom,naive_redispatch,lignite,0.4,33.5,6.7,0.379586492,26.8,26.8,1.65,30.4,47.5,69.3,10,7,40,pp_operator_18,Market,,,,,
Unit_19,Small gas,naive_eom,naive_redispatch,natural gas,0.2,126.023,25.2046,0.404960301,100.8184,100.8184,5.5,24.1,34.2,46.7,5,3,40,pp_operator_19,Market,,,,,
Unit_20,Small oil,naive_eom,naive_redispatch,oil,0.25,24.81,4.962,0.456311487,19.848,19.848,5.5,30.4,47.5,69.3,7,6,40,pp_operator_20,Market,,,,,
Unit_10,Steam turbine,naive_eom,naive_redispatch,waste,0,36,7.2,0.33,28.8,28.8,1.65,30.4,47.5,69.3,10,7,58,pp_operator_10,Market,,,,,
Unit_22,Small gas,naive_eom,naive_redispatch,natural gas,0.2,66.694,13.3388,0.408598519,53.3552,53.3552,5.5,24.1,34.2,46.7,5,3,5,pp_operator_22,Market,,,,,
Unit_3,Steam turbine,naive_eom,naive_redispatch,waste,0,37.6,7.52,0.33,30.08,30.08,1.65,30.4,47.5,69.3,10,7,193,pp_operator_3,Market,,,,,
Unit_24,Steam turbine,naive_eom,naive_redispatch,hard coal,0.3,79.4,15.88,0.374986765,63.52,63.52,1.3,30.4,47.5,69.3,7,6,155,pp_operator_24,Market,,,,,
Unit_25,Steam turbine,naive_eom,naive_redispatch,lignite,0.4,19,3.8,0.335250218,15.2,15.2,1.65,30.4,47.5,69.3,10,7,155,pp_operator_25,Market,,,,,
Unit_26,Small gas,naive_eom,naive_redispatch,natural gas,0.2,281.064,56.2128,0.442438392,224.8512,224.8512,5.5,24.1,34.2,46.7,5,3,155,pp_operator_26,Market,,,,,
Unit_27,Small oil,naive_eom,naive_redispatch,oil,0.25,7.434,1.4868,0.4602,5.9472,5.9472,5.5,30.4,47.5,69.3,7,6,155,pp_operator_27,Market,,,,,
Unit_15,Steam turbine,naive_eom,naive_redispatch,waste,0,46,9.2,0.33,36.8,36.8,1.65,30.4,47.5,69.3,10,7,167,pp_operator_15,Market,,,,,
Unit_29,Steam turbine,naive_eom,naive_redispatch,hard coal,0.3,22.143,4.4286,0.340961945,17.7144,17.7144,1.3,30.4,47.5,69.3,7,6,11,pp_operator_29,Market,,,,,
