name,capacity,technology,bidding_EOM,bidding_redispatch,max_power_charge,max_power_discharge,efficiency_charge,efficiency_discharge,min_soc,max_soc,variable_cost_charge,variable_cost_discharge,additional_cost_charge,additional_cost_discharge,natural_inflow,unit_operator,node
SEE938534551104,1.82,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,1.82,1.638,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_0,DE62-380
SEE911836897996,5,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,5,4.5,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_1,DE96-220
SEE966091400436,18.149,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,18.149,16.3341,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_2,way/83916207-220
SEE905490507995,9.626,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,9.626,8.6634,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_3,DE71-220
SEE971138728251,15,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,15,13.5,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_4,way/1076001174-220
SEE964940893804,15,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,15,13.5,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_5,way/24478889-380
SEE948862230381,6.545,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,6.545,5.8905,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_6,way/24268944-380
SEE960687200189,1.064,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,1.064,0.9576,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_7,DE122-220
SEE909145211435,1.064,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,1.064,0.9576,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_8,DE122-220
SEE998402334093,7.5,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,7.5,6.75,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_9,way/24230738-380
SEE906903701511,1.5,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,1.5,1.35,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_10,way/42797575-380
SEE947652720293,2.4,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,2.4,2.16,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_11,way/83916207-220
SEE913265695471,2.74,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,2.74,2.466,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_12,way/979801144-380
SEE977231455070,9.6,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,9.6,8.64,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_13,DE141-380
SEE979298824578,7.018,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,7.018,6.3162,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_14,way/42423415-380
SEE911454349471,13,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,13,11.7,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_15,way/24267175-220
SEE934842271741,8.1,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,8.1,7.29,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_16,way/24267175-220
SEE971932533266,72,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,72,64.8,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_17,DE65-380
SEE935147494255,4.56,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,4.56,4.104,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_18,DE96-220
SEE948347896118,2.616,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,2.616,2.3544,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_19,way/870598507
SEE972107201331,8.12,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,8.12,7.308,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_20,way/26593935-380
SEE996118429669,1.2,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,1.2,1.08,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_21,way/42681484-380
