name,technology,fuel_type,bidding_EOM,bidding_redispatch,bidding_CRM_pos,bidding_CRM_neg,emission_factor,max_power,min_power,efficiency,ramp_up,ramp_down,additional_cost,hot_start_cost,warm_start_cost,cold_start_cost,min_operating_time,min_down_time,unit_operator,operating_type,node
Unit_0,open cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,78.302,23.4906,0.431877802,78.302,78.302,1.6,19.51845297,22.64845297,27.71267945,1,1,unit_operator_1,Market,way/42050342-380
Unit_1,open cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,57,17.1,0.314204763,57,57,1.6,32.82845297,54.75845297,55.90267945,1,1,unit_operator_2,Market,way/37721677-380
Unit_2,open cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,81,24.3,0.319107807,81,81,1.6,32.82845297,54.75845297,55.90267945,1,1,unit_operator_3,Market,way/37721677-380
Unit_3,hard coal,hard coal,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.3384,323,138.89,0.423280057,323,323,3.3,102.8685572,154.4660981,203.1771144,6,6,unit_operator_4,Market,way/37721677-380
Unit_4,open cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,65,19.5,0.373041282,65,65,1.6,32.82845297,54.75845297,55.90267945,1,1,unit_operator_5,Market,way/37721677-380
Unit_5,lignite,lignite,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.3636,628,270.04,0.345062344,376.8,376.8,3.3,66.17157947,99.12699338,128.3131589,11,11,unit_operator_6,Market,DE131-220
Unit_6,lignite,lignite,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.3636,648,278.64,0.345062344,388.8,388.8,3.3,66.17157947,99.12699338,128.3131589,11,11,unit_operator_7,Market,DE131-220
Unit_7,lignite,lignite,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.3636,944,405.92,0.411809029,944,944,3.3,48.17157947,71.72699338,91.51315894,8,8,unit_operator_8,Market,DE131-220
Unit_8,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,115,40.25,0.624707296,115,115,1.6,68.84328584,112.0212128,147.0099689,2,2,unit_operator_9,Market,way/46615737-380
Unit_9,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,185,64.75,0.624707296,185,185,1.6,68.84328584,112.0212128,147.0099689,2,2,unit_operator_10,Market,way/46615737-380
