name,technology,bidding_EOM,max_power_charge,max_power_discharge,efficiency_charge,efficiency_discharge,min_soc,max_soc,additional_cost_charge,additional_cost_discharge,latitude,longitude,node,unit_operator
store_1,PSPP,flexable_eom_storage,90,90,0.75,0.75,1,990,0.28,0.28,47.5749447,7.9822169,46,storage_operator0
store_2,PSPP,flexable_eom_storage,90,90,0.75,0.75,1,990,0.28,0.28,47.5749447,7.9822169,46,storage_operator1
store_3,PSPP,flexable_eom_storage,90,90,0.75,0.75,1,990,0.28,0.28,47.5749447,7.9822169,46,storage_operator2
store_4,PSPP,flexable_eom_storage,90,90,0.75,0.75,1,990,0.28,0.28,47.5749447,7.9822169,46,storage_operator3
store_5,PSPP,flexable_eom_storage,35,35,0.75,0.75,1,385,0.28,0.28,51.1736196,9.0733925,181,storage_operator4
store_6,PSPP,flexable_eom_storage,35,35,0.75,0.75,1,385,0.28,0.28,51.1736196,9.0733925,181,storage_operator5
store_7,PSPP,flexable_eom_storage,75,75,0.75,0.75,1,825,0.28,0.28,51.1736196,9.0733925,181,storage_operator6
store_8,PSPP,flexable_eom_storage,240,240,0.75,0.75,1,2640,0.28,0.28,51.1736196,9.0733925,181,storage_operator7
store_9,PSPP,flexable_eom_storage,240,240,0.75,0.75,1,2640,0.28,0.28,51.1736196,9.0733925,181,storage_operator8
store_10,PSPP,flexable_eom_storage,200,200,0.75,0.75,1,2200,0.28,0.28,51.8400755,9.8768862,43,storage_operator9
store_11,PSPP,flexable_eom_storage,48,48,0.75,0.75,1,528,0.28,0.28,47.9140623,11.8638687,197,storage_operator10
store_12,PSPP,flexable_eom_storage,22,22,0.75,0.75,1,242,0.28,0.28,47.9140623,11.8638687,197,storage_operator11
store_13,PSPP,flexable_eom_storage,22,22,0.75,0.75,1,242,0.28,0.28,47.9140623,11.8638687,197,storage_operator12
store_14,PSPP,flexable_eom_storage,69,69,0.75,0.75,1,759,0.28,0.28,51.2089038,8.0182899,186,storage_operator13
store_15,PSPP,flexable_eom_storage,69,69,0.75,0.75,1,759,0.28,0.28,51.2089038,8.0182899,186,storage_operator14
store_16,PSPP,flexable_eom_storage,21.7,21.7,0.75,0.75,1,238.7,0.28,0.28,48.6808266,8.3598361,147,storage_operator15
store_17,PSPP,flexable_eom_storage,39.7,39.7,0.75,0.75,1,436.7,0.28,0.28,53.44691,10.3990474,63,storage_operator16
store_18,PSPP,flexable_eom_storage,39.7,39.7,0.75,0.75,1,436.7,0.28,0.28,53.44691,10.3990474,63,storage_operator17
store_19,PSPP,flexable_eom_storage,39.7,39.7,0.75,0.75,1,436.7,0.28,0.28,53.44691,10.3990474,63,storage_operator18
store_20,PSPP,flexable_eom_storage,82,82,0.75,0.75,1,902,0.28,0.28,50.0558088,9.7051863,178,storage_operator19
store_21,PSPP,flexable_eom_storage,82,82,0.75,0.75,1,902,0.28,0.28,50.0558088,9.7051863,178,storage_operator20
store_22,PSPP,flexable_eom_storage,263,263,0.75,0.75,1,2893,0.28,0.28,50.5377505,11.0668209,121,storage_operator21
store_23,PSPP,flexable_eom_storage,263,263,0.75,0.75,1,2893,0.28,0.28,50.5377505,11.0668209,121,storage_operator22
store_24,PSPP,flexable_eom_storage,263,263,0.75,0.75,1,2893,0.28,0.28,50.5377505,11.0668209,121,storage_operator23
store_25,PSPP,flexable_eom_storage,263,263,0.75,0.75,1,2893,0.28,0.28,50.5377505,11.0668209,121,storage_operator24
store_26,PSPP,flexable_eom_storage,40,40,0.75,0.75,1,440,0.28,0.28,49.4937248,11.4719142,37,storage_operator25
store_27,PSPP,flexable_eom_storage,40,40,0.75,0.75,1,440,0.28,0.28,49.4937248,11.4719142,37,storage_operator26
store_28,PSPP,flexable_eom_storage,40,40,0.75,0.75,1,440,0.28,0.28,49.4937248,11.4719142,37,storage_operator27
store_29,PSPP,flexable_eom_storage,40,40,0.75,0.75,1,440,0.28,0.28,49.4937248,11.4719142,37,storage_operator28
store_30,PSPP,flexable_eom_storage,30,30,0.75,0.75,1,330,0.28,0.28,47.7642052,8.1088955,90,storage_operator29
store_31,PSPP,flexable_eom_storage,30,30,0.75,0.75,1,330,0.28,0.28,47.7642052,8.1088955,90,storage_operator30
store_32,PSPP,flexable_eom_storage,30,30,0.75,0.75,1,330,0.28,0.28,47.7642052,8.1088955,90,storage_operator31
store_33,PSPP,flexable_eom_storage,30,30,0.75,0.75,1,330,0.28,0.28,47.7642052,8.1088955,90,storage_operator32
store_34,PSPP,flexable_eom_storage,162,162,0.75,0.75,1,1782,0.28,0.28,51.416693,7.4272482,157,storage_operator33
store_35,PSPP,flexable_eom_storage,29.9,29.9,0.75,0.75,1,328.9,0.28,0.28,50.5813868,11.4786304,45,storage_operator34
store_36,PSPP,flexable_eom_storage,29.9,29.9,0.75,0.75,1,328.9,0.28,0.28,50.5813868,11.4786304,45,storage_operator35
store_37,PSPP,flexable_eom_storage,3.88,3.88,0.75,0.75,1,42.68,0.28,0.28,50.5813868,11.4786304,45,storage_operator36
store_38,PSPP,flexable_eom_storage,39.7,39.7,0.75,0.75,1,436.7,0.28,0.28,50.5813868,11.4786304,45,storage_operator37
store_39,PSPP,flexable_eom_storage,39.7,39.7,0.75,0.75,1,436.7,0.28,0.28,50.5813868,11.4786304,45,storage_operator38
store_40,PSPP,flexable_eom_storage,39.7,39.7,0.75,0.75,1,436.7,0.28,0.28,50.5813868,11.4786304,45,storage_operator39
