datetime,Solar,Wind_Offshore,Wind_Onshore
2019-01-01 00:00:00,0.0,0.7997,0.37773
2019-01-01 00:15:00,0.0,0.7997,0.37773
2019-01-01 00:30:00,0.0,0.7997,0.37773
2019-01-01 00:45:00,0.0,0.7997,0.37773
2019-01-01 01:00:00,0.0,0.7997,0.37773
2019-01-01 01:15:00,0.0,0.78442,0.38542
2019-01-01 01:30:00,1e-05,0.78509,0.39344
2019-01-01 01:45:00,1e-05,0.78577,0.40173
2019-01-01 02:00:00,2e-05,0.78597,0.40971
2019-01-01 02:15:00,2e-05,0.78633,0.41796
2019-01-01 02:30:00,3e-05,0.78669,0.42638
2019-01-01 02:45:00,3e-05,0.78721,0.4349
2019-01-01 03:00:00,3e-05,0.78726,0.44345
2019-01-01 03:15:00,4e-05,0.78684,0.45172
2019-01-01 03:30:00,4e-05,0.77046,0.45619
2019-01-01 03:45:00,5e-05,0.76988,0.46427
2019-01-01 04:00:00,5e-05,0.76931,0.47205
2019-01-01 04:15:00,6e-05,0.76821,0.4781
2019-01-01 04:30:00,6e-05,0.76727,0.48421
2019-01-01 04:45:00,7e-05,0.7657,0.48852
2019-01-01 05:00:00,7e-05,0.76445,0.49279
2019-01-01 05:15:00,7e-05,0.76429,0.49834
2019-01-01 05:30:00,8e-05,0.76366,0.50413
2019-01-01 05:45:00,8e-05,0.76272,0.50879
2019-01-01 06:00:00,9e-05,0.76225,0.52264
2019-01-01 06:15:00,9e-05,0.7624,0.52762
2019-01-01 06:30:00,0.0001,0.76318,0.53236
2019-01-01 06:45:00,0.0001,0.76318,0.5372
2019-01-01 07:00:00,0.0001,0.76427,0.54165
2019-01-01 07:15:00,0.00011,0.76521,0.5437
2019-01-01 07:30:00,0.00011,0.76584,0.54576
2019-01-01 07:45:00,0.00012,0.76631,0.54811
2019-01-01 08:00:00,0.00012,0.76662,0.54933
2019-01-01 08:15:00,0.00079,0.76725,0.55153
2019-01-01 08:30:00,0.00186,0.76819,0.55375
2019-01-01 08:45:00,0.00421,0.76866,0.55647
2019-01-01 09:00:00,0.00762,0.7696,0.55914
2019-01-01 09:15:00,0.01181,0.76976,0.56226
2019-01-01 09:30:00,0.01664,0.77008,0.56542
2019-01-01 09:45:00,0.02162,0.77055,0.56862
2019-01-01 10:00:00,0.02622,0.77102,0.57177
2019-01-01 10:15:00,0.03026,0.77047,0.5739
2019-01-01 10:30:00,0.03429,0.76992,0.57613
2019-01-01 10:45:00,0.03782,0.76905,0.57957
2019-01-01 11:00:00,0.04105,0.76803,0.58271
2019-01-01 11:15:00,0.04382,0.76608,0.58548
2019-01-01 11:30:00,0.04603,0.76397,0.58828
2019-01-01 11:45:00,0.04759,0.75954,0.59089
2019-01-01 12:00:00,0.04872,0.75433,0.59376
2019-01-01 12:15:00,0.04917,0.70972,0.59513
2019-01-01 12:30:00,0.04894,0.70359,0.59875
2019-01-01 12:45:00,0.04794,0.69881,0.6023
2019-01-01 13:00:00,0.04641,0.69388,0.60577
2019-01-01 13:15:00,0.04415,0.69187,0.60935
2019-01-01 13:30:00,0.04085,0.69002,0.61281
2019-01-01 13:45:00,0.03725,0.68785,0.61561
2019-01-01 14:00:00,0.03327,0.68631,0.61853
2019-01-01 14:15:00,0.02873,0.68598,0.62207
2019-01-01 14:30:00,0.02366,0.68628,0.62553
2019-01-01 14:45:00,0.01857,0.68626,0.62838
2019-01-01 15:00:00,0.01385,0.68609,0.63117
2019-01-01 15:15:00,0.00939,0.68403,0.63426
2019-01-01 15:30:00,0.00591,0.68963,0.63875
2019-01-01 15:45:00,0.00319,0.68618,0.64127
2019-01-01 16:00:00,0.00122,0.68274,0.64388
2019-01-01 16:15:00,0.00039,0.67953,0.64744
2019-01-01 16:30:00,8e-05,0.67664,0.65142
2019-01-01 16:45:00,2e-05,0.67319,0.6545
2019-01-01 17:00:00,0.0,0.6688,0.65746
2019-01-01 17:15:00,0.0,0.66405,0.66057
2019-01-01 17:30:00,0.0,0.65993,0.66355
2019-01-01 17:45:00,1e-05,0.65056,0.66763
2019-01-01 18:00:00,1e-05,0.64462,0.67095
2019-01-01 18:15:00,1e-05,0.64108,0.67409
2019-01-01 18:30:00,1e-05,0.63738,0.67737
2019-01-01 18:45:00,1e-05,0.63367,0.68055
2019-01-01 19:00:00,2e-05,0.6306,0.68361
2019-01-01 19:15:00,2e-05,0.6275,0.68488
