datetime,demand_EOM,A360_building_load_profile,A360_building_heat_demand,A361_building_load_profile,A361_building_pv_power_profile,A361_building_heat_demand,A362_building_load_profile
2024-01-01 00:00:00,500.0,2.025e-05,1.8e-05,7.025e-05,0.0,1.8e-05,0.0001967499999999
2024-01-01 01:00:00,500.0,1.225e-05,1.8e-05,0.00018575,0.0,1.8e-05,0.00020675
2024-01-01 02:00:00,500.0,2.075e-05,1.8e-05,0.00011325,0.0,1.8e-05,0.000214
2024-01-01 03:00:00,500.0,2.25e-05,1.8e-05,2.95e-05,0.0,1.8e-05,0.000201
2024-01-01 04:00:00,100.0,1.5e-05,1.8e-05,3.125e-05,0.0,1.8e-05,0.00020725
2024-01-01 05:00:00,100.0,2.425e-05,1.8e-05,2.7e-05,0.0,1.8e-05,0.0001999999999999
2024-01-01 06:00:00,100.0,1.2e-05,1.8e-05,1e-05,1.5e-06,1.8e-05,0.00021625
2024-01-01 07:00:00,100.0,0.0002175,1.8e-05,0.0,2.225e-05,1.8e-05,0.0001975
2024-01-01 08:00:00,100.0,1.925e-05,1.8e-05,0.0,4e-05,1.8e-05,0.000208
2024-01-01 09:00:00,100.0,1.175e-05,1.8e-05,0.0,8.5e-05,1.8e-05,0.00015475
2024-01-01 10:00:00,100.0,2e-05,1.8e-05,5e-07,0.000176,1.8e-05,0.00014
2024-01-01 11:00:00,100.0,1.575e-05,1.8e-05,2.5e-07,0.000244,1.8e-05,9.275e-05
2024-01-01 12:00:00,100.0,1.2e-05,1.8e-05,0.000153,0.00010425,1.8e-05,0.0001595
2024-01-01 13:00:00,100.0,0.0001295,1.8e-05,0.00026225,0.0,1.8e-05,0.00017275
2024-01-01 14:00:00,100.0,2.525e-05,1.8e-05,1e-06,0.00013975,1.8e-05,0.0002095
2024-01-01 15:00:00,100.0,1.425e-05,1.8e-05,2.5e-07,0.00017175,1.8e-05,0.0002905
2024-01-01 16:00:00,100.0,1.975e-05,1.8e-05,0.0,8.65e-05,1.8e-05,0.00029575
2024-01-01 17:00:00,100.0,1.2e-05,1.8e-05,1.6499999999999998e-05,7.5e-05,1.8e-05,0.0001945
2024-01-01 18:00:00,100.0,1.75e-05,1.8e-05,0.00015975,1e-06,1.8e-05,0.00038075
2024-01-01 19:00:00,100.0,1.825e-05,1.8e-05,6.549999999999999e-05,0.0,1.8e-05,0.00055875
2024-01-01 20:00:00,100.0,1.2e-05,1.8e-05,5.275e-05,0.0,1.8e-05,0.00027125
2024-01-01 21:00:00,100.0,2.05e-05,1.8e-05,4.775e-05,0.0,1.8e-05,0.000133
2024-01-01 22:00:00,100.0,1.5e-05,1.8e-05,4.9e-05,0.0,1.8e-05,0.0001245
2024-01-01 23:00:00,100.0,1.125e-05,1.8e-05,8.6e-05,0.0,1.8e-05,7.975e-05
2024-01-02 00:00:00,100.0,0.000158,1.8e-05,0.00019025,0.0,1.8e-05,8.65e-05
2024-01-02 01:00:00,100.0,1.25e-05,1.8e-05,7.625e-05,0.0,1.8e-05,6.575e-05
2024-01-02 02:00:00,100.0,1.6250000000000002e-05,1.8e-05,3.0999999999999995e-05,0.0,1.8e-05,6.325e-05
2024-01-02 03:00:00,100.0,2.675e-05,1.8e-05,2.85e-05,0.0,1.8e-05,6.3e-05
2024-01-02 04:00:00,100.0,1.5e-05,1.8e-05,2.725e-05,0.0,1.8e-05,0.000101
2024-01-02 05:00:00,100.0,1.825e-05,1.8e-05,2.225e-05,1.25e-06,1.8e-05,5.725e-05
2024-01-02 06:00:00,100.0,1.675e-05,1.8e-05,2e-06,3.2e-05,1.8e-05,0.000176
2024-01-02 07:00:00,100.0,1.125e-05,1.8e-05,5e-07,3.125e-05,1.8e-05,9.675e-05
2024-01-02 08:00:00,100.0,2.05e-05,1.8e-05,0.0,0.0001195,1.8e-05,7.35e-05
2024-01-02 09:00:00,100.0,1.45e-05,1.8e-05,0.0,0.000148,1.8e-05,0.00015975
2024-01-02 10:00:00,100.0,1.3e-05,1.8e-05,5e-07,0.00014875,1.8e-05,0.00011925
2024-01-02 11:00:00,100.0,0.00016275,1.8e-05,9.5e-06,6.175000000000001e-05,1.8e-05,0.00018275
2024-01-02 12:00:00,100.0,1.225e-05,1.8e-05,0.0,0.00041725,1.8e-05,0.00018575
