name,unit_type,technology,node,bidding_EOM,unit_operator,objective,flexibility_measure,demand,fuel_type,max_heat_out,max_power,min_power,ramp_up,ramp_down,min_operating_steps,min_down_steps,specific_heat_demand,specific_electricity_aux,efficiency,eta_electric,eta_fossil,fossil_ng_share,ng_co2_factor,coal_co2_factor,calcination_emission_factor,storage_type,max_capacity,min_capacity,max_power_charge,max_power_discharge,initial_soc,storage_loss_rate,efficiency_charge,efficiency_discharge,is_prosumer
P100000124212,cement_plant,preheater,south,naive_da_dsm,dsm_operator,max_net_income,electricity_price_signal,,electricity,210.6,210.6,,210.6,210.6,0,0,0.417,0,,1,0.9,1,0.202,0.341,,,,,,,,,,,Yes
P100000124212,cement_plant,calciner,,,,,,,electricity,192.5,202.6,,202.6,202.6,0,0,0.661,0,,0.95,0.9,0,0.202,0.341,0.536,,,,,,,,,,
P100000124212,cement_plant,kiln,,,,,,,electricity,114.2,134.3,,134.3,134.3,0,0,0.392,0,,0.85,0.9,0,0.202,0.341,,,,,,,,,,,
P100000124212,cement_plant,thermal_storage,,,,,,,,,,,,,,,,,,,,,,,,short-term,3519.82,0,183.32,183.32,0,0.001,0.99,0.99,
P100000124839,cement_plant,preheater,south,naive_da_dsm,dsm_operator,max_net_income,electricity_price_signal,,electricity,199.6,199.6,,199.6,199.6,0,0,0.417,0,,1,0.9,1,0.202,0.341,,,,,,,,,,,Yes
P100000124839,cement_plant,calciner,,,,,,,electricity,182.9,192.5,,192.5,192.5,0,0,0.661,0,,0.95,0.9,0,0.202,0.341,0.536,,,,,,,,,,
P100000124839,cement_plant,kiln,,,,,,,electricity,108.4,127.6,,127.6,127.6,0,0,0.392,0,,0.85,0.9,0,0.202,0.341,,,,,,,,,,,
P100000124839,cement_plant,thermal_storage,,,,,,,,,,,,,,,,,,,,,,,,short-term,3343.83,0,174.15,174.15,0,0.001,0.99,0.99,
P100000125777,cement_plant,preheater,south,naive_da_dsm,dsm_operator,max_net_income,electricity_price_signal,,electricity,131.30,131.30,,131.30,131.30,0,0,0.417,0,,1,0.9,1,0.202,0.341,,,,,,,,,,,Yes
P100000125777,cement_plant,calciner,,,,,,,electricity,120.30,126.60,,126.60,126.60,0,0,0.661,0,,0.95,0.9,0,0.202,0.341,0.536,,,,,,,,,,
P100000125777,cement_plant,kiln,,,,,,,electricity,71.30,83.90,,83.90,83.90,0,0,0.392,0,,0.85,0.9,0,0.202,0.341,,,,,,,,,,,
P100000125777,cement_plant,thermal_storage,,,,,,,,,,,,,,,,,,,,,,,,short-term,2199.89,0,114.57,114.57,0,0.001,0.99,0.99,
P100000125790,cement_plant,preheater,south,naive_da_dsm,dsm_operator,max_net_income,electricity_price_signal,,electricity,126,126,,126,126,0,0,0.417,0,,1,0.9,1,0.202,0.341,,,,,,,,,,,Yes
P100000125790,cement_plant,calciner,,,,,,,electricity,115.5,121.6,,121.6,121.6,0,0,0.661,0,,0.95,0.9,0,0.202,0.341,0.536,,,,,,,,,,
P100000125790,cement_plant,kiln,,,,,,,electricity,68.5,80.6,,80.6,80.6,0,0,0.392,0,,0.85,0.9,0,0.202,0.341,,,,,,,,,,,
P100000125790,cement_plant,thermal_storage,,,,,,,,,,,,,,,,,,,,,,,,short-term,2111.89,0,109.99,109.99,0,0.001,0.99,0.99,
P100000125763,cement_plant,preheater,south,naive_da_dsm,dsm_operator,max_net_income,electricity_price_signal,,electricity,115.5,115.5,,115.5,115.5,0,0,0.417,0,,1,0.9,1,0.202,0.341,,,,,,,,,,,Yes
P100000125763,cement_plant,calciner,,,,,,,electricity,105.9,111.4,,111.4,111.4,0,0,0.661,0,,0.95,0.9,0,0.202,0.341,0.536,,,,,,,,,,
P100000125763,cement_plant,kiln,,,,,,,electricity,62.8,73.9,,73.9,73.9,0,0,0.392,0,,0.85,0.9,0,0.202,0.341,,,,,,,,,,,
P100000125763,cement_plant,thermal_storage,,,,,,,,,,,,,,,,,,,,,,,,short-term,1935.9,0,100.82,100.82,0,0.001,0.99,0.99,
P100000125764,cement_plant,preheater,south,naive_da_dsm,dsm_operator,max_net_income,electricity_price_signal,,electricity,105,105,,105,105,0,0,0.417,0,,1,0.9,1,0.202,0.341,,,,,,,,,,,Yes
P100000125764,cement_plant,calciner,,,,,,,electricity,96.2,101.3,,101.3,101.3,0,0,0.661,0,,0.95,0.9,0,0.202,0.341,0.536,,,,,,,,,,
P100000125764,cement_plant,kiln,,,,,,,electricity,57.1,67.1,,67.1,67.1,0,0,0.392,0,,0.85,0.9,0,0.202,0.341,,,,,,,,,,,
P100000125764,cement_plant,thermal_storage,,,,,,,,,,,,,,,,,,,,,,,,short-term,1759.91,0,91.66,91.66,0,0.001,0.99,0.99,
P100000125776,cement_plant,preheater,south,naive_da_dsm,dsm_operator,max_net_income,electricity_price_signal,,electricity,105,105,,105,105,0,0,0.417,0,,1,0.9,1,0.202,0.341,,,,,,,,,,,Yes
P100000125776,cement_plant,calciner,,,,,,,electricity,96.2,101.3,,101.3,101.3,0,0,0.661,0,,0.95,0.9,0,0.202,0.341,0.536,,,,,,,,,,
P100000125776,cement_plant,kiln,,,,,,,electricity,57.1,67.1,,67.1,67.1,0,0,0.392,0,,0.85,0.9,0,0.202,0.341,,,,,,,,,,,
P100000125776,cement_plant,thermal_storage,,,,,,,,,,,,,,,,,,,,,,,,short-term,1759.91,0,91.66,91.66,0,0.001,0.99,0.99,
P100000125770,cement_plant,preheater,south,naive_da_dsm,dsm_operator,max_net_income,electricity_price_signal,,electricity,94.5,94.5,,94.8,94.8,0,0,0.417,0,,1,0.9,1,0.202,0.341,,,,,,,,,,,Yes
P100000125770,cement_plant,calciner,,,,,,,electricity,86.6,91.2,,91.2,91.2,0,0,0.661,0,,0.95,0.9,0,0.202,0.341,0.536,,,,,,,,,,
P100000125770,cement_plant,kiln,,,,,,,electricity,51.4,60.4,,60.4,60.4,0,0,0.392,0,,0.85,0.9,0,0.202,0.341,,,,,,,,,,,
P100000125770,cement_plant,thermal_storage,,,,,,,,,,,,,,,,,,,,,,,,short-term,1583.92,0,82.49,82.49,0,0.001,0.99,0.99,
