datetime,solar_00,solar_02,solar_05,solar_08,wind_offshore_00,wind_offshore_06,wind_offshore_07,wind_onshore_01,wind_onshore_02,wind_onshore_04,wind_onshore_05,wind_onshore_08,wind_onshore_09,solar_01_0,solar_01_1,solar_01_2,solar_03_0,solar_03_1,solar_03_2,solar_04_0,solar_04_1,solar_04_2,solar_06_0,solar_06_1,solar_06_2,solar_06_3,solar_07_0,solar_07_1,solar_09_0,solar_09_1,solar_09_2,wind_onshore_00_0,wind_onshore_00_1,wind_onshore_00_2,wind_onshore_03_0,wind_onshore_03_1,wind_onshore_06_0,wind_onshore_06_1,wind_onshore_07_0,wind_onshore_07_1,wind_onshore_07_2,wind_onshore_07_3
2013-01-01 00:00:00,0.0,0.0,0.0,0.0,0.8855,0.8855,0.8855,0.0738,0.7524,0.2331,0.9074,0.4207,0.4943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9806,0.9806,0.9806,0.9293,0.9293,0.8319,0.8319,0.9807,0.9807,0.9807,0.9807
2013-01-01 01:00:00,0.0,0.0,0.0,0.0,0.8855,0.8855,0.8855,0.0665,0.7599,0.2082,0.9091,0.4186,0.5048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.982,0.982,0.982,0.9327,0.9327,0.8034,0.8034,0.9812,0.9812,0.9812,0.9812
2013-01-01 02:00:00,0.0,0.0,0.0,0.0,0.8855,0.8855,0.8855,0.0708,0.759,0.1924,0.8791,0.4175,0.5379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976,0.976,0.976,0.9107,0.9107,0.7785,0.7785,0.963,0.963,0.963,0.963
2013-01-01 03:00:00,0.0,0.0,0.0,0.0,0.8855,0.8855,0.8853,0.0798,0.7686,0.248,0.8496,0.4358,0.6013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.968,0.968,0.968,0.9025,0.9025,0.7882,0.7882,0.9552,0.9552,0.9552,0.9552
2013-01-01 04:00:00,0.0,0.0,0.0,0.0,0.8854,0.8855,0.8793,0.0711,0.7334,0.2731,0.8076,0.4467,0.5925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9022,0.9022,0.9022,0.8657,0.8657,0.7572,0.7572,0.9065,0.9065,0.9065,0.9065
2013-01-01 05:00:00,0.0,0.0,0.0,0.0,0.8472,0.8855,0.8622,0.0663,0.739,0.2946,0.7853,0.4873,0.6021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8414,0.8414,0.8414,0.8545,0.8545,0.7273,0.7273,0.8208,0.8208,0.8208,0.8208
2013-01-01 06:00:00,0.0,0.0,0.0,0.0,0.7732,0.8855,0.8351,0.0648,0.7345,0.3077,0.7631,0.4793,0.6141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7387,0.7387,0.7387,0.8227,0.8227,0.6847,0.6847,0.7253,0.7253,0.7253,0.7253
2013-01-01 07:00:00,0.0,0.0,0.0,0.0,0.6382,0.8855,0.765,0.0748,0.7473,0.3413,0.7789,0.498,0.6395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.645,0.645,0.645,0.805,0.805,0.6851,0.6851,0.623,0.623,0.623,0.623
2013-01-01 08:00:00,0.0233,0.0905,0.0639,0.0681,0.5098,0.8855,0.6448,0.0852,0.7305,0.3526,0.7617,0.5045,0.6498,0.1821,0.1821,0.1821,0.0162,0.0162,0.0162,0.0589,0.0589,0.0589,0.0558,0.0558,0.0558,0.0558,0.0339,0.0339,0.0657,0.0657,0.0657,0.5754,0.5754,0.5754,0.7238,0.7238,0.688,0.688,0.5119,0.5119,0.5119,0.5119
2013-01-01 09:00:00,0.0514,0.164,0.097,0.1147,0.4975,0.8855,0.6056,0.085,0.7182,0.3661,0.7646,0.5171,0.6731,0.2979,0.2979,0.2979,0.0504,0.0504,0.0504,0.1268,0.1268,0.1268,0.1269,0.1269,0.1269,0.1269,0.0659,0.0659,0.1023,0.1023,0.1023,0.5181,0.5181,0.5181,0.6738,0.6738,0.6677,0.6677,0.4729,0.4729,0.4729,0.4729
