datetime,wind_offshore_00,wind_onshore_00,solar_00_0,solar_00_1
2012-12-31 23:00:00,0.8855,0.7358,0.0,0.0
2013-01-01 00:00:00,0.8855,0.7358,0.0,0.0
2013-01-01 01:00:00,0.8855,0.7334,0.0,0.0
2013-01-01 02:00:00,0.8855,0.7238,0.0,0.0
2013-01-01 03:00:00,0.8853,0.7342,0.0,0.0
2013-01-01 04:00:00,0.8812,0.706,0.0,0.0
2013-01-01 05:00:00,0.8608,0.6888,0.0,0.0
2013-01-01 06:00:00,0.8255,0.6565,0.0,0.0
2013-01-01 07:00:00,0.7469,0.6409,0.0,0.0
2013-01-01 08:00:00,0.6349,0.6018,0.0485,0.0485
2013-01-01 09:00:00,0.6049,0.5803,0.0948,0.0948
2013-01-01 10:00:00,0.5787,0.4754,0.1118,0.1118
2013-01-01 11:00:00,0.4891,0.4698,0.1077,0.1077
2013-01-01 12:00:00,0.3972,0.4357,0.0869,0.0869
2013-01-01 13:00:00,0.3949,0.4372,0.0572,0.0572
2013-01-01 14:00:00,0.4375,0.4221,0.0234,0.0234
2013-01-01 15:00:00,0.4564,0.376,0.0002,0.0002
2013-01-01 16:00:00,0.4908,0.3507,0.0,0.0
2013-01-01 17:00:00,0.541,0.3279,0.0,0.0
2013-01-01 18:00:00,0.6099,0.3391,0.0,0.0
2013-01-01 19:00:00,0.6955,0.3476,0.0,0.0
2013-01-01 20:00:00,0.7504,0.344,0.0,0.0
2013-01-01 21:00:00,0.7928,0.351,0.0,0.0
2013-01-01 22:00:00,0.8377,0.3651,0.0,0.0
2013-01-01 23:00:00,0.8481,0.3662,0.0,0.0
2013-01-02 00:00:00,0.8596,0.3719,0.0,0.0
2013-01-02 01:00:00,0.8659,0.3783,0.0,0.0
2013-01-02 02:00:00,0.8603,0.3756,0.0,0.0
2013-01-02 03:00:00,0.863,0.3757,0.0,0.0
2013-01-02 04:00:00,0.8281,0.3586,0.0,0.0
2013-01-02 05:00:00,0.8325,0.365,0.0,0.0
2013-01-02 06:00:00,0.8173,0.3672,0.0,0.0
2013-01-02 07:00:00,0.7402,0.348,0.0,0.0
2013-01-02 08:00:00,0.6648,0.3261,0.0895,0.0895
2013-01-02 09:00:00,0.6544,0.3097,0.1947,0.1947
2013-01-02 10:00:00,0.6623,0.2805,0.2059,0.2059
2013-01-02 11:00:00,0.6663,0.2783,0.2103,0.2103
2013-01-02 12:00:00,0.6744,0.2909,0.1636,0.1636
2013-01-02 13:00:00,0.7579,0.2874,0.11,0.11
2013-01-02 14:00:00,0.7589,0.2505,0.0581,0.0581
2013-01-02 15:00:00,0.7667,0.2386,0.0018,0.0018
2013-01-02 16:00:00,0.7963,0.2569,0.0,0.0
2013-01-02 17:00:00,0.786,0.2746,0.0,0.0
2013-01-02 18:00:00,0.788,0.2983,0.0,0.0
2013-01-02 19:00:00,0.7945,0.3157,0.0,0.0
2013-01-02 20:00:00,0.7993,0.3249,0.0,0.0
2013-01-02 21:00:00,0.8189,0.3448,0.0,0.0
2013-01-02 22:00:00,0.8457,0.4068,0.0,0.0
2013-01-02 23:00:00,0.8406,0.4418,0.0,0.0
