,technology,max_power,min_power,fuel_type,additional_cost,efficiency,start_up_cost,shut_down_cost,EE_region,emission_factor,bidding_EOM,unit_operator
wind_offshore_00,wind_offshore_0,92267,0,renewable,0.015000000000000001,1.0,0.0,0.0,0,0.0,naive_eom,eom_operator
wind_onshore_00,wind_onshore_0,13122,0,renewable,0.015,1.0,0.0,0.0,0,0.0,naive_eom,eom_operator
OCGT_00_0,combined cycle gas turbine,9566,0,natural gas,64.67042831553653,0.4101035315570347,0.0,0.0,0,0.198,naive_eom,eom_operator
OCGT_00_1,combined cycle gas turbine,9566,0,natural gas,64.67042831553653,0.4101035315570347,0.0,0.0,0,0.198,naive_eom,eom_operator
OCGT_00_2,combined cycle gas turbine,9566,0,natural gas,64.67042831553653,0.4101035315570347,0.0,0.0,0,0.198,naive_eom,eom_operator
OCGT_00_3,combined cycle gas turbine,9566,0,natural gas,64.67042831553653,0.4101035315570347,0.0,0.0,0,0.198,naive_eom,eom_operator
OCGT_00_4,combined cycle gas turbine,9566,0,natural gas,64.67042831553653,0.4101035315570347,0.0,0.0,0,0.198,naive_eom,eom_operator
OCGT_00_5,combined cycle gas turbine,9566,0,natural gas,64.67042831553653,0.4101035315570347,0.0,0.0,0,0.198,naive_eom,eom_operator
solar_00_0,solar_0,73347,0,renewable,0.01,1.0,0.0,0.0,0,0.0,naive_eom,eom_operator
solar_00_1,solar_0,73347,0,renewable,0.01,1.0,0.0,0.0,0,0.0,naive_eom,eom_operator
