datetime,demand_EOM,demand_CRM_pos,demand_CRM_neg
1/1/2021 0:00,44984,2756,2827
1/1/2021 0:15,44772,2756,2827
1/1/2021 0:30,44412,2756,2827
1/1/2021 0:45,44176,2756,2827
1/1/2021 1:00,43516,2756,2827
1/1/2021 1:15,43000,2756,2827
1/1/2021 1:30,42496,2756,2827
1/1/2021 1:45,42320,2756,2827
1/1/2021 2:00,41600,2756,2827
1/1/2021 2:15,41216,2756,2827
1/1/2021 2:30,40968,2756,2827
1/1/2021 2:45,40664,2756,2827
1/1/2021 3:00,40504,2756,2827
1/1/2021 3:15,40424,2756,2827
1/1/2021 3:30,40344,2756,2827
1/1/2021 3:45,40188,2756,2827
1/1/2021 4:00,40504,2756,2827
1/1/2021 4:15,40372,2756,2827
1/1/2021 4:30,40320,2756,2827
1/1/2021 4:45,40080,2756,2827
1/1/2021 5:00,39908,2756,2827
1/1/2021 5:15,39540,2756,2827
1/1/2021 5:30,39536,2756,2827
1/1/2021 5:45,39584,2756,2827
1/1/2021 6:00,39136,2756,2827
1/1/2021 6:15,39016,2756,2827
1/1/2021 6:30,38964,2756,2827
1/1/2021 6:45,39056,2756,2827
1/1/2021 7:00,39236,2756,2827
1/1/2021 7:15,39412,2756,2827
1/1/2021 7:30,39640,2756,2827
1/1/2021 7:45,39804,2756,2827
1/1/2021 8:00,40152,2756,2827
1/1/2021 8:15,40340,2756,2827
1/1/2021 8:30,40716,2756,2827
1/1/2021 8:45,41308,2756,2827
1/1/2021 9:00,42212,2756,2827
1/1/2021 9:15,42820,2756,2827
1/1/2021 9:30,43152,2756,2827
1/1/2021 9:45,43740,2756,2827
1/1/2021 10:00,44644,2756,2827
1/1/2021 10:15,45360,2756,2827
1/1/2021 10:30,45836,2756,2827
1/1/2021 10:45,46420,2756,2827
1/1/2021 11:00,47068,2756,2827
1/1/2021 11:15,47900,2756,2827
1/1/2021 11:30,48492,2756,2827
1/1/2021 11:45,48688,2756,2827
1/1/2021 12:00,49284,2756,2827
1/1/2021 12:15,49404,2756,2827
1/1/2021 12:30,49304,2756,2827
1/1/2021 12:45,48912,2756,2827
1/1/2021 13:00,48740,2756,2827
1/1/2021 13:15,48480,2756,2827
1/1/2021 13:30,48288,2756,2827
1/1/2021 13:45,47976,2756,2827
1/1/2021 14:00,47636,2756,2827
1/1/2021 14:15,47452,2756,2827
1/1/2021 14:30,47368,2756,2827
1/1/2021 14:45,47216,2756,2827
1/1/2021 15:00,47532,2756,2827
1/1/2021 15:15,47496,2756,2827
1/1/2021 15:30,47820,2756,2827
1/1/2021 15:45,47976,2756,2827
1/1/2021 16:00,48208,2756,2827
1/1/2021 16:15,48884,2756,2827
1/1/2021 16:30,50020,2756,2827
1/1/2021 16:45,51052,2756,2827
1/1/2021 17:00,52288,2756,2827
1/1/2021 17:15,52980,2756,2827
1/1/2021 17:30,53448,2756,2827
1/1/2021 17:45,53700,2756,2827
1/1/2021 18:00,53908,2756,2827
1/1/2021 18:15,53904,2756,2827
1/1/2021 18:30,53968,2756,2827
1/1/2021 18:45,53504,2756,2827
1/1/2021 19:00,53336,2756,2827
1/1/2021 19:15,52888,2756,2827
1/1/2021 19:30,52616,2756,2827
1/1/2021 19:45,52276,2756,2827
1/1/2021 20:00,51464,2756,2827
1/1/2021 20:15,50776,2756,2827
1/1/2021 20:30,50108,2756,2827
1/1/2021 20:45,49628,2756,2827
1/1/2021 21:00,49264,2756,2827
1/1/2021 21:15,48832,2756,2827
1/1/2021 21:30,48508,2756,2827
1/1/2021 21:45,48340,2756,2827
1/1/2021 22:00,48936,2756,2827
1/1/2021 22:15,48424,2756,2827
1/1/2021 22:30,47764,2756,2827
1/1/2021 22:45,47208,2756,2827
1/1/2021 23:00,46524,2756,2827
1/1/2021 23:15,46084,2756,2827
1/1/2021 23:30,45484,2756,2827
1/1/2021 23:45,44772,2756,2827
1/2/2021 0:00,43812,2756,2827
1/2/2021 0:15,43168,2756,2827
1/2/2021 0:30,42712,2756,2827
1/2/2021 0:45,42308,2756,2827
1/2/2021 1:00,41776,2756,2827
1/2/2021 1:15,41376,2756,2827
1/2/2021 1:30,41020,2756,2827
1/2/2021 1:45,40644,2756,2827
1/2/2021 2:00,40384,2756,2827
1/2/2021 2:15,40260,2756,2827
1/2/2021 2:30,40144,2756,2827
1/2/2021 2:45,40124,2756,2827
1/2/2021 3:00,39940,2756,2827
1/2/2021 3:15,39972,2756,2827
1/2/2021 3:30,40224,2756,2827
1/2/2021 3:45,40248,2756,2827
1/2/2021 4:00,40544,2756,2827
1/2/2021 4:15,40700,2756,2827
1/2/2021 4:30,40844,2756,2827
1/2/2021 4:45,40888,2756,2827
1/2/2021 5:00,41156,2756,2827
1/2/2021 5:15,40928,2756,2827
1/2/2021 5:30,41128,2756,2827
1/2/2021 5:45,41456,2756,2827
1/2/2021 6:00,41940,2756,2827
1/2/2021 6:15,42196,2756,2827
1/2/2021 6:30,42536,2756,2827
1/2/2021 6:45,42740,2756,2827
1/2/2021 7:00,43404,2756,2827
1/2/2021 7:15,43888,2756,2827
1/2/2021 7:30,44264,2756,2827
1/2/2021 7:45,44836,2756,2827
1/2/2021 8:00,45348,2756,2827
1/2/2021 8:15,46060,2756,2827
1/2/2021 8:30,46500,2756,2827
1/2/2021 8:45,47180,2756,2827
1/2/2021 9:00,48176,2756,2827
1/2/2021 9:15,48964,2756,2827
1/2/2021 9:30,49576,2756,2827
1/2/2021 9:45,50088,2756,2827
1/2/2021 10:00,50700,2756,2827
1/2/2021 10:15,51324,2756,2827
1/2/2021 10:30,51916,2756,2827
1/2/2021 10:45,52232,2756,2827
1/2/2021 11:00,52860,2756,2827
1/2/2021 11:15,53484,2756,2827
1/2/2021 11:30,53832,2756,2827
1/2/2021 11:45,54036,2756,2827
1/2/2021 12:00,54592,2756,2827
1/2/2021 12:15,54584,2756,2827
1/2/2021 12:30,54560,2756,2827
1/2/2021 12:45,54312,2756,2827
1/2/2021 13:00,54084,2756,2827
1/2/2021 13:15,53752,2756,2827
1/2/2021 13:30,53492,2756,2827
1/2/2021 13:45,53188,2756,2827
1/2/2021 14:00,52820,2756,2827
1/2/2021 14:15,52636,2756,2827
1/2/2021 14:30,52576,2756,2827
1/2/2021 14:45,52348,2756,2827
1/2/2021 15:00,52532,2756,2827
1/2/2021 15:15,52656,2756,2827
1/2/2021 15:30,52816,2756,2827
1/2/2021 15:45,52824,2756,2827
1/2/2021 16:00,53420,2756,2827
1/2/2021 16:15,53976,2756,2827
1/2/2021 16:30,54916,2756,2827
1/2/2021 16:45,55744,2756,2827
1/2/2021 17:00,56836,2756,2827
1/2/2021 17:15,57316,2756,2827
1/2/2021 17:30,57940,2756,2827
1/2/2021 17:45,58092,2756,2827
1/2/2021 18:00,58076,2756,2827
1/2/2021 18:15,58040,2756,2827
1/2/2021 18:30,57784,2756,2827
1/2/2021 18:45,57392,2756,2827
1/2/2021 19:00,56784,2756,2827
1/2/2021 19:15,56424,2756,2827
