,supply_volume,demand_volume,demand_volume_energy,supply_volume_energy,price,max_price,min_price,node_id,product_start,product_end,only_hours,market_id,time,simulation
0,2082.7,-2082.7,-2082.7,2082.7,45.05,45.05,45.05,,2019-01-01 01:00:00,2019-01-01 02:00:00,,EOM,2019-01-01 01:00:00,example_01_clearing_example_01a_complex_clearing
1,2005.7,-2005.7,-2005.7,2005.7,45.05,45.05,45.05,,2019-01-01 02:00:00,2019-01-01 03:00:00,,EOM,2019-01-01 02:00:00,example_01_clearing_example_01a_complex_clearing
2,1965.6,-1965.6,-1965.6,1965.6,25.65,25.65,25.65,,2019-01-01 03:00:00,2019-01-01 04:00:00,,EOM,2019-01-01 03:00:00,example_01_clearing_example_01a_complex_clearing
3,1954.85,-1954.85,-1954.85,1954.85,25.65,25.65,25.65,,2019-01-01 04:00:00,2019-01-01 05:00:00,,EOM,2019-01-01 04:00:00,example_01_clearing_example_01a_complex_clearing
4,1931.75,-1931.75,-1931.75,1931.75,25.65,25.65,25.65,,2019-01-01 05:00:00,2019-01-01 06:00:00,,EOM,2019-01-01 05:00:00,example_01_clearing_example_01a_complex_clearing
5,1906.1,-1906.1,-1906.1,1906.1,25.65,25.65,25.65,,2019-01-01 06:00:00,2019-01-01 07:00:00,,EOM,2019-01-01 06:00:00,example_01_clearing_example_01a_complex_clearing
6,1943.75,-1943.75,-1943.75,1943.75,25.65,25.65,25.65,,2019-01-01 07:00:00,2019-01-01 08:00:00,,EOM,2019-01-01 07:00:00,example_01_clearing_example_01a_complex_clearing
7,1984.65,-1984.65,-1984.65,1984.65,25.65,25.65,25.65,,2019-01-01 08:00:00,2019-01-01 09:00:00,,EOM,2019-01-01 08:00:00,example_01_clearing_example_01a_complex_clearing
8,2111.8,-2111.8,-2111.8,2111.8,45.05,45.05,45.05,,2019-01-01 09:00:00,2019-01-01 10:00:00,,EOM,2019-01-01 09:00:00,example_01_clearing_example_01a_complex_clearing
9,2246.25,-2246.25,-2246.25,2246.25,45.05,45.05,45.05,,2019-01-01 10:00:00,2019-01-01 11:00:00,,EOM,2019-01-01 10:00:00,example_01_clearing_example_01a_complex_clearing
10,2389.6,-2389.6,-2389.6,2389.6,45.05,45.05,45.05,,2019-01-01 11:00:00,2019-01-01 12:00:00,,EOM,2019-01-01 11:00:00,example_01_clearing_example_01a_complex_clearing
11,2456.15,-2456.15,-2456.15,2456.15,45.05,45.05,45.05,,2019-01-01 12:00:00,2019-01-01 13:00:00,,EOM,2019-01-01 12:00:00,example_01_clearing_example_01a_complex_clearing
12,2439.6,-2439.6,-2439.6,2439.6,45.05,45.05,45.05,,2019-01-01 13:00:00,2019-01-01 14:00:00,,EOM,2019-01-01 13:00:00,example_01_clearing_example_01a_complex_clearing
13,2426.7,-2426.7,-2426.7,2426.7,45.05,45.05,45.05,,2019-01-01 14:00:00,2019-01-01 15:00:00,,EOM,2019-01-01 14:00:00,example_01_clearing_example_01a_complex_clearing
