,electricity_price,total_power,variable_cost,variable_revenue,net_income,marginal_cost
timestep_0,2603.7,0.17999934732219908,468.6643006228097,0.0,-468.6643006228097,468.6643006228097
timestep_1,2603.7,0.12000000000000019,312.44400000000047,0.0,-312.44400000000047,312.44400000000047
timestep_2,2603.7,0.05999937065914121,156.22036138520596,0.0,-156.22036138520596,156.22036138520596
timestep_3,2603.7,0.0,0.0,108.0,108.0,0.0
timestep_4,2603.7,0.0,0.0,216.0,216.0,0.0
timestep_5,2603.7,0.0,0.0,216.001762230069,216.001762230069,0.0
timestep_6,2603.7,0.0,0.0,108.00176223006424,108.00176223006424,0.0
timestep_7,2603.7,0.05035937065914382,131.12069338521277,0.0,-131.12069338521277,131.12069338521277
timestep_8,2603.7,0.11035937065914253,287.3426933852094,0.0,-287.3426933852094,287.3426933852094
timestep_9,2603.7,0.059999370659138754,156.22036138519957,0.0,-156.22036138519957,156.22036138519957
timestep_10,2603.7,0.03000000000000008,78.1110000000002,0.0,-78.1110000000002,78.1110000000002
timestep_11,2603.7,0.0,0.0,108.0,108.0,0.0
timestep_12,2603.7,0.0,0.0,216.0,216.0,0.0
timestep_13,2603.7,0.0,0.0,324.0,324.0,0.0
timestep_14,2603.7,0.0,0.0,216.00175997523104,216.00175997523104,0.0
timestep_15,2603.7,0.0,0.0,108.00169922033012,108.00169922033012,0.0
timestep_16,2603.7,0.06000000000000007,156.22200000000015,0.0,-156.22200000000015,156.22200000000015
timestep_17,2603.7,0.12000000000000025,312.44400000000064,0.0,-312.44400000000064,312.44400000000064
timestep_18,2603.7,0.12,312.44399999999996,0.0,-312.44399999999996,312.44399999999996
timestep_19,2603.7,0.06,156.22199999999998,0.0,-156.22199999999998,156.22199999999998
timestep_20,2603.7,0.0,0.0,0.0,0.0,0.0
timestep_21,2603.7,0.0,0.0,0.0,0.0,0.0
timestep_22,2603.7,0.0,0.0,0.0,0.0,0.0
timestep_23,2603.7,0.0,0.0,0.0,0.0,0.0
timestep_24,2603.7,0.0,0.0,0.0,0.0,0.0
timestep_25,2603.7,0.0,0.0,0.0,0.0,0.0
timestep_26,2603.7,0.0,0.0,0.0,0.0,0.0
timestep_27,2603.7,0.0,0.0,0.0,0.0,0.0
timestep_28,2603.7,0.0,0.0,0.0,0.0,0.0
timestep_29,2603.7,0.0,0.0,0.0,0.0,0.0
timestep_30,2603.7,0.05999999999999989,156.2219999999997,0.0,-156.2219999999997,156.2219999999997
timestep_31,2603.7,0.05999937065914149,156.22036138520667,0.0,-156.22036138520667,156.22036138520667
timestep_32,2603.7,0.0,0.0,0.0,0.0,0.0
timestep_33,2603.7,0.0,0.0,0.0,0.0,0.0
timestep_34,2603.7,0.0,0.0,0.0,0.0,0.0
timestep_35,2603.7,0.0,0.0,0.0,0.0,0.0
