,electricity_price,total_power,variable_cost,variable_revenue,net_income,marginal_cost
timestep_0,25.0,0.12448275862068983,3.112068965517246,0.0,-3.112068965517246,3.112068965517246
timestep_1,25.0,0.06448275862068971,1.6120689655172427,0.0,-1.6120689655172427,1.6120689655172427
timestep_2,25.0,0.02896551724137931,0.7241379310344828,0.0,-0.7241379310344828,0.7241379310344828
timestep_3,25.0,0.05448275862068965,1.3620689655172413,0.0,-1.3620689655172413,1.3620689655172413
timestep_4,25.0,0.03793103448275806,0.9482758620689514,0.0,-0.9482758620689514,0.9482758620689514
timestep_5,25.0,0.0,0.0,0.0,0.0,0.0
timestep_6,25.0,0.0,0.0,0.0,0.0,0.0
timestep_7,25.0,0.0,0.0,0.0,0.0,0.0
timestep_8,25.0,0.0,0.0,0.0,0.0,0.0
timestep_9,25.0,0.0,0.0,0.0,0.0,0.0
timestep_10,25.0,0.0,0.0,0.0,0.0,0.0
timestep_11,25.0,0.0,0.0,0.0,0.0,0.0
timestep_12,25.0,0.0,0.0,0.0,0.0,0.0
timestep_13,25.0,0.0,0.0,0.0,0.0,0.0
timestep_14,25.0,0.0,0.0,0.0,0.0,0.0
timestep_15,25.0,0.0,0.0,0.0,0.0,0.0
timestep_16,25.0,0.0,0.0,0.0,0.0,0.0
timestep_17,25.0,0.0,0.0,0.0,0.0,0.0
timestep_18,25.0,0.0,0.0,0.0,0.0,0.0
timestep_19,25.0,0.0,0.0,0.0,0.0,0.0
timestep_20,25.0,0.0,0.0,0.0,0.0,0.0
timestep_21,25.0,0.0,0.0,0.0,0.0,0.0
timestep_22,25.0,0.0,0.0,0.0,0.0,0.0
timestep_23,25.0,0.0,0.0,0.0,0.0,0.0
