variable,ident,value,simulation
sum_reward,future_markets_paper_base_case_2013_pp_all,2211.5,future_markets_paper_base_case_2013_pp_all_episode_1
sum_regret,future_markets_paper_base_case_2013_pp_all,8.2099e+06,future_markets_paper_base_case_2013_pp_all_episode_1
sum_profit,future_markets_paper_base_case_2013_pp_all,8.9331e+08,future_markets_paper_base_case_2013_pp_all_episode_1
avg_price,future_markets_paper_base_case_2013_pp_all,194.31,future_markets_paper_base_case_2013_pp_all_episode_1
min_price,future_markets_paper_base_case_2013_pp_all,-3.8215,future_markets_paper_base_case_2013_pp_all_episode_1
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_1
sum_reward,future_markets_paper_base_case_2013_pp_all,2196.2,future_markets_paper_base_case_2013_pp_all_episode_2
sum_regret,future_markets_paper_base_case_2013_pp_all,8.2578e+06,future_markets_paper_base_case_2013_pp_all_episode_2
sum_profit,future_markets_paper_base_case_2013_pp_all,9.0442e+08,future_markets_paper_base_case_2013_pp_all_episode_2
avg_price,future_markets_paper_base_case_2013_pp_all,193.16,future_markets_paper_base_case_2013_pp_all_episode_2
min_price,future_markets_paper_base_case_2013_pp_all,0.15545,future_markets_paper_base_case_2013_pp_all_episode_2
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_2
sum_reward,future_markets_paper_base_case_2013_pp_all,2198,future_markets_paper_base_case_2013_pp_all_episode_3
sum_regret,future_markets_paper_base_case_2013_pp_all,1.0098e+07,future_markets_paper_base_case_2013_pp_all_episode_3
sum_profit,future_markets_paper_base_case_2013_pp_all,8.9756e+08,future_markets_paper_base_case_2013_pp_all_episode_3
avg_price,future_markets_paper_base_case_2013_pp_all,193.53,future_markets_paper_base_case_2013_pp_all_episode_3
min_price,future_markets_paper_base_case_2013_pp_all,0.084728,future_markets_paper_base_case_2013_pp_all_episode_3
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_3
sum_reward,future_markets_paper_base_case_2013_pp_all,2186,future_markets_paper_base_case_2013_pp_all_episode_4
sum_regret,future_markets_paper_base_case_2013_pp_all,1.0156e+07,future_markets_paper_base_case_2013_pp_all_episode_4
sum_profit,future_markets_paper_base_case_2013_pp_all,8.6179e+08,future_markets_paper_base_case_2013_pp_all_episode_4
avg_price,future_markets_paper_base_case_2013_pp_all,192.07,future_markets_paper_base_case_2013_pp_all_episode_4
min_price,future_markets_paper_base_case_2013_pp_all,0.090062,future_markets_paper_base_case_2013_pp_all_episode_4
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_4
sum_reward,future_markets_paper_base_case_2013_pp_all,2224,future_markets_paper_base_case_2013_pp_all_episode_5
sum_regret,future_markets_paper_base_case_2013_pp_all,1.0228e+07,future_markets_paper_base_case_2013_pp_all_episode_5
sum_profit,future_markets_paper_base_case_2013_pp_all,9.0967e+08,future_markets_paper_base_case_2013_pp_all_episode_5
avg_price,future_markets_paper_base_case_2013_pp_all,196.41,future_markets_paper_base_case_2013_pp_all_episode_5
min_price,future_markets_paper_base_case_2013_pp_all,0.42065,future_markets_paper_base_case_2013_pp_all_episode_5
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_5
sum_reward,future_markets_paper_base_case_2013_pp_all,2193.5,future_markets_paper_base_case_2013_pp_all_episode_6
sum_regret,future_markets_paper_base_case_2013_pp_all,9.6355e+06,future_markets_paper_base_case_2013_pp_all_episode_6
sum_profit,future_markets_paper_base_case_2013_pp_all,8.818e+08,future_markets_paper_base_case_2013_pp_all_episode_6
avg_price,future_markets_paper_base_case_2013_pp_all,192.37,future_markets_paper_base_case_2013_pp_all_episode_6
min_price,future_markets_paper_base_case_2013_pp_all,0.12493,future_markets_paper_base_case_2013_pp_all_episode_6
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_6
sum_reward,future_markets_paper_base_case_2013_pp_all,2206.6,future_markets_paper_base_case_2013_pp_all_episode_7
sum_regret,future_markets_paper_base_case_2013_pp_all,8.7068e+06,future_markets_paper_base_case_2013_pp_all_episode_7
sum_profit,future_markets_paper_base_case_2013_pp_all,9.0667e+08,future_markets_paper_base_case_2013_pp_all_episode_7
avg_price,future_markets_paper_base_case_2013_pp_all,194.01,future_markets_paper_base_case_2013_pp_all_episode_7
min_price,future_markets_paper_base_case_2013_pp_all,1.2108,future_markets_paper_base_case_2013_pp_all_episode_7
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_7
sum_reward,future_markets_paper_base_case_2013_pp_all,2189.4,future_markets_paper_base_case_2013_pp_all_episode_8
sum_regret,future_markets_paper_base_case_2013_pp_all,8.4637e+06,future_markets_paper_base_case_2013_pp_all_episode_8
