variable,ident,value,simulation
sum_reward,future_markets_paper_base_case_2013_pp_all_kurz_43,2246.9,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_1
sum_regret,future_markets_paper_base_case_2013_pp_all_kurz_43,8.8226e+06,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_1
sum_profit,future_markets_paper_base_case_2013_pp_all_kurz_43,9.0015e+08,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_1
avg_price,future_markets_paper_base_case_2013_pp_all_kurz_43,198.01,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_1
min_price,future_markets_paper_base_case_2013_pp_all_kurz_43,-4.7777,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_1
max_price,future_markets_paper_base_case_2013_pp_all_kurz_43,3000,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_1
sum_reward,future_markets_paper_base_case_2013_pp_all_kurz_43,4493.7,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_1
sum_regret,future_markets_paper_base_case_2013_pp_all_kurz_43,1.7645e+07,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_1
sum_profit,future_markets_paper_base_case_2013_pp_all_kurz_43,1.8003e+09,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_1
avg_price,future_markets_paper_base_case_2013_pp_all_kurz_43,198.01,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_1
min_price,future_markets_paper_base_case_2013_pp_all_kurz_43,-4.7777,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_1
max_price,future_markets_paper_base_case_2013_pp_all_kurz_43,3000,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_1
sum_reward,future_markets_paper_base_case_2013_pp_all_kurz_43,2207.1,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_2
sum_regret,future_markets_paper_base_case_2013_pp_all_kurz_43,8.7049e+06,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_2
sum_profit,future_markets_paper_base_case_2013_pp_all_kurz_43,8.7909e+08,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_2
avg_price,future_markets_paper_base_case_2013_pp_all_kurz_43,193.9,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_2
min_price,future_markets_paper_base_case_2013_pp_all_kurz_43,0.17319,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_2
max_price,future_markets_paper_base_case_2013_pp_all_kurz_43,3000,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_2
sum_reward,future_markets_paper_base_case_2013_pp_all_kurz_43,4414.3,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_2
sum_regret,future_markets_paper_base_case_2013_pp_all_kurz_43,1.741e+07,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_2
sum_profit,future_markets_paper_base_case_2013_pp_all_kurz_43,1.7582e+09,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_2
sum_reward,future_markets_paper_base_case_2013_pp_all_kurz_43,2239.7,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_3
sum_regret,future_markets_paper_base_case_2013_pp_all_kurz_43,9.3774e+06,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_3
sum_profit,future_markets_paper_base_case_2013_pp_all_kurz_43,8.8811e+08,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_3
avg_price,future_markets_paper_base_case_2013_pp_all_kurz_43,197.84,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_3
min_price,future_markets_paper_base_case_2013_pp_all_kurz_43,0.17231,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_3
