,load_shift_positive,load_shift_negative,net_load_shift
timestep_0,0.0,0.1690000000223518,-0.1690000000223518
timestep_1,0.0,0.12,-0.12
timestep_2,0.0,0.06,-0.06
timestep_3,0.019999999999999962,0.0,0.019999999999999962
timestep_4,0.059999999999999956,0.0,0.059999999999999956
timestep_5,0.07999999999999999,0.0,0.07999999999999999
timestep_6,0.039999999999999994,0.0,0.039999999999999994
timestep_7,0.0,0.03,-0.03
timestep_8,0.0,0.08099999997764831,-0.08099999997764831
timestep_9,0.0,0.12,-0.12
timestep_10,0.0,0.05024000000000174,-0.05024000000000174
timestep_11,0.049759999999998236,0.0,0.049759999999998236
timestep_12,0.0897599999999982,0.0,0.0897599999999982
timestep_13,0.12000000000000065,0.0,0.12000000000000065
timestep_14,0.08000000000000065,0.0,0.08000000000000065
timestep_15,0.04000000000000066,0.0,0.04000000000000066
timestep_16,0.0,0.05999999999999935,-0.05999999999999935
timestep_17,0.0,0.12,-0.12
timestep_18,0.0,0.12,-0.12
timestep_19,0.0,0.06,-0.06
timestep_20,0.0,0.0,0.0
timestep_21,0.0,0.0,0.0
timestep_22,0.0,0.0,0.0
timestep_23,0.0,0.0,0.0
timestep_24,0.0,0.0,0.0
timestep_25,0.0,0.0,0.0
timestep_26,0.0,0.0,0.0
timestep_27,0.0,0.0,0.0
timestep_28,0.0,0.0,0.0
timestep_29,0.0,0.0,0.0
timestep_30,0.0,0.04536000000000001,-0.04536000000000001
timestep_31,0.0,0.04536000000000001,-0.04536000000000001
timestep_32,0.0,0.0,0.0
timestep_33,0.0,0.0,0.0
timestep_34,0.0,0.0,0.0
timestep_35,0.0,0.0,0.0
timestep_36,0.0,0.0,0.0
timestep_37,0.0,0.0,0.0
timestep_38,0.0,0.0,0.0
timestep_39,0.0,0.0,0.0
timestep_40,0.0,0.0,0.0
timestep_41,0.0,0.0,0.0
timestep_42,0.0,0.026799999999999963,-0.026799999999999963
timestep_43,0.04000000000000006,0.0,0.04000000000000006
timestep_44,0.0,0.0,0.0
timestep_45,0.0,0.0,0.0
timestep_46,0.0,0.0,0.0
timestep_47,0.0,0.0,0.0
timestep_48,0.0,0.0,0.0
timestep_49,0.0,0.0,0.0
timestep_50,0.0,0.0,0.0
timestep_51,0.0,0.0,0.0
timestep_52,0.0,0.0,0.0
timestep_53,0.0,0.0,0.0
timestep_54,0.04000000000000006,0.0,0.04000000000000006
timestep_55,0.04000000000000006,0.0,0.04000000000000006
timestep_56,0.0,0.0,0.0
timestep_57,0.0,0.0,0.0
timestep_58,0.0,0.0,0.0
timestep_59,0.0,0.0,0.0
timestep_60,0.0,0.0,0.0
timestep_61,0.0,0.0,0.0
timestep_62,0.0,0.0,0.0
timestep_63,0.0,0.0,0.0
timestep_64,0.0,0.0,0.0
timestep_65,0.0,0.0,0.0
timestep_66,0.037120000000003164,0.0,0.037120000000003164
timestep_67,0.0,0.0,0.0
timestep_68,0.0,0.0,0.0
timestep_69,0.0,0.0,0.0
timestep_70,0.0,0.0,0.0
timestep_71,0.0,0.0,0.0
timestep_72,0.0,0.0,0.0
timestep_73,0.0,0.0,0.0
timestep_74,0.0,0.0,0.0
timestep_75,0.0,0.0,0.0
timestep_76,0.0,0.0,0.0
timestep_77,0.0,0.0,0.0
timestep_78,0.0,0.02679999999999999,-0.02679999999999999
timestep_79,0.0,0.0,0.0
timestep_80,0.0,0.0,0.0
timestep_81,0.0,0.0,0.0
timestep_82,0.0,0.0,0.0
timestep_83,0.0,0.0,0.0
timestep_84,0.0,0.0,0.0
timestep_85,0.0,0.0,0.0
timestep_86,0.0,0.0,0.0
timestep_87,0.0,0.0,0.0
timestep_88,0.0,0.0,0.0
timestep_89,0.0,0.0,0.0
timestep_90,0.0,0.06,-0.06
timestep_91,0.0,0.12,-0.12
timestep_92,0.0,0.029199505533114935,-0.029199505533114935
timestep_93,0.07080049446688506,0.0,0.07080049446688506
timestep_94,0.03080049446688507,0.0,0.03080049446688507
timestep_95,0.0,0.0,0.0
timestep_96,0.0,0.0,0.0
