,index,technology,g_max,u_0,fuel_type,additional_cost,efficiency,start_up_cost,shut_down_cost,EE_region,emission_factor,bidding_EOM,unit_operator,r_up,r_down,k_up,k_down,g_0,unit,mc
0,OCGT_00,combined cycle gas turbine,1268,0,natural gas,64.6839512195122,0.3439877109860466,0.0,0.0,0,0.198,powerplant_energy_naive,eom_operator,1268,1268,0,0,0,OCGT_00,108.11267253306872
1,OCGT_01_0,combined cycle gas turbine,8882,0,natural gas,64.40702566418445,0.3578311590444837,0.0,0.0,1,0.198,powerplant_energy_naive,eom_operator,8882,8882,0,0,0,OCGT_01_0,106.15561590879227
2,OCGT_01_1,combined cycle gas turbine,8882,0,natural gas,64.40702566418445,0.5783064453769557,0.0,0.0,1,0.198,powerplant_energy_naive,eom_operator,8882,8882,0,0,0,OCGT_01_1,90.23925796096225
3,OCGT_01_2,combined cycle gas turbine,8882,0,natural gas,64.40702566418445,0.4612509403953525,0.0,0.0,1,0.198,powerplant_energy_naive,eom_operator,8882,8882,0,0,0,OCGT_01_2,96.79491938402504
4,OCGT_01_3,combined cycle gas turbine,8882,0,natural gas,64.40702566418445,0.3652473513436927,0.0,0.0,1,0.198,powerplant_energy_naive,eom_operator,8882,8882,0,0,0,OCGT_01_3,105.30792852013454
5,OCGT_01_4,combined cycle gas turbine,8882,0,natural gas,64.40702566418445,0.45727602395055,0.0,0.0,1,0.198,powerplant_energy_naive,eom_operator,8882,8882,0,0,0,OCGT_01_4,97.07645430957649
6,OCGT_02,combined cycle gas turbine,149,0,natural gas,64.6839512195122,0.3266971228039821,0.0,0.0,2,0.198,powerplant_energy_naive,eom_operator,149,149,0,0,0,OCGT_02,110.41115661233269
7,OCGT_03,combined cycle gas turbine,2083,0,natural gas,64.6839512195122,0.5164619691059292,0.0,0.0,3,0.198,powerplant_energy_naive,eom_operator,2083,2083,0,0,0,OCGT_03,93.60950107473758
8,OCGT_04,combined cycle gas turbine,34,0,natural gas,64.6839512195122,0.3184919993743785,0.0,0.0,4,0.198,powerplant_energy_naive,eom_operator,34,34,0,0,0,OCGT_04,111.58919990722273
9,OCGT_05,combined cycle gas turbine,156,0,natural gas,64.6839512195122,0.4750033478521921,0.0,0.0,5,0.198,powerplant_energy_naive,eom_operator,156,156,0,0,0,OCGT_05,96.13414310394835
10,OCGT_06,combined cycle gas turbine,681,0,natural gas,64.6839512195122,0.5546204040925214,0.0,0.0,6,0.198,powerplant_energy_naive,eom_operator,681,681,0,0,0,OCGT_06,91.61939449831613
11,OCGT_07,combined cycle gas turbine,160,0,natural gas,64.6839512195122,0.3626562525055995,0.0,0.0,7,0.198,powerplant_energy_naive,eom_operator,160,160,0,0,0,OCGT_07,105.8770819941453
12,OCGT_08,combined cycle gas turbine,83,0,natural gas,64.6839512195122,0.3557197389538573,0.0,0.0,8,0.198,powerplant_energy_naive,eom_operator,83,83,0,0,0,OCGT_08,106.6803455709632
13,OCGT_09,combined cycle gas turbine,1293,0,natural gas,64.6839512195122,0.5869301518110583,0.0,0.0,9,0.198,powerplant_energy_naive,eom_operator,1293,1293,0,0,0,OCGT_09,90.13663309248294
14,solar_00,solar_0,5071,0,renewable,0.01,1.0,0.0,0.0,0,0.0,renewable_energy_learning_single_bid,eom_operator,5071,5071,0,0,0,solar_00,0.00999999999999994
15,solar_01_0,solar_1,8581,0,renewable,0.01,1.0,0.0,0.0,1,0.0,renewable_energy_learning_single_bid,eom_operator,8581,8581,0,0,0,solar_01_0,0.00999999999999994
16,solar_01_1,solar_1,8581,0,renewable,0.01,1.0,0.0,0.0,1,0.0,renewable_energy_learning_single_bid,eom_operator,8581,8581,0,0,0,solar_01_1,0.00999999999999994
17,solar_01_2,solar_1,8581,0,renewable,0.01,1.0,0.0,0.0,1,0.0,renewable_energy_learning_single_bid,eom_operator,8581,8581,0,0,0,solar_01_2,0.00999999999999994
18,solar_02,solar_2,5296,0,renewable,0.01,1.0,0.0,0.0,2,0.0,renewable_energy_learning_single_bid,eom_operator,5296,5296,0,0,0,solar_02,0.00999999999999994
19,solar_03_0,solar_3,9023,0,renewable,0.01,1.0,0.0,0.0,3,0.0,renewable_energy_learning_single_bid,eom_operator,9023,9023,0,0,0,solar_03_0,0.00999999999999994
20,solar_03_1,solar_3,9023,0,renewable,0.01,1.0,0.0,0.0,3,0.0,renewable_energy_learning_single_bid,eom_operator,9023,9023,0,0,0,solar_03_1,0.00999999999999994
21,solar_03_2,solar_3,9023,0,renewable,0.01,1.0,0.0,0.0,3,0.0,renewable_energy_learning_single_bid,eom_operator,9023,9023,0,0,0,solar_03_2,0.00999999999999994
22,solar_04_0,solar_4,8412,0,renewable,0.01,1.0,0.0,0.0,4,0.0,renewable_energy_learning_single_bid,eom_operator,8412,8412,0,0,0,solar_04_0,0.00999999999999994
23,solar_04_1,solar_4,8412,0,renewable,0.01,1.0,0.0,0.0,4,0.0,renewable_energy_learning_single_bid,eom_operator,8412,8412,0,0,0,solar_04_1,0.00999999999999994
24,solar_04_2,solar_4,8412,0,renewable,0.01,1.0,0.0,0.0,4,0.0,renewable_energy_learning_single_bid,eom_operator,8412,8412,0,0,0,solar_04_2,0.00999999999999994
25,solar_05,solar_5,3415,0,renewable,0.0099999999999999,1.0,0.0,0.0,5,0.0,renewable_energy_learning_single_bid,eom_operator,3415,3415,0,0,0,solar_05,0.009999999999999903
26,solar_06_0,solar_6,7569,0,renewable,0.01,1.0,0.0,0.0,6,0.0,renewable_energy_learning_single_bid,eom_operator,7569,7569,0,0,0,solar_06_0,0.00999999999999994
27,solar_06_1,solar_6,7569,0,renewable,0.01,1.0,0.0,0.0,6,0.0,renewable_energy_learning_single_bid,eom_operator,7569,7569,0,0,0,solar_06_1,0.00999999999999994
28,solar_06_2,solar_6,7569,0,renewable,0.01,1.0,0.0,0.0,6,0.0,renewable_energy_learning_single_bid,eom_operator,7569,7569,0,0,0,solar_06_2,0.00999999999999994
29,solar_06_3,solar_6,7569,0,renewable,0.01,1.0,0.0,0.0,6,0.0,renewable_energy_learning_single_bid,eom_operator,7569,7569,0,0,0,solar_06_3,0.00999999999999994
30,solar_07_0,solar_7,7358,0,renewable,0.01,1.0,0.0,0.0,7,0.0,renewable_energy_learning_single_bid,eom_operator,7358,7358,0,0,0,solar_07_0,0.00999999999999994
31,solar_07_1,solar_7,7358,0,renewable,0.01,1.0,0.0,0.0,7,0.0,renewable_energy_learning_single_bid,eom_operator,7358,7358,0,0,0,solar_07_1,0.00999999999999994
32,solar_08,solar_8,4157,0,renewable,0.01,1.0,0.0,0.0,8,0.0,renewable_energy_learning_single_bid,eom_operator,4157,4157,0,0,0,solar_08,0.00999999999999994
33,solar_09_0,solar_9,7280,0,renewable,0.01,1.0,0.0,0.0,9,0.0,renewable_energy_learning_single_bid,eom_operator,7280,7280,0,0,0,solar_09_0,0.00999999999999994
34,solar_09_1,solar_9,7280,0,renewable,0.01,1.0,0.0,0.0,9,0.0,renewable_energy_learning_single_bid,eom_operator,7280,7280,0,0,0,solar_09_1,0.00999999999999994
35,solar_09_2,solar_9,7280,0,renewable,0.01,1.0,0.0,0.0,9,0.0,renewable_energy_learning_single_bid,eom_operator,7280,7280,0,0,0,solar_09_2,0.00999999999999994
36,wind_offshore_00,wind_offshore_0,1980,0,renewable,0.015,1.0,0.0,0.0,0,0.0,renewable_energy_learning_single_bid,eom_operator,1980,1980,0,0,0,wind_offshore_00,0.015000000000000013
37,wind_offshore_06,wind_offshore_6,2075,0,renewable,0.015,1.0,0.0,0.0,6,0.0,renewable_energy_learning_single_bid,eom_operator,2075,2075,0,0,0,wind_offshore_06,0.015000000000000013
38,wind_offshore_07,wind_offshore_7,3731,0,renewable,0.015,1.0,0.0,0.0,7,0.0,renewable_energy_learning_single_bid,eom_operator,3731,3731,0,0,0,wind_offshore_07,0.015000000000000013
39,wind_onshore_00_0,wind_onshore_0,7055,0,renewable,0.015,1.0,0.0,0.0,0,0.0,renewable_energy_learning_single_bid,eom_operator,7055,7055,0,0,0,wind_onshore_00_0,0.015000000000000013
40,wind_onshore_00_1,wind_onshore_0,7055,0,renewable,0.015,1.0,0.0,0.0,0,0.0,renewable_energy_learning_single_bid,eom_operator,7055,7055,0,0,0,wind_onshore_00_1,0.015000000000000013
41,wind_onshore_00_2,wind_onshore_0,7055,0,renewable,0.015,1.0,0.0,0.0,0,0.0,renewable_energy_learning_single_bid,eom_operator,7055,7055,0,0,0,wind_onshore_00_2,0.015000000000000013
42,wind_onshore_01,wind_onshore_1,1159,0,renewable,0.015,1.0,0.0,0.0,1,0.0,renewable_energy_learning_single_bid,eom_operator,1159,1159,0,0,0,wind_onshore_01,0.015000000000000013
43,wind_onshore_02,wind_onshore_2,5820,0,renewable,0.015,1.0,0.0,0.0,2,0.0,renewable_energy_learning_single_bid,eom_operator,5820,5820,0,0,0,wind_onshore_02,0.015000000000000013
44,wind_onshore_03_0,wind_onshore_3,7955,0,renewable,0.015,1.0,0.0,0.0,3,0.0,renewable_energy_learning_single_bid,eom_operator,7955,7955,0,0,0,wind_onshore_03_0,0.015000000000000013
45,wind_onshore_03_1,wind_onshore_3,7955,0,renewable,0.015,1.0,0.0,0.0,3,0.0,renewable_energy_learning_single_bid,eom_operator,7955,7955,0,0,0,wind_onshore_03_1,0.015000000000000013
46,wind_onshore_04,wind_onshore_4,1505,0,renewable,0.015,1.0,0.0,0.0,4,0.0,renewable_energy_learning_single_bid,eom_operator,1505,1505,0,0,0,wind_onshore_04,0.015000000000000013
47,wind_onshore_05,wind_onshore_5,5150,0,renewable,0.015,1.0,0.0,0.0,5,0.0,renewable_energy_learning_single_bid,eom_operator,5150,5150,0,0,0,wind_onshore_05,0.015000000000000013
48,wind_onshore_06_0,wind_onshore_6,8895,0,renewable,0.015,1.0,0.0,0.0,6,0.0,renewable_energy_learning_single_bid,eom_operator,8895,8895,0,0,0,wind_onshore_06_0,0.015000000000000013
49,wind_onshore_06_1,wind_onshore_6,8895,0,renewable,0.015,1.0,0.0,0.0,6,0.0,renewable_energy_learning_single_bid,eom_operator,8895,8895,0,0,0,wind_onshore_06_1,0.015000000000000013
50,wind_onshore_07_0,wind_onshore_7,8044,0,renewable,0.015,1.0,0.0,0.0,7,0.0,renewable_energy_learning_single_bid,eom_operator,8044,8044,0,0,0,wind_onshore_07_0,0.015000000000000013
51,wind_onshore_07_1,wind_onshore_7,8044,0,renewable,0.015,1.0,0.0,0.0,7,0.0,renewable_energy_learning_single_bid,eom_operator,8044,8044,0,0,0,wind_onshore_07_1,0.015000000000000013
52,wind_onshore_07_2,wind_onshore_7,8044,0,renewable,0.015,1.0,0.0,0.0,7,0.0,renewable_energy_learning_single_bid,eom_operator,8044,8044,0,0,0,wind_onshore_07_2,0.015000000000000013
53,wind_onshore_07_3,wind_onshore_7,8044,0,renewable,0.015,1.0,0.0,0.0,7,0.0,renewable_energy_learning_single_bid,eom_operator,8044,8044,0,0,0,wind_onshore_07_3,0.015000000000000013
54,wind_onshore_08,wind_onshore_8,2131,0,renewable,0.015,1.0,0.0,0.0,8,0.0,renewable_energy_learning_single_bid,eom_operator,2131,2131,0,0,0,wind_onshore_08,0.015000000000000013
55,wind_onshore_09,wind_onshore_9,4141,0,renewable,0.015,1.0,0.0,0.0,9,0.0,renewable_energy_learning_single_bid,eom_operator,4141,4141,0,0,0,wind_onshore_09,0.015000000000000013
