,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207,0.49207
1,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325,0.48325
2,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495,0.48495
3,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142,0.50142
4,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797,0.53797
5,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365,0.61365
6,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649,0.66649
7,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517,0.69517
8,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569,0.70569
9,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031,0.72031
