,supply_volume,demand_volume,demand_volume_energy,supply_volume_energy,price,max_price,min_price,node,product_start,product_end,only_hours,market_id,time,simulation
0,60,60,60,60,50,50,50,,2023-01-02 00:00:00,2023-01-02 01:00:00,,EOM,2023-01-02 00:00:00,example_05e_base
1,60,60,60,60,50,50,50,,2023-01-02 01:00:00,2023-01-02 02:00:00,,EOM,2023-01-02 01:00:00,example_05e_base
2,60,60,60,60,50,50,50,,2023-01-02 02:00:00,2023-01-02 03:00:00,,EOM,2023-01-02 02:00:00,example_05e_base
3,60,60,60,60,50,50,50,,2023-01-02 03:00:00,2023-01-02 04:00:00,,EOM,2023-01-02 03:00:00,example_05e_base
4,60,60,60,60,50,50,50,,2023-01-02 04:00:00,2023-01-02 05:00:00,,EOM,2023-01-02 04:00:00,example_05e_base
5,60,60,60,60,50,50,50,,2023-01-02 05:00:00,2023-01-02 06:00:00,,EOM,2023-01-02 05:00:00,example_05e_base
6,60,60,60,60,50,50,50,,2023-01-02 06:00:00,2023-01-02 07:00:00,,EOM,2023-01-02 06:00:00,example_05e_base
7,60,60,60,60,50,50,50,,2023-01-02 07:00:00,2023-01-02 08:00:00,,EOM,2023-01-02 07:00:00,example_05e_base
8,60,60,60,60,50,50,50,,2023-01-02 08:00:00,2023-01-02 09:00:00,,EOM,2023-01-02 08:00:00,example_05e_base
9,60,60,60,60,50,50,50,,2023-01-02 09:00:00,2023-01-02 10:00:00,,EOM,2023-01-02 09:00:00,example_05e_base
10,60,60,60,60,50,50,50,,2023-01-02 10:00:00,2023-01-02 11:00:00,,EOM,2023-01-02 10:00:00,example_05e_base
11,60,60,60,60,50,50,50,,2023-01-02 11:00:00,2023-01-02 12:00:00,,EOM,2023-01-02 11:00:00,example_05e_base
12,60,60,60,60,50,50,50,,2023-01-02 12:00:00,2023-01-02 13:00:00,,EOM,2023-01-02 12:00:00,example_05e_base
13,60,60,60,60,50,50,50,,2023-01-02 13:00:00,2023-01-02 14:00:00,,EOM,2023-01-02 13:00:00,example_05e_base
14,60,60,60,60,50,50,50,,2023-01-02 14:00:00,2023-01-02 15:00:00,,EOM,2023-01-02 14:00:00,example_05e_base
15,60,60,60,60,50,50,50,,2023-01-02 15:00:00,2023-01-02 16:00:00,,EOM,2023-01-02 15:00:00,example_05e_base
16,60,60,60,60,50,50,50,,2023-01-02 16:00:00,2023-01-02 17:00:00,,EOM,2023-01-02 16:00:00,example_05e_base
17,60,60,60,60,50,50,50,,2023-01-02 17:00:00,2023-01-02 18:00:00,,EOM,2023-01-02 17:00:00,example_05e_base
18,60,60,60,60,50,50,50,,2023-01-02 18:00:00,2023-01-02 19:00:00,,EOM,2023-01-02 18:00:00,example_05e_base
19,60,60,60,60,50,50,50,,2023-01-02 19:00:00,2023-01-02 20:00:00,,EOM,2023-01-02 19:00:00,example_05e_base
20,60,60,60,60,50,50,50,,2023-01-02 20:00:00,2023-01-02 21:00:00,,EOM,2023-01-02 20:00:00,example_05e_base
21,60,60,60,60,50,50,50,,2023-01-02 21:00:00,2023-01-02 22:00:00,,EOM,2023-01-02 21:00:00,example_05e_base
22,60,60,60,60,50,50,50,,2023-01-02 22:00:00,2023-01-02 23:00:00,,EOM,2023-01-02 22:00:00,example_05e_base
23,60,60,60,60,50,50,50,,2023-01-02 23:00:00,2023-01-03 00:00:00,,EOM,2023-01-02 23:00:00,example_05e_base
0,0,4.5,4.5,0,10,,,north,2023-01-02 00:00:00,2023-01-02 01:00:00,,redispatch,2023-01-02 00:00:00,example_05e_base
1,0,-0,-0,0,5005,,,east,2023-01-02 00:00:00,2023-01-02 01:00:00,,redispatch,2023-01-02 00:00:00,example_05e_base
2,4.5,-0,-0,4.5,10000,,,west,2023-01-02 00:00:00,2023-01-02 01:00:00,,redispatch,2023-01-02 00:00:00,example_05e_base
3,0,4.5,4.5,0,10,,,north,2023-01-02 01:00:00,2023-01-02 02:00:00,,redispatch,2023-01-02 01:00:00,example_05e_base
4,0,-0,-0,0,5005,,,east,2023-01-02 01:00:00,2023-01-02 02:00:00,,redispatch,2023-01-02 01:00:00,example_05e_base
