time,power,energy_cashflow,energy_marginal_costs,unit,capacity_pos_cashflow,capacity_neg_cashflow,total_costs,simulation
2019-01-01 00:00:00,0,0,0,KKW PHILIPPSBURG 2,,,,experiment_cement_plant_case
2019-01-01 01:00:00,0,0,0,KKW PHILIPPSBURG 2,,,,experiment_cement_plant_case
2019-01-01 00:00:00,0,0,0,KKW PHILIPPSBURG 2,,,,experiment_cement_plant_case
2019-01-01 01:00:00,0,0,0,KKW PHILIPPSBURG 2,,,,experiment_cement_plant_case
2019-01-01 00:00:00,0,0,0,KKW PHILIPPSBURG 2,,,,experiment_cement_plant_case
2019-01-01 01:00:00,0,0,0,KKW PHILIPPSBURG 2,,,,experiment_cement_plant_case
2019-01-01 00:00:00,0,,0,Reserve unit 4,,,,experiment_cement_plant_case
2019-01-01 01:00:00,0,,0,Reserve unit 4,,,,experiment_cement_plant_case
2019-01-01 00:00:00,0,,0,Reserve unit 4,0,,,experiment_cement_plant_case
2019-01-01 01:00:00,0,,0,Reserve unit 4,12969,,,experiment_cement_plant_case
2019-01-01 00:00:00,0,,0,Reserve unit 4,0,,,experiment_cement_plant_case
2019-01-01 01:00:00,0,,0,Reserve unit 4,12969,,,experiment_cement_plant_case
2019-01-01 00:00:00,0,,0,Reserve unit 1,,,,experiment_cement_plant_case
2019-01-01 01:00:00,0,,0,Reserve unit 1,,,,experiment_cement_plant_case
2019-01-01 00:00:00,0,,0,Reserve unit 1,0,,,experiment_cement_plant_case
2019-01-01 01:00:00,0,,0,Reserve unit 1,23878,,,experiment_cement_plant_case
2019-01-01 00:00:00,0,,0,Reserve unit 1,0,,,experiment_cement_plant_case
2019-01-01 01:00:00,0,,0,Reserve unit 1,23878,,,experiment_cement_plant_case
2019-01-01 00:00:00,0,,0,Reserve unit 2,,,,experiment_cement_plant_case
2019-01-01 01:00:00,0,,0,Reserve unit 2,,,,experiment_cement_plant_case
2019-01-01 00:00:00,0,,0,Reserve unit 2,0,,,experiment_cement_plant_case
2019-01-01 01:00:00,0,,0,Reserve unit 2,18424,,,experiment_cement_plant_case
2019-01-01 00:00:00,0,,0,Reserve unit 2,0,,,experiment_cement_plant_case
2019-01-01 01:00:00,0,,0,Reserve unit 2,18424,,,experiment_cement_plant_case
2019-01-01 00:00:00,0,0,0,KKW ISAR 2,,,,experiment_cement_plant_case
2019-01-01 01:00:00,0,0,0,KKW ISAR 2,,,,experiment_cement_plant_case
2019-01-01 00:00:00,0,0,0,KKW BROKDORF,,,,experiment_cement_plant_case
2019-01-01 01:00:00,0,0,0,KKW BROKDORF,,,,experiment_cement_plant_case
2019-01-01 00:00:00,0,0,0,KKW ISAR 2,,,,experiment_cement_plant_case
2019-01-01 01:00:00,0,0,0,KKW ISAR 2,,,,experiment_cement_plant_case
2019-01-01 00:00:00,0,0,0,KKW BROKDORF,,,,experiment_cement_plant_case
2019-01-01 01:00:00,0,0,0,KKW BROKDORF,,,,experiment_cement_plant_case
2019-01-01 00:00:00,0,0,0,KKW ISAR 2,,,,experiment_cement_plant_case
2019-01-01 01:00:00,0,0,0,KKW ISAR 2,,,,experiment_cement_plant_case
2019-01-01 00:00:00,0,0,0,KKW BROKDORF,,,,experiment_cement_plant_case
2019-01-01 01:00:00,0,0,0,KKW BROKDORF,,,,experiment_cement_plant_case
2019-01-01 00:00:00,0,,0,Reserve unit 3,,,,experiment_cement_plant_case
2019-01-01 01:00:00,0,,0,Reserve unit 3,,,,experiment_cement_plant_case
2019-01-01 00:00:00,0,,0,Reserve unit 3,0,,,experiment_cement_plant_case
2019-01-01 01:00:00,0,,0,Reserve unit 3,12969,,,experiment_cement_plant_case
2019-01-01 00:00:00,0,,0,Reserve unit 3,0,,,experiment_cement_plant_case
2019-01-01 01:00:00,0,,0,Reserve unit 3,12969,,,experiment_cement_plant_case
2019-01-01 00:00:00,0,,0,A360,,,,experiment_cement_plant_case
2019-01-01 01:00:00,0,,0,A360,,,,experiment_cement_plant_case
2019-01-01 00:00:00,0,,0,A360,,,,experiment_cement_plant_case
2019-01-01 01:00:00,0,,0,A360,,,,experiment_cement_plant_case
2019-01-01 00:00:00,0,,0,A360,,,,experiment_cement_plant_case
2019-01-01 01:00:00,0,,0,A360,,,,experiment_cement_plant_case
2019-01-01 00:00:00,-459.81,0,0,demand_EOM1,,,,experiment_cement_plant_case
2019-01-01 01:00:00,-485.25,0,0,demand_EOM1,,,,experiment_cement_plant_case
2019-01-01 00:00:00,-507.85,0,0,demand_EOM2,,,,experiment_cement_plant_case
2019-01-01 01:00:00,-528.2,0,0,demand_EOM2,,,,experiment_cement_plant_case
2019-01-01 00:00:00,-459.81,0,0,demand_EOM1,,,,experiment_cement_plant_case
2019-01-01 01:00:00,-485.25,0,0,demand_EOM1,,,,experiment_cement_plant_case
2019-01-01 00:00:00,-507.85,0,0,demand_EOM2,,,,experiment_cement_plant_case
2019-01-01 01:00:00,-528.2,0,0,demand_EOM2,,,,experiment_cement_plant_case
2019-01-01 00:00:00,-459.81,0,0,demand_EOM1,,,,experiment_cement_plant_case
